,Kahal,name,pepole,childs,,,,
v,Miasto Jezupol,,79,6,,,,
v,Miasto Jezupol,Kozina,9,2,,,,
v,Miasto Jezupol,Sielec,5,1,,,,
v,Miasto Jezupol,Wołczyniec,6,,,,,
v,Miasto Jezupol,Kołodziejówka,15,1,,,,
v,Miasto Jezupol,Urin,6,,,,,
v,Miasto Jezupol,Jastrzębiec,4,1,,,,
v,Miasto Jezupol,Hanusowce,9,,,,,
v,Miasto Maryampol,,172,16,,,,
v,Miasto Maryampol,Wodniki,5,,,,,
v,Miasto Maryampol,Łanów,3,1,,,,
v,Miasto Maryampol,Dalijów,10,2,,,,
v,Miasto Maryampol,Petryłów,6,,,,,
v,Miasto Maryampol,Nowosiółka,2,,,,,
v,Miasto Maryampol,Dołha,2,1,,,,
v,Miasto Maryampol,Stryhanie,8,3,,,,
v,Miasto Maryampol,Jurkówka,2,,,,,
v,Miasto Maryampol,Olszanica,4,2,,,,
v,Miasto Maryampol,Pobereze,7,2,,,,
v,Miasto Maryampol,Bukowno,8,1,,,,
v,Summa,,229,28,,,,
v,Miasto Bukaczowce,,270,19,,,,
v,Miasto Bukaczowce,Czahrów,19,1,,,,
v,Miasto Bukaczowce,Czerniejów,13,2,,,,
v,Miasto Bukaczowce,Wiszniów,8,1,,,,
v,Miasto Bukaczowce,Nowoszyny,11,,,,,
v,Miasto Bukaczowce,Kozary,12,,,,,
v,Miasto Bukaczowce,Poświerz,5,,,,,
v,Miasto Uście (Ujście),,267,12,,,,
v,Miasto Uście (Ujście),Dubno,15,2,,,,
v,Miasto Uście (Ujście),Wieleśniów,6,,,,,
v,Miasto Uście (Ujście),Krościaty,18,,,,,
v,Miasto Uście (Ujście),Zadarów,7,1,,,,
v,Miasto Uście (Ujście),Krasiejów,6,,,,,
v,Miasto Uście (Ujście),Łazarówka,4,,,,,
v,Miasto Uście (Ujście),Niskołyzy,4,,,,,
v,Miasto Uście (Ujście),Łąckie,5,,,,,
v,Miasto Uście (Ujście),Bobrowniki,11,,,,,
v,Miasto Uście (Ujście),Łuka,6,,,,,
v,Miasto Uście (Ujście),Międzygórze,7,,,,,
v,Miasto Uście (Ujście),Trościaniec,3,,,,,
v,Miasto Uście (Ujście),Jeziorko,6,,,,,
v,Miasto Uście (Ujście),Krymidów,5,,,,,
v,Miasto Uście (Ujście),Miasteczko Horozanka,24,,,,,
v,Miasto Uście (Ujście),Kończaki,16,,,,,
v,Miasto Uście (Ujście),Towstobaby,17,,,,,
v,Miasto Uście (Ujście),Korzowa,8,,,,,
v,Miasto Uście (Ujście),Zawiadówka,8,,,,,
v,Miasto Uście (Ujście),Baranów,8,,,,,
v,Miasto Tyśmienica,,853,45,,,,
v,Miasto Tyśmienica,Mykityńce,8,1,,,,
v,Miasto Tyśmienica,Przeniczniki,2,,,,,
v,Miasto Tyśmienica,"Podłuże,",5,,,,,
v,Miasto Tyśmienica,Podpieczary,7,,,,,
v,Miasto Tyśmienica,Chomikówka,5,,,,,
v,Miasto Tyśmienica,Klubowce,4,,,,,
v,Miasto Tyśmienica,Ostrynia,6,,,,,
v,Miasto Tyśmienica,Łąckie,10,,,,,
v,Miasto Tyśmienica,Markowa,8,,Miasto Jezupol,,79,6
v,Miasto Jezupol,Kozina,9,2,,,,
v,Miasto Jezupol,Sielec,5,1,,,,
v,Miasto Jezupol,Wołczyniec,6,,,,,
v,Miasto Jezupol,Kołodziejówka,15,1,,,,
v,Miasto Jezupol,Urin,6,,,,,
v,Miasto Jezupol,Jastrzębiec,4,1,,,,
v,Miasto Jezupol,Hanusowce,9,,,,,
v,Miasto Maryampol,,172,16,,,,
v,Miasto Maryampol,Wodniki,5,,,,,
v,Miasto Maryampol,Łanów,3,1,,,,
v,Miasto Maryampol,Dalijów,10,2,,,,
v,Miasto Maryampol,Petryłów,6,,,,,
v,Miasto Maryampol,Nowosiółka,2,,,,,
v,Miasto Maryampol,Dołha,2,1,,,,
v,Miasto Maryampol,Stryhanie,8,3,,,,
v,Miasto Maryampol,Jurkówka,2,,,,,
v,Miasto Maryampol,Olszanica,4,2,,,,
v,Miasto Maryampol,Pobereze,7,2,,,,
v,Miasto Maryampol,Bukowno,8,1,,,,
v,Summa,,229,28,,,,
v,Miasto Bukaczowce,,270,19,,,,
v,Miasto Bukaczowce,Czahrów,19,1,,,,
v,Miasto Bukaczowce,Czerniejów,13,2,,,,
v,Miasto Bukaczowce,Wiszniów,8,1,,,,
v,Miasto Bukaczowce,Nowoszyny,11,,,,,
v,Miasto Bukaczowce,Kozary,12,,,,,
v,Miasto Bukaczowce,Poświerz,5,,,,,
v,Miasto Uście (Ujście),,267,12,,,,
v,Miasto Uście (Ujście),Dubno,15,2,,,,
v,Miasto Uście (Ujście),Wieleśniów,6,,,,,
v,Miasto Uście (Ujście),Krościaty,18,,,,,
v,Miasto Uście (Ujście),Zadarów,7,1,,,,
v,Miasto Uście (Ujście),Krasiejów,6,,,,,
v,Miasto Uście (Ujście),Łazarówka,4,,,,,
v,Miasto Uście (Ujście),Niskołyzy,4,,,,,
v,Miasto Uście (Ujście),Łąckie,5,,,,,
v,Miasto Uście (Ujście),Bobrowniki,11,,,,,
v,Miasto Uście (Ujście),Łuka,6,,,,,
v,Miasto Uście (Ujście),Międzygórze,7,,,,,
v,Miasto Uście (Ujście),Trościaniec,3,,,,,
v,Miasto Uście (Ujście),Jeziorko,6,,,,,
v,Miasto Uście (Ujście),Krymidów,5,,,,,
v,Miasto Uście (Ujście),Miasteczko Horozanka,24,,,,,
v,Miasto Uście (Ujście),Kończaki,16,,,,,
v,Miasto Uście (Ujście),Towstobaby,17,,,,,
v,Miasto Uście (Ujście),Korzowa,8,,,,,
v,Miasto Uście (Ujście),Zawiadówka,8,,,,,
v,Miasto Uście (Ujście),Baranów,8,,,,,
v,Miasto Tyśmienica,,853,45,,,,
v,Miasto Tyśmienica,Mykityńce,8,1,,,,
v,Miasto Tyśmienica,Przeniczniki,2,,,,,
v,Miasto Tyśmienica,"Podłuże,",5,,,,,
v,Miasto Tyśmienica,Podpieczary,7,,,,,
v,Miasto Tyśmienica,Chomikówka,5,,,,,
v,Miasto Tyśmienica,Klubowce,4,,,,,
v,Miasto Tyśmienica,Ostrynia,6,,,,,
v,Miasto Tyśmienica,Łąckie,10,,,,,
v,Miasto Tyśmienica,Markowa,8,,,,,
v,Miasto Zawałów,,155,13,,,,
v,Miasto Zawałów,Jablonówka,4,,,,,
v,Miasto Zawałów,Serednie,2,1,,,,
v,Miasto Zawałów,Zaturyn,5,,,,,
v,Miasto Zawałów,Sieniawka,6,,,,,
v,Miasto Zawałów,Hurilcze,6,,,,,
