Miasta i wsie,powiat,Kahal,Żydzi,Żydówki,page,powiat
Kazimierz,karakow,Kahal kazimierski przy Krakowie.,1648,1809,8,
Browar królewski,karakow,Kahal kazimierski przy Krakowie.,39,36,8,
Browar starościński,karakow,Kahal kazimierski przy Krakowie.,12,9,8,
Smoleńsko,karakow,Kahal kazimierski przy Krakowie.,12,12,8,
Wygoda,karakow,Kahal kazimierski przy Krakowie.,23,23,8,
Rzeplin,karakow,Kahal kazimierski przy Krakowie.,3,4,8,
Pleszow,karakow,Kahal kazimierski przy Krakowie.,2,4,8,
Kossocice,karakow,Kahal kazimierski przy Krakowie.,4,3,8,
Ochoyno,karakow,Kahal kazimierski przy Krakowie.,3,6,8,
Łusina,karakow,Kahal kazimierski przy Krakowie.,4,3,8,
Brzezie,karakow,Kahal kazimierski przy Krakowie.,10,4,8,
Zabawska karczma,karakow,Kahal kazimierski przy Krakowie.,12,12,8,
Catkowice (Czatkowice),karakow,Kahal kazimierski przy Krakowie.,6,5,8,
Cianowice,karakow,Kahal kazimierski przy Krakowie.,3,2,8,
Binczyce (Bieńczyce),karakow,Kahal kazimierski przy Krakowie.,6,4,8,
Kończyce,karakow,Kahal kazimierski przy Krakowie.,5,3,8,
Owczary,karakow,Kahal kazimierski przy Krakowie.,4,3,8,
Krzysztoforzyce,karakow,Kahal kazimierski przy Krakowie.,1,4,8,
Łuczanowice,karakow,Kahal kazimierski przy Krakowie.,5,4,8,
Kosmyszow,karakow,Kahal kazimierski przy Krakowie.,5,3,8,
Konary,karakow,Kahal kazimierski przy Krakowie.,5,2,8,
Piaski,karakow,Kahal kazimierski przy Krakowie.,5,1,8,
Prokocim,karakow,Kahal kazimierski przy Krakowie.,11,7,8,
Raysko,karakow,Kahal kazimierski przy Krakowie.,5,1,8,
Soboniowice (Sobniowice),karakow,Kahal kazimierski przy Krakowie.,4,3,8,
Gay,karakow,Kahal kazimierski przy Krakowie.,9,9,8,
Borek,karakow,Kahal kazimierski przy Krakowie.,3,2,8,
Zelczyna,karakow,Kahal kazimierski przy Krakowie.,3,3,8,
Zielonki,karakow,Kahal kazimierski przy Krakowie.,3,2,8,
Raciborsko,karakow,Kahal kazimierski przy Krakowie.,4,5,8,
Garlica,karakow,Kahal kazimierski przy Krakowie.,4,4,8,
Jurczyce,karakow,Kahal kazimierski przy Krakowie.,4,3,8,
Janowice,karakow,Kahal kazimierski przy Krakowie.,5,3,8,
Pawlikowice,karakow,Kahal kazimierski przy Krakowie.,4,3,8,
Suma: 34,karakow,Kahal kazimierski przy Krakowie.,1876,2001,8,
W tem dzieci do i roku,karakow,Kahal kazimierski przy Krakowie.,74,93,8,
Olkusz,karakow,Olkusz,78,84,8,
Trzebinia,karakow,Olkusz,28,31,8,
Krzykawka,karakow,Olkusz,4,5,8,
Bolesław,karakow,Olkusz,2,3,8,
Płoki,karakow,Olkusz,4,3,8,
Lgota,karakow,Olkusz,7,6,8,
Ostręznica,karakow,Olkusz,4,2,8,
Zawada,karakow,Olkusz,1,2,8,
Cubrowice (Czubrowice),karakow,Olkusz,3,2,8,
Racławice,karakow,Olkusz,2,3,8,
Żary,karakow,Olkusz,2,1,8,
Dubie,karakow,Olkusz,3,2,8,
Radwanowice,karakow,Olkusz,3,2,8,
Pisary,karakow,Olkusz,6,5,8,
Szklary,karakow,Olkusz,3,5,8,
Łazy,karakow,Olkusz,3,5,8,
Wierzbanowice (Jerzma-nowice),karakow,Olkusz,2,5,8,
Oycow,karakow,Olkusz,7,3,8,
Przeginia,karakow,Olkusz,2,1,8,
Czaiowice,karakow,Olkusz,2,4,8,
Wierzchowie,karakow,Olkusz,4,4,8,
Biały Kościoł,karakow,Olkusz,2,2,8,
Sułoszowa,karakow,Olkusz,6,6,8,
Niszołowice (Niesiułowice),karakow,Olkusz,4,2,8,
Golczowice,karakow,Olkusz,1,2,8,
Chichło (Chechło),karakow,Olkusz,3,6,8,
Grabowa,karakow,Olkusz,2,3,8,
Wodomia (Widoma),karakow,Olkusz,4,3,8,
Zagroda,karakow,Olkusz,3,4,9,
Przyza grodzie,karakow,Olkusz,2,5,9,
Łęka,karakow,Olkusz,2,2,9,
Przyłęka,karakow,Olkusz,1,2,9,
Niegowonice,karakow,Olkusz,5,3,9,
Suma: 33,karakow,Olkusz,205,218,9,
W tem dzieci do roku,karakow,Olkusz,15,12,9,
,karakow,Olkusz,,,9,
Chrzanów,karakow,Chrzanów,186,164,9,
W tem dzieci do roku,karakow,Chrzanów,9,14,9,
Będzin,karakow,Będzin,219,227,9,Kahal będziński.
Modrzeiow,karakow,Będzin,14,11,9,
Niwecka karczma,karakow,Będzin,4,5,9,
Zagorze,karakow,Będzin,4,6,9,
Długoszyn,karakow,Będzin,4,7,9,
Szczakowa,karakow,Będzin,9,17,9,
Cieszkowice (Ciężkowice),karakow,Będzin,14,8,9,
Suma: 7,karakow,Będzin,268,281,9,
W tem dzieci do roku,karakow,Będzin,17,17,9,
,,,,,9,Powiat proszowski ma Kahał 1.
Działoszyce,proszowski,dzialoszycki,249,260,9,.
Jakubowice,proszowski,dzialoszycki,4,3,9,
Januszowice,proszowski,dzialoszycki,3,2,9,
Sodoł,proszowski,dzialoszycki,3,6,9,
Michałowice,proszowski,dzialoszycki,3,3,9,
Ciuslice,proszowski,dzialoszycki,3,1,9,
Batycka karczma,proszowski,dzialoszycki,1,2,9,
Opatkowice,proszowski,dzialoszycki,5,2,9,
Bronocice,proszowski,dzialoszycki,5,4,9,
Podgaje,proszowski,dzialoszycki,5,4,9,
Drozeiowice,proszowski,dzialoszycki,4,3,9,
Sielce,proszowski,dzialoszycki,3,4,9,
Zakrzew z karczmą,proszowski,dzialoszycki,5,3,9,
Kuzki,proszowski,dzialoszycki,5,1,9,
Przybenice (Przybynice),proszowski,dzialoszycki,2,1,9,
Małoszow,proszowski,dzialoszycki,3,2,9,
Łaszow,proszowski,dzialoszycki,3,1,9,
Bołoska karczma,proszowski,dzialoszycki,3,1,9,
Niezwoio wice (Nieswojowice),proszowski,dzialoszycki,4,1,9,
Szposzow,proszowski,dzialoszycki,3,1,9,
Głubczow (Głupczów),proszowski,dzialoszycki,1,1,9,
Słupów,proszowski,dzialoszycki,2,4,9,
Burzkow (Buszków),proszowski,dzialoszycki,2,1,9,
Izykowice,proszowski,dzialoszycki,2,2,9,
Secygniow,proszowski,dzialoszycki,2,2,9,
Dziewięcice,proszowski,dzialoszycki,6,4,9,
Jastrzębniki z karczmą,proszowski,dzialoszycki,7,6,9,
Szyszczyce,proszowski,dzialoszycki,4,3,9,
Chmielów,proszowski,dzialoszycki,5,9,9,
Szczotkowice,proszowski,dzialoszycki,2,4,9,
Suma: 30,proszowski,dzialoszycki,347,346,9,
W tem dzieci do roku,proszowski,dzialoszycki,15,27,9,
,xięsk,,,,9,Powiat xięski ma Kahałów 3.
,xięsk,,,,9,Miasto Xiąz popisało się w
,xięsk,,,,9,województwie sendomirskim do miasta Pińczowa.
Żarnowiec,xięsk, żarno,152,169,9,
Jelcza,xięsk, żarno,5,2,9,
Trzczyca (Tczyca) z karczmą,xięsk, żarno,5,7,9,
Wierzbie,xięsk, żarno,4,3,9,
Szwoycany (Swojczany),xięsk, żarno,2,2,9,
Hlina (Chlina) z karczmą,xięsk, żarno,6,5,9,
Przełaia z karczmą,xięsk, żarno,4,4,9,
Małoszyce,xięsk, żarno,3,3,9,
Otola,xięsk, żarno,2,2,9,
Suma: 9,xięsk, żarno,183,197,9,
Wodzisław,xięsk,Wodzisław,476,524,9,
Nagłowice,xięsk,Wodzisław,5,6,9,
Piołonka (Piełonka),xięsk,Wodzisław,2,2,9,
Krzciencice (Krzcięcice),xięsk,Wodzisław,6,5,9,
Gniewienczyn (Gniewięcin),xięsk,Wodzisław,1,4,9,
Pawłowice,xięsk,Wodzisław,6,3,9,
Czekay,xięsk,Wodzisław,3,4,9,
Woyciechowice,xięsk,Wodzisław,3,4,9,
Boleszyce,xięsk,Wodzisław,4,2,9,
Łowinią,xięsk,Wodzisław,5,6,9,
Lubcza,xięsk,Wodzisław,6,6,9,
Wola lubecka,xięsk,Wodzisław,1,1,9,
Przyłęk,xięsk,Wodzisław,3,4,9,
Zielonki,xięsk,Wodzisław,2,1,9,
Mierzawa,xięsk,Wodzisław,4,2,9,
Jaronowice,xięsk,Wodzisław,2,1,9,
Potok,xięsk,Wodzisław,3,8,9,
Trzczeniec,xięsk,Wodzisław,4,5,9,
Przyłęka,xięsk,Wodzisław,3,2,9,
Rakoszyn,xięsk,Wodzisław,3,3,9,
Pękosław,xięsk,Wodzisław,2,3,9,
Kręzoły,xięsk,Wodzisław,2,4,9,
Wierzbica,xięsk,Wodzisław,2,2,9,
Hyca (Chycza),xięsk,Wodzisław,4,3,9,
Brzostki,xięsk,Wodzisław,2,6,9,
Rzeszowek,xięsk,Wodzisław,1,1,9,
Mstyczow,xięsk,Wodzisław,7,5,9,
Zareszyn,xięsk,Wodzisław,6,4,9,
Przezwody,xięsk,Wodzisław,2,3,9,
Wechadłow,xięsk,Wodzisław,2,2,9,
Konary,xięsk,Wodzisław,2,2,9,
Łąntpczyn (Łątczyn),xięsk,Wodzisław,4,3,9,
Warzyn,xięsk,Wodzisław,5,5,9,
Zdanowice,xięsk,Wodzisław,8,5,9,
Oksza,xięsk,Wodzisław,2,4,9,
Slinczyn (Slęcin),xięsk,Wodzisław,4,1,9,
Klimontów,xięsk,Wodzisław,3,7,9,
SІensк0,xięsk,Wodzisław,8,5,9,
Nowa wieś,xięsk,Wodzisław,1,2,9,
Sendziszow,xięsk,Wodzisław,1,1,9,
Kozłow,xięsk,Wodzisław,2,i,9,
Zarogow,xięsk,Wodzisław,3,2,9,
Brzuchania,xięsk,Wodzisław,2,2,9,
Czaple,xięsk,Wodzisław,2,6,9,
Grzegorzowice,xięsk,Wodzisław,11,9,9,
Goleszy,xięsk,Wodzisław,1,1,9,
Wysocice,xięsk,Wodzisław,1,2,9,
Luborzyca,xięsk,Wodzisław,5,2,9,
Ulinka mała,xięsk,Wodzisław,3,2,9,
Ulina wielka,xięsk,Wodzisław,2,1,9,
Chobendza (Chobędza),xięsk,Wodzisław,4,3,9,
Buk,xięsk,Wodzisław,5,4,9,
Czarkowka,xięsk,Wodzisław,2,1,9,
Jerzowka (Jeżówka),xięsk,Wodzisław,2,1,9,
Makowa,xięsk,Wodzisław,2,2,9,
Strzebinia,xięsk,Wodzisław,5,3,9,
Karsnica,xięsk,Wodzisław,2,1,9,
Witowice,xięsk,Wodzisław,4,3,9,
Wielkanoc,xięsk,Wodzisław,4,7,9,
Gołcza,xięsk,Wodzisław,6,5,9,
Biskupice,xięsk,Wodzisław,7,4,9,
Cisza,xięsk,Wodzisław,3,2,9,
Sławice,xięsk,Wodzisław,6,2,9,
Troposzow (Tropiszów),xięsk,Wodzisław,4,4,9,
Igołomia,xięsk,Wodzisław,8,6,9,
Sarbia,xięsk,Wodzisław,5,2,9,
Karwin,xięsk,Wodzisław,1,2,9,
Czulice,xięsk,Wodzisław,2,31,9,
Siedliska,xięsk,Wodzisław,1,,9,
Birkow,xięsk,Wodzisław,7,8,10,
Polikarcice,xięsk,Wodzisław,1,4,10,
Krzeszowice,xięsk,Wodzisław,6,4,10,
Waganowice,xięsk,Wodzisław,5,5,10,
Czechy,xięsk,Wodzisław,3,2,10,
Piotkowice (Piotrkowice),xięsk,Wodzisław,,,10,
wielkie,xięsk,Wodzisław,4,2,10,
Nebela (Niebyła),xięsk,Wodzisław,3,2,10,
Piotkowice małe,xięsk,Wodzisław,2,4,10,
Lei o wice,xięsk,Wodzisław,1,2,10,
Rzendowice (Rzędowice),xięsk,Wodzisław,2,1,10,
Gniazdowice,xięsk,Wodzisław,1,2,10,
Dalowice,xięsk,Wodzisław,7,2,10,
Opatkowice,xięsk,Wodzisław,2,3,10,
Proszowice,xięsk,Wodzisław,5,3,10,
Szczytniki,xięsk,Wodzisław,1,4,10,
Nadzow,xięsk,Wodzisław,3,6,10,
Sudołek,xięsk,Wodzisław,2,3,10,
Ibramowice,xięsk,Wodzisław,6,2,10,
Pieczonogi,xięsk,Wodzisław,4,5,10,
Gruszo w,xięsk,Wodzisław,4,5,10,
Radzienice,xięsk,Wodzisław,4,3,10,
Łętkowice (Łętkowice),xięsk,Wodzisław,2,1,10,
Obrazowice,xięsk,Wodzisław,2,3,10,
Janko wice,xięsk,Wodzisław,5,4,10,
Dziewięcioły,xięsk,Wodzisław,6,1,10,
Dziemierzyce,xięsk,Wodzisław,4,3,10,
Kalinowiska,xięsk,Wodzisław,2,3,10,
Kalina mała,xięsk,Wodzisław,3,1,10,
Słomniki,xięsk,Wodzisław,2,4,10,
Swięcice,xięsk,Wodzisław,4,2,10,
Janowice,xięsk,Wodzisław,5,2,10,
Siadów,xięsk,Wodzisław,3,3,10,
Wilkowice,xięsk,Wodzisław,5,3,10,
Pieczeniegi (Pieczonogi),xięsk,Wodzisław,2,5,10,
Dzwikały (Zbigały),xięsk,Wodzisław,5,3,10,
Rzemienice,xięsk,Wodzisław,3,4,10,
Dziaduszyce,xięsk,Wodzisław,3,3,10,
