
Powiat krakowski ma kahalów 4
I. Kahal kazimierski przy Krakowie.                          
Miasta i wsie:             Żydzi     Żydówki
Kazimierz                  1648      1809    
Browar królewski           39        36      
Browar starościński        12        9       
Smoleńsko                  12        12      
Wygoda                     23        23      
Rzeplin                    3         4       
Pleszow                    2         4       
Kossocice                  4         3       
Ochoyno                    3         6       
Łusina                     4         3       
Brzezie                    10        4       
Zabawska karczma           12        12      
Catkowice (Czatkowice)     6         5       
Cianowice                  3         2       
Binczyce (Bieńczyce)       6         4       
Kończyce                   5         3       
Owczary                    4         3       
Krzysztoforzyce            1         4       
Łuczanowice                5         4        
Kosmyszow                  5         3        
Konary                     5         2        
Piaski                     5         1        
Prokocim                   11        7        
Raysko                     5         1        
Soboniowice (Sobniowice)   4         3        
Gay                        9         9        
Borek                      3         2        
Zelczyna                   3         3        
Zielonki                   3         2        
Raciborsko                 4         5        
Garlica                    4         4        
Jurczyce                   4         3        
Janowice                   5         3        
Pawlikowice                4         3
Suma: 34                   1876      2001
W tem dzieci do i roku     74         93

II. Kahal olkuski.                                  
Olkusz                     78         84
Trzebinia                  28         31
Krzykawka                  4          5 
Bolesław                   2          3 
Płoki                      4          3 
Lgota                      7          6 
Ostręznica                 4          2 
Zawada                     1          2 
Cubrowice (Czubrowice)     3          2 
Racławice                  2          3 
Żary                       2          1 
Dubie                      3          2 
Radwanowice                3          2 
Pisary                     6          5 
Szklary                    3          5 
Łazy                       3          5        
Wierzbanowice (Jerzma-                         
nowice)                    2          5        
Oycow                      7          3        
Przeginia                  2          1        
Czaiowice                  2          4        
Wierzchowie                4          4        
Biały Kościoł              2          2        
Sułoszowa                  6          6        
Niszołowice (Niesiułowice) 4          2        
 Golczowice                1          2        
 Chichło (Chechło)         3          6        
Grabowa                    2          3        
Wodomia (Widoma)           4          3        
Zagroda                    3          4        
