Miasta i wsie:           Żydzi         Żydówki 
Wierzbie                     4         3 
Szwoycany (Swojczany)        2         2 
Hlina (Chlina) z karczmą     6         5 
Przełaia z karczmą           4         4 
Małoszyce                    3         3
Otola                        2         2
Suma: 9                      183       197
                                     
II. Kahal wodzisławski.
Wodzisław                    476       524
Nagłowice                    5         6  
Piołonka (Piełonka)          2         2  
Krzciencice (Krzcięcice)     6         5  
Gniewienczyn (Gniewięcin)    1         4  
Pawłowice                    6         3  
Czekay                       3         4  
Woyciechowice                3         4  
Boleszyce                    4         2  
Łowinią                      5         6  
Lubcza                       6         6  
Wola lubecka                 1         1  
Przyłęk                      3         4  
Zielonki                     2         1  
Mierzawa                     4         2  
Jaronowice                   2         1  
Potok                        3         8  
Trzczeniec                   4         5  
Przyłęka                     3         2  
Rakoszyn                     3         3  
Pękosław                     2         3  
Kręzoły                      2         4  
Wierzbica                    2         2  
Hyca (Chycza)                4         3  
Brzostki                     2         6  
Rzeszowek                    1         1  
Mstyczow                     7         5  
Zareszyn                     6         4  
Przezwody                    2         3  
Wechadłow                    2         2  
Konary                       2         2  
Łąntpczyn (Łątczyn)          4         3  
Warzyn                       5         5  
Zdanowice                    8         5  
Oksza                        2         4  
Slinczyn (Slęcin)            4         1 
Klimontów                    3         7 
S І e n s к 0                8         5 
Nowa wieś                    1         2 
Sendziszow                   1         1 
Kozłow                       2         i 
Zarogow                      3         2 
Brzuchania                   2         2 
Czaple                       2         6 
Grzegorzowice                11        9 
Goleszy                      1         1 
Wysocice                     1         2 
Luborzyca                    5         2 
Ulinka mała                  3         2 
Ulina wielka                 2         1 
Chobendza (Chobędza)         4         3 
Buk                          5         4 
Czarkowka                    2         1 
Jerzowka (Jeżówka)           2         1 
Makowa                       2         2 
Strzebinia                   5         3 
Karsnica                     2         1 
Witowice                     4         3 
Wielkanoc                    4         7 
Gołcza                       6         5 
Biskupice                    7         4 
Cisza                        3         2 
Sławice                      6         2 
Troposzow (Tropiszów)        4         4 
Igołomia                     8         6 
Sarbia                       5         2 
Karwin                       1         2 
Czulice                      2         31
Siedliska                    1          
Birkow                       7         8 
