Miasta i wsie:                Żydzi Żydówki 
Polikarcice                   1     4       
Krzeszowice                   6     4       
Waganowice                    5     5       
Czechy                        3     2       
Piotkowice (Piotrkowice)                    
wielkie                       4     2       
Nebela (Niebyła)              3     2       
Piotkowice małe               2     4       
Lei o wice                    1     2       
Rzendowice (Rzędowice)        2     1       
Gniazdowice                   1     2       
Dalowice                      7     2       
Opatkowice                    2     3       
Proszowice                    5     3       
Szczytniki                    1     4       
Nadzow                        3     6       
Sudołek                       2     3       
Ibramowice                    6     2       
Pieczonogi                    4     5       
Gruszo w                      4     5       
Radzienice                    4     3                                             
Łętkowice (Łętkowice)         2     1      
Obrazowice                    2     3      
Janko wice                    5     4      
Dziewięcioły                  6     1      
Dziemierzyce                  4     3      
Kalinowiska                   2     3      
Kalina mała                   3     1      
Słomniki                      2     4      
Swięcice                      4     2      
Janowice                      5     2      
Siadów                        3     3      
Wilkowice                     5     3      
Pieczeniegi (Pieczonogi)      2     5      
Dzwikały (Zbigały)            5     3      
Rzemienice                    3     4      
Dziaduszyce                   3     3      
Janowiczki                    2     1
Klemięcice                    3     3      
Suma: 108                     849   866
W tem dzieci do roku          43    34
III. Kahal wolbromski.                                                            
Wolbrom                       154   160   
Poręba                        3     3     
Lgota                         1     3      
Suma: 3                       158   166    
W tem dzieci do roku          9     12

Powiat lelowski ma kahalów 6.                      
I. Kahal lelowski.                                
Lelów                         109   122
Pradła                        4     5  
Szeliszowice                  2     3  
Biała                         2     3  
Bodzeiowice (Bodziejowice)    8     8  
Dąbrówno                      5     3  
Slizany (Stężany)             1     1 
Lgota błotna                  2     1 
Staromieście                  2     4 
Dzibica                       1     1
Drohlin                       3     3
Zagorze                       2     2
Biała                         3     5
Wilków                        3     4
Podgaie                       1     1
Jerządze                      4     6
Olszyny                       4     2
Sadowię                       4     2
