Miasta i wsie:          Żydzi    Żydówki  
Kleszczowa                 3     3            
Siudecz (Siadcza)          7     3            
Solec                      3     1            
Szyk (Szyce)               5     4            
Sderbow                    3     1            
Siamoszka (Siamoszyce?)    3     4            
Przełubia                  4     3            
Skarżycki karczmarz        3     4            
Kiełkowicki karczmarz      1     1            
Karlin                     3     3            
Podzamecki karczmarz       2     3            
Ogrodzieniec karczmarz     2     3         
Ciengowice                 6     4         
Rokitno                    4     3         
Kwasniow z karczmą         10    4
Bydlin z karczmą           7     4         
Strzegoski karczmarz       3     2         
Kąpiele                    2     1         
Cieslin                    5     2         
Rodaki                     2     3         
Suma: 22                   324  327
W tem dzieci do roku       23   22
V. Kahal szczekocinski.
Szczekociny               212   218
Jeziorowice               4     6  
Tęgoborz                  3     4  
Obichow (Obiechów)        5     3  
Raszków                   3     1  
Siedliska                 3     2  
Grabice                   3     7  
Moskarzow                 5     3  
Lubachowy                 4     2  
Ołudza                    4     3  
Zawada                    4     5                               
Dąbrowka                  3     2  
Druzykowa                 3     2  
Wola                      3     3  
Goleniowy                 7     3  
Dąbrowice                 3     1  
Sprowa                    2     2
Węgrzynów                 2     4  
Zawadka                   3     4  
Suma: 19                  276   275
W tem dzieci do roku      18    13
VI. Kahal zarecki.                      
Żarki                     398   416      
Mrzygło d                 28    24       
Poręba                    1     4        
Marciszów                 2     2        
Ciszowka                  2     1        
Przybynow                 1     4        
Biskupice                 1     2        
Olsztyn                   13    14       
Włodowice                 7     4  
Niegow                    3     4  
Mirów                     1     3  
Jaworznik                 6     2  
Bobolice                  1     3  
Skrzydlow                 2     3  
Suma: 14                  466   486
W tem dzieci do roku      37    22

Xięstwo Zatorskie ma kahal 1.
Kahal zatorski.
Zator                     50    47
W tem dzieci do roku      5 
