Voivodeship,Powiat,Name,type,Pop,total,
Poznan,,Babimost,synagogue,206,14585,
Poznan,,Brojec,to Babimost ,55,,
Poznan,,Czarnkow,with Ryczywol,489,,
Poznan,,Czempin,synagogue,86,,
Poznan,,Czlopa,synagogue,234,,
Poznan,,Frydlad Pruski,synagogue,877,,
Poznan,,Grodzisko,synagogue,812,,
Poznan,,Jutrosin,community with Dublin,115,,
Poznan,,Kargowa,synagogue,289,,
Poznan,,Leszno,synagogue with Bojanow,4743,,
Poznan,,Lwowek,synagogue,336,,
Poznan,,Miedzychod,synagogue,236,,
Poznan,,Miedzyrzec,synagogue with villages,1077,,
Poznan,,Murowana Goslina,,111,,
Poznan,,Oborniki,synagogue,231,,
Poznan,,Obrzycko,synagogue,195,,
Poznan,,Osieczna,synagogue,239,,
Poznan,,Pila,synagogue with the Jastrow,411,,
Poznan,,Pniewy,synagogue,201,,
Poznan,,Poznan,synagogue,1951,,
Poznan,,Rawicz,synagogue,563,,
Poznan,,Restarzew,community,52,,
Poznan,,Rogozno,synagogue,386,,
Poznan,,Samowa,synagogue,79,,
Poznan,,Sierakow,synagogue,119,,
Poznan,,Skwierzyna,synagogue,492,,
,,,,,,
Wschowa,,Szliszkowce,synagogue,80,5328,
Wschowa,,Srem,synagogue,327,,
Wschowa,,Steszew,community,55,,
Wschowa,,Szamotuly,synagogue,1024,,
Wschowa,,Szamotuly,synagogue,494,,
Wschowa,,Trzcianka,synagogue,338,,
Wschowa,,Trzciel,synagogue,223,,
Wschowa,,Tuczno,synagogue,215,,
Wschowa,,Walcz,wp sy,642,,
Wschowa,,Wielun,synagogue,686,,
Wschowa,,Wolsztyn,synagogue,371,,
Wschowa,,Wronki,wp sy,483,,
Wschowa,,Wschowa,synagogue,301,,
Wschowa,,Zbaszyn,synagogue,89,,
,,,,,,
,,,,,,
Kalisk,Kalisk,Kalisz,with villages,702,1726,
Kalisk,Kalisk,Kozmin,,271,,
Kalisk,Kalisk,Ostrow,,266,,
Kalisk,Kalisk,Zduny,,49,,
Kalisk,Kalisk,Odolanow,,225,,
Kalisk,Kalisk,Kozminek,,18,,
Kalisk,Kalisk,Karmin,,96,,
Kalisk,Kalisk,Stawiszyn,,91,,
Kalisk,Kalisk,Raszkow,,8,,
Kalisk,Kalisk,Krotoszyn,,,,
,,,,,,
Kalisk,Konin,Konin,,133,991,
Kalisk,Konin,Kolo,,256,,
Kalisk,Konin,Russocice,,57,,
Kalisk,Konin,Golina,,142,,
Kalisk,Konin,Kleczew,,262,,
Kalisk,Konin,Wilczyn,,39,,
Kalisk,Konin,Rychwal,,102,,
,,,,,,
Kalisk,Pyzdry,Pyzdry,with villages,452,3490,
Kalisk,Pyzdry,Jarocin,,282,,
Kalisk,Pyzdry,Kobylin,,139,,
Kalisk,Pyzdry,Nowe Miasto,,146,,
Kalisk,Pyzdry,Jaroczew,,85,,
Kalisk,Pyzdry,Pogorzela,,32,,
Kalisk,Pyzdry,Borek,,200,,
Kalisk,Pyzdry,Kurnik,,381,,
Kalisk,Pyzdry,Zaniemysl,,37,,
Kalisk,Pyzdry,Miloslaw,,136,,
Kalisk,Pyzdry,Krotoszyn,,1524,,
Kalisk,Pyzdry,Zerkow,,76,,
,,,,,,
Kalisk,Kcynia,Kcynia,,361,1928,
Kalisk,Kcynia,Chodziez,,644,,
Kalisk,Kcynia,Golancz,,193,,
Kalisk,Kcynia,Margonin,,316,,
Kalisk,Kcynia,Labiszyn,,364,,
Kalisk,Kcynia,Barcin,,50,,
,,,,,,
Kalisk,Gniezno,Gniezno,,251,1570,
