table,index,id,community,community_code,land,table_abbr,potential,lon,lat,newname
100,maz_cchnwc,1,ciechanowiec,cchnwc,Autonomous,ext,0,22.5,52.6833333333333,""
100,snd_dbc,2,debica,dbc,Autonomous,ext,500,21.4276119355814,50.0462665069964,""
100,maz_jblnk,3,ciechanowiec,cchnwc,Autonomous,ext,100,22.3600769124574,52.9558069811952,""
100,maz_grdzsk,4,ciechanowiec,cchnwc,Autonomous,ext,80,20.6166666666667,52.1,""
100,lbl_jzfw,5,jezefow,jzfw,Autonomous,ext,400,23.05,50.4833333333333,""
100,krk_kzmrz,6,krakow,krkw,Autonomous,ext,2375,19.9466672325367,50.0516214964871,""
100,lbl_lbln,7,lublin,lbln,Autonomous,ext,30,22.5717026123729,51.2527987607334,""
100,pdl_mdzyrzcz_pdlsk,8,miedzyrzecz_podlaski,mdzyrzczpdlsk,Autonomous,ext,600,22.7833333333333,51.9833333333333,""
100,pzn_pznn,9,poznan,pznn,Autonomous,ext,3417,16.9356907686123,52.4098079881286,""
100,maz_wysk_mzwck,10,ciechanowiec,cchnwc,Autonomous,ext,280,22.5166666666667,52.9166666666667,""
100,rus_przmysl,11,przemysl,przmysl,Autonomous,ext,2000,22.7720602434326,49.7833567820999,""
100,pdl_smtycz,12,siemiatycze,smtycz,Autonomous,ext,0,22.862653952951,52.4271122417998,""
100,maz_kscln_nr,13,ciechanowiec,cchnwc,Autonomous,ext,40,22.36666667,52.95,""
100,wol_mdzyrzcz_krck,14,miedzyrzecz_korecki,mdzyrzczkrck,Autonomous,ext,0,26.86666667,50.65,""
100,lbl_glsk,15,lublin,lbln,Autonomous,ext,700,22.6028678366868,51.1868019407681,""
1000,pod_bchtyn,16,podolia,pdl,Podolia,podolia,180,27.4833333333333,48.8166666666667,""
1000,pod_bln,17,podolia,pdl,Podolia,podolia,230,26.6605581479981,48.8780831610185,""
1000,pod_br,18,podolia,pdl,Podolia,podolia,1710,27.687441853947,49.0795898090702,""
1000,pod_blcz,19,podolia,pdl,Podolia,podolia,100,25.8833333333333,48.7833333333333,""
1000,pod_brk,20,podolia,pdl,Podolia,podolia,0,,,""
1000,pod_brszczw,21,podolia,pdl,Podolia,podolia,590,26.0446154992621,48.7971335771734,""
1000,pod_chmlnk,22,podolia,pdl,Podolia,podolia,1482,27.96666667,49.55,""
1000,pod_czrnstrw,24,podolia,pdl,Podolia,podolia,0,26.76086653245,49.5060832846021,""
1000,brc_cznjwc,25,podolia,pdl,Podolia,podolia,150,26.3667,49,Chemerivtsi
1000,pod_czrcz,26,podolia,pdl,Podolia,podolia,260,26.5239614208908,48.8601084646789,""
1000,pod_czrwngrd,27,podolia,pdl,Podolia,podolia,325,25.5883953711223,48.7970831827642,""
1000,pod_drzn,28,podolia,pdl,Podolia,podolia,560,27.4095626882433,49.2841503182117,""
1000,pod_dnjwc,29,podolia,pdl,Podolia,podolia,1140,26.83333333,48.9,""
1000,pod_dωwngrd,30,podolia,pdl,Podolia,podolia,176,24.25,49.73333333,""
1000,pod_flsztyn,32,podolia,pdl,Podolia,podolia,360,,,""
1000,pod_grdk,33,podolia,pdl,Podolia,podolia,460,26.5615283908293,49.1625405022417,""
1000,pod_grdk_n_dnstr,34,podolia,pdl,Podolia,podolia,84,26.0017,49.0017,Gorodnitsa  (horodnica)
1000,pod_hstyn,35,podolia,pdl,Podolia,podolia,1000,26.1898681442441,49.0705031959831,""
1000,pod_jglnc,36,podolia,pdl,Podolia,podolia,540,25.7452549737826,48.946831863226,""
1000,pod_jnw,37,podolia,pdl,Podolia,podolia,0,28.35,49.4833333333333,""
1000,pod_jrmlnc,38,podolia,pdl,Podolia,podolia,216,26.8333,49.2,Yarmolyntsi
1000,pod_jrh,39,podolia,pdl,Podolia,podolia,366,28.05,48.3333333333333,""
1000,pod_jryszw,40,podolia,pdl,Podolia,podolia,720,27.6314884267825,48.516039231793,""
1000,pod_jzlwc,41,podolia,pdl,Podolia,podolia,448,25.4333333333333,49,""
1000,pod_jzrzny,42,podolia,pdl,Podolia,podolia,0,25.9537194380546,48.8783504826931,""
1000,pod_klsz,44,podolia,pdl,Podolia,podolia,170,24.3666666666667,49.0333333333333,""
1000,pod_kmnc_pdlsk,45,podolia,pdl,Podolia,podolia,500,26.5833333333333,48.6833333333333,""
1000,pod_ksprwc,46,podolia,pdl,Podolia,podolia,70,25.8598102478508,48.662106294711,""
1000,pod_ktjgrd,47,podolia,pdl,Podolia,podolia,320,26.8023486666688,48.6368074298325,""
1000,pod_klndzny,48,podolia,pdl,Podolia,podolia,100,25.95,48.9666666666667,""
1000,pod_kpjgrd,49,podolia,pdl,Podolia,podolia,340,27.7994046227236,48.8567562031438,""
1000,pod_krlwk,50,podolia,pdl,Podolia,podolia,181,,,""
1000,pod_krzywcz,51,podolia,pdl,Podolia,podolia,566,26.1,48.7,""
1000,pod_kdrync,52,podolia,pdl,Podolia,podolia,210,26.7667,49.3833,Kudryntsi
1000,pod_kpn,53,podolia,pdl,Podolia,podolia,254,26.5757065488601,49.1005339327516,""
1000,pod_kzmn,54,podolia,pdl,Podolia,podolia,280,,,""
1000,pod_lnckrn,55,podolia,pdl,Podolia,podolia,560,,,""
1000,pod_ltyczw,56,podolia,pdl,Podolia,podolia,400,27.6261175434232,49.3843308586413,""
1000,pod_ltnwc,57,podolia,pdl,Podolia,podolia,134,27.2781673285881,48.8300364526266,""
1000,pod_ltyn,58,podolia,pdl,Podolia,podolia,0,28.0833333333333,49.3333333333333,""
