cname,category
ludv. bergau,4
ribbek,4
wdowa manger,4
wdowa sadowska,3
ludw. wieland,4
sim. richłowski,3
jan malinowski,3
jan siebrand,4
franz rutkowski,3
bened. wloskiewicz,3
wdowa scheel,4
christ. scheel,4
tomas chuchlinski,3
jan stolecki,3
jan szeyba,4
matis fomberg,1
joseph schlegel,4
jan seliger,4
jos. piekarski,3
jan domanowicz,3
wawrz. klossowski,3
georgi smolski,3
moses leyser,1
simon kasperowicz,1
david pierwas,3
wdowa gerson,1
schaija abram,1
moses michel,1
leib moses,1
leib essra,1
mareus issac,1
kalman gerson,1
lewin kalman,1
ruber kalman,1
klemens szeijba,4
leijser boruch,1
borath leijser,1
channago hirsch,1
leyser kallmann,1
jacob moses,1
godalge meloch,1
mać. koslowski,3
cas. lanewski,3
bals zacharias,4
leib nossen,1
hirson lewin,1
wallach,4
david leskies,1
spadkobiercy linkera,4
seidels,4
abraham feybusch,1
czaikel abram,1
rochel abram,1
sinoracky,3
abram meijer,1
simon feibusch,1
leib zallel,1
jude issac,1
slomski,3
joh. bochnke,4
moslchi salmon,1
iossel meijer,1
szmul pinkus,1
israel owschaj,1
aron leib tegoż drugi dom tegoż trzeci dom,1
woronoski,3
leib leyser,1
hillel hirsch,1
josel benjamin,1
clemens szeyba,4
ambr. żakowski,3
jacob berkowski,3
wojc. wilczynski,3
joseph lukaczyski,3
jan wojewodzki,3
peter lukaczynski,3
paul slowikowski,3
joseph slominski,3
mac. miecholowy,3
wdowa gruszewicz,3
stanisl. luckiewicz,3
wdowa sarka,1
albricht kudricki,3
wdowa kosakiewicz,3
benj. simon,1
schay abram,1
hoschel leyser,1
jacob dubeyko,3
thom. kudricki,3
paul dubeyko,3
siebert,4
jan horodynski,3
abram carge,1
schlom mandel,1
kalmann hirsch,1
abram schaps,1
sandel lippe,1
hirsch sankel,1
jankel chaim koppel nochim,1
hilel jankel,1
sussel marcus,1
leib abram,1
abram sleinberg,1
isaac david,1
david meyer,1
chaym chaym,1
michel gerson simon michel,1
baer marcus,1
ruben dan,1
idzig meyer,1
panck baer,1
josel schaye,1
schaye aron,1
hirsch schaye,1
wycenty kuszijnski,3
peter lusch,4
nicol pietraszkiewicz,3
wdowa laye,1
wdowa zakrzewska,3
eberhardt,4
marc. silachowski,3
wdowa szymanowa,4
maliszewski,3
