id,index,viv.x,powiat,name,oname,rid,pow,grcode,code,geom,town,viv.y,jg_geom
ciechanowiec_dro_pdl,10100,podl,drohicki,ciechanowiec,Ciechanowiec,2299,dro,podl_dro,ciechanowiec_podl_dro,"[2504600.174994879, 6922963.326648588]","Ciechanowiec, Poland",Białystok,"{'lat': '52.666666666667', 'long': '22.516666666667'}"
debica_pil_snd,10200,san,pilznenski,debica,Dębica,2447,pil,san_pil,debica_san_pil,"[2385310.849584789, 6454292.243769127]","Dębica, Poland",Kraków,"{'lat': '50.05', 'long': '21.416666666667'}"
grodzisk_soc_raw,10300,san,blonski,grodzisk,Grodzisk,23367,blo,san_blo,grodzisk_san_blo,"[2296685.537253689, 6818756.610441961]","Grodzisk Mazowiecki, Poland",Warszawa,"{'lat': '52.116666666667', 'long': '20.633333333333'}"
"",10400,lub,lubelski,glusk,Głusk,2228,lub,lub_lub,glusk_lub_lub,"[2516139.738047637, 6654403.579330313]","Hlusk, Belarus",Belarus SSR,"{'lat': '52.883333333333', 'long': '28.683333333333'}"
jablonka_dro_pdl,10500,rus,zambrowski,jablonka,Jabłonka,2302,zam,rus_zam,jablonka_rus_zam,"[2489112.3759931875, 6974827.587943699]",,,
jozefow_blb_bel,10600,lub,urzedowski,jozefow,Józefów,2231,urz,lub_urz,jozefow_lub_urz,"[2431040.3363042274, 6628438.918302714]","Józefów, Poland",Lublin,"{'lat': '50.466666666667', 'long': '23.033333333333'}"
kazimierz_krk,10700,lub,lubelski,kazimierz,Kazimierz,2232,lub,lub_lub,kazimierz_lub_lub,"[2444273.1994201136, 6677679.010009439]","Kazimierz, Poland",Kraków,"{'lat': '50.05', 'long': '19.95'}"
jabłonka kościelna,10800,rus,zambrowski,koscielna_nur,Jabłonka Kościelna,2302,zam,rus_zam,koscielna_nur_rus_zam,"[2489112.3759931875, 6974827.587943699]",,,
"",10900,lub,lubelski,lublin,Lublin,22464,lub,lub_lub,lublin_lub_lub,"[2512670.4411465563, 6666133.309452958]","Lublin, Poland",Lublin,"{'lat': '51.25', 'long': '22.566666666667'}"
"",11000,wol,krzemieniecki,miedzyrzecz_korecki,Międzyrzec Korecki,22635,krz,wol_krz,miedzyrzecz_korecki_wol_krz,"[2990423.5958559574, 6559717.469328957]",,,
miedzyrzec_mie_pdl,11100,rus,"",miedzyrzecz_podlaski,Międzyrzecz Podlaski,23168,"",rus_,miedzyrzecz_podlaski_rus_,"[2536420.132561915, 6797290.301438517]",,,
poznan_poz,11200,poz,poznanski,poznan,Poznań,2397,poz,poz_poz,poznan_poz_poz,"[1885272.4725942702, 6874565.896006693]","Poznań, Poland",Poznań,"{'lat': '52.416666666667', 'long': '16.966666666667'}"
przemysl_prz_rus,11300,rus,przemyski,przemysl,Przemyśl,2019,prz,rus_prz,przemysl_rus_prz,"[2534974.150612664, 6408841.243308483]","Przemyśl, Poland",Lwów,"{'lat': '49.783333333333', 'long': '22.783333333333'}"
siemiatycze_dro_pdl,11400,podl,drohicki,siemiatycze,Siemiatycze,2318,dro,podl_dro,siemiatycze_podl_dro,"[2545058.9962253277, 6877724.336326926]","Siemiatycze, Poland",Białystok,"{'lat': '52.45', 'long': '22.883333333333'}"
wysokie_mazowieckie_dro_pdl,11500,podl,drohicki,wysokie_mazowieckie,Wysokie Mazowieckie,23169,dro,podl_dro,wysokie_mazowieckie_podl_dro,"[2503027.5739481477, 6968722.273832482]",,,
blaszki_srd,20100,rus,przemyski,blazow,Błażów,4379,prz,rus_prz,blazow_rus_prz,"[2580698.4992907965, 6345542.697236698]",,,
czudec_pil_snd,20200,san,pilznenski,czudec,Czudec,2445,pil,san_pil,czudec_san_pil,"[2431083.496483992, 6436999.562189987]","Czudec, Poland",Lwów,"{'lat': '49.95', 'long': '21.833333333333'}"
frysztak_pil_snd,20300,san,pilznenski,frysztak,Frysztak,22482,pil,san_pil,frysztak_san_pil,"[2405489.4228248443, 6418092.589445642]","Frysztak, Poland",Lwów,"{'lat': '49.833333333333', 'long': '21.616666666667'}"
glogow_pil_snd,20400,san,pilznenski,glogow,Głogów,2448,pil,san_pil,glogow_san_pil,"[2445070.861750352, 6472411.752985596]","Głogów Małopolski, Poland",Lwów,"{'lat': '50.15', 'long': '21.966666666667'}"
"",20500,san,"",krasnobrod,krasnobrod,,"",san_,krasnobrod_san_,,"Krasnobród, Poland",Lublin,"{'lat': '50.55', 'long': '23.2'}"
niebylec,20600,san,pilznenski,niebylec,Niebylec,8569,pil,san_pil,niebylec_san_pil,"[2438456.5440019676, 6421417.873486458]","Niebylec, Poland",Lwów,"{'lat': '49.866666666667', 'long': '21.9'}"
ropczyce_pil_snd,20700,san,pilznenski,ropczyce,Ropczyce,22483,pil,san_pil,ropczyce_san_pil,"[2405548.8209074833, 6455267.495607515]","Ropczyce, Poland",Kraków,"{'lat': '50.05', 'long': '21.616666666667'}"
rozwadow_san_snd,20800,san,sandomierski,rozwadow,Rozwadów,2486,san,san_san,rozwadow_san_san,"[2454062.591111514, 6549342.770837424]","Rozwadów, Poland",Lwów,"{'lat': '50.583333333333', 'long': '22.05'}"
rzeszow_prz_rus,20900,rus,przemyski,rzeszow,Rzeszów,2031,prz,rus_prz,rzeszow_rus_prz,"[2448223.7687811833, 6452051.000009344]","Rzeszów, Poland",Lwów,"{'lat': '50.05', 'long': '22'}"
sedziszow_pil_snd,21000,san,pilznenski,sedrzyszow,Sędziszów,2492,pil,san_pil,sedrzyszow_san_pil,"[2415612.2334027668, 6458277.254775555]",,,
strzyzow_pil_snd,21100,san,pilznenski,strzyzow,Strzyżów,2499,pil,san_pil,strzyzow_san_pil,"[2425270.456940926, 6423667.066594061]","Strzyżów, Poland",Lwów,"{'lat': '49.866666666667', 'long': '21.8'}"
tyczyn_prz_rus,21200,rus,przemyski,tyczyn,Tyczyn,2069,prz,rus_prz,tyczyn_rus_prz,"[2451159.4477241505, 6439790.194620899]","Tyczyn, Poland",Lwów,"{'lat': '49.966666666667', 'long': '22.033333333333'}"
wielopole,21300,san,pilznenski,wielopole,Wielopole,22484,pil,san_pil,wielopole_san_pil,"[2405974.196111766, 6436712.073773463]","Wielopole Skrzyńskie, Poland",Kraków,"{'lat': '49.95', 'long': '21.616666666667'}"
goworowo_nur_maz,30101,maz,ostrolecki,goworowo,Goworowo,14617,ost,maz_ost,goworowo_maz_ost,"[2401491.7945175543, 6965025.64054548]","Goworowo, Poland",Białystok,"{'lat': '52.9', 'long': '21.566666666667'}"
"",30102,maz,wasoski,grajew,Grajewo,2266,was,maz_was,grajew_maz_was,"[2499680.344094913, 7101415.450215883]",,,
jablonna_lom_maz,30103,podl,drohicki,jablonna,Jabłonna Lacka,9256,dro,podl_dro,jablonna_podl_dro,"[2498235.8478549877, 6886345.36935044]",,,
jedwabne,30104,maz,wiski,jedwabne,Jedwabne,2267,wis,maz_wis,jedwabne_maz_wis,"[2484278.4719839953, 7035303.902177381]","Jedwabne, Poland",Białystok,"{'lat': '53.283333333333', 'long': '22.3'}"
"",30105,maz,ostrolecki,kleczkowo,Kleczków,14650,ost,maz_ost,kleczkowo_maz_ost,"[2432241.4291664786, 6992432.872586707]",,,
lipniki_kiv_kiv,30106,kij,kijowski,lipniki,Lipniki,19314,kij,kij_kij,lipniki_kij_kij,"[3167586.146202499, 6651771.620801497]",,,
"",30107,maz,ostrolecki,myszyniec,Myszyniec,22916,ost,maz_ost,myszyniec_maz_ost,"[2377060.333341842, 7052817.150037352]","Myszyniec, Poland",Białystok,"{'lat': '53.383333333333', 'long': '21.35'}"
nowogród,30108,maz,lomzynski,nowogrod,Nowogród,14716,lom,maz_lom,nowogrod_maz_lom,"[2435520.402810365, 7024042.949211606]","Nowogród, Poland",Białystok,"{'lat': '53.233333333333', 'long': '21.866666666667'}"
rudka_lom_maz,30109,podl,drohicki,rudka,Rudka,9296,dro,podl_dro,rudka_podl_dro,"[2529920.9589220863, 6931544.665994226]",,,
sniadowo_lom_maz,30110,maz,lomzynski,sniadow,Śniadowo,2281,lom,maz_lom,sniadow_maz_lom,"[2448046.918005752, 6988608.0137306275]",,,
stawiski_lom_maz,30111,maz,kolnenski,stawiski,Stawiski,2277,kol,maz_kol,stawiski_maz_kol,"[2467430.8348127697, 7051856.047759576]","Stawiski, Poland",Białystok,"{'lat': '53.366666666667', 'long': '22.15'}"
stawiski_lom_maz,30112,maz,kolnenski,stawiski_and_jedwabne,Stawiski,2277,kol,maz_kol,stawiski_and_jedwabne_maz_kol,"[2467430.8348127697, 7051856.047759576]",,,
szczuczyn,30113,maz,wasoski,szczucin,Szczuczyn,2280,was,maz_was,szczucin_maz_was,"[2481174.5285775317, 7086046.723690543]",,,
"",30114,maz,ostrolecki,troszyn,Troszyn,14800,ost,maz_ost,troszyn_maz_ost,"[2419404.962796548, 6988372.75898933]",,,
"",30115,maz,wiski,wizna,Wizna_villages,2283,wis,maz_wis,wizna_maz_wis,"[2491522.5178241404, 7018210.548316479]",,,
zambrow_lom_maz,30116,maz,zambrowski,zambrow,Zambrów,24544,zam,maz_zam,zambrow_maz_zam,"[2476175.5091300267, 6976948.398853082]","Zambrów, Poland",Białystok,"{'lat': '52.983333333333', 'long': '22.25'}"
"",30117,maz,"",zawadow,zawadow_villages,,"",maz_,zawadow_maz_,,,,
augustow_bia_pdl,30201,podl,bielski,augustow,Augustów,2294,bie,podl_bie,augustow_podl_bie,"[2557901.5355516747, 7139431.042333999]","Augustów, Poland",Białystok,"{'lat': '53.85', 'long': '23'}"
bialystok_bia_pdl,30202,podl,bielski,bialystok,Białystok,2295,bie,podl_bie,bialystok_podl_bie,"[2577793.413094851, 7004996.454190841]","Białystok, Poland",Białystok,"{'lat': '53.133333333333', 'long': '23.15'}"
boczki_bia_pdl,30203,podl,bielski,boczki,Boczki,2296,bie,podl_bie,boczki_podl_bie,"[2566005.373685477, 6918447.543858674]",,,
drohiczyn_dro_pdl,30204,podl,drohicki,drohiczyn,Drohiczyn,2300,dro,podl_dro,drohiczyn_podl_dro,"[2520507.3492658106, 6874355.570847608]","Drahichyn, Belarus",Polesie,"{'lat': '52.183333333333', 'long': '25.15'}"
goniadz_bia_pdl,30205,podl,bielski,goniadz,Goniądz,2301,bie,podl_bie,goniadz_podl_bie,"[2530999.1571100084, 7072209.389095814]","Goniądz, Poland",Białystok,"{'lat': '53.483333333333', 'long': '22.75'}"
jasionowka_bia_pdl,30206,podl,bielski,jasionowka,Jasionówka,2304,bie,podl_bie,jasionowka_podl_bie,"[2564904.3845842844, 7056189.596562764]","Jasionówka, Poland",Białystok,"{'lat': '53.383333333333', 'long': '23.033333333333'}"
knyszyn,30207,podl,bielski,knyszyn,Knyszyn,9264,bie,podl_bie,knyszyn_podl_bie,"[2551949.4163575657, 7040013.365272438]","Knyszyn, Poland",Białystok,"{'lat': '53.316666666667', 'long': '22.916666666667'}"
konstantynow_mie_pdl,30208,podl,mielnicki,konstantynow,Konstantynów,2305,mie,podl_mie,konstantynow_podl_mie,"[2566995.5015832, 6839317.460190658]","Konstantynów, Poland",Lublin,"{'lat': '52.216666666667', 'long': '23.083333333333'}"
losice_mie_pdl,30209,podl,mielnicki,losice,Łosice,2307,mie,podl_mie,losice_podl_mie,"[2530975.5792157594, 6837465.782045961]","Łosice, Poland",Lublin,"{'lat': '52.216666666667', 'long': '22.716666666667'}"
mielnik_mie_pdl,30210,podl,mielnicki,mielnik,Mielnik,9335,mie,podl_mie,mielnik_podl_mie,"[2565486.6330818054, 6860028.802953584]","Mielnik, Poland",Białystok,"{'lat': '52.333333333333', 'long': '23.05'}"
niemirow_mie_pdl,30211,podl,mielnicki,niemirow,Niemirów,2313,mie,podl_mie,niemirow_podl_mie,"[2577388.1309020934, 6852179.56311012]",,,
orla_bia_pdl,30212,podl,bielski,orly,Orla,2314,bie,podl_bie,orly_podl_bie,"[2596604.2875101212, 6930281.833565936]",,,
osowie_bia_pdl,30213,podl,bielski,osowiec,osowiec,,bie,podl_bie,osowiec_podl_bie,,,,
rajgrod_bia_pdl,30214,podl,bielski,rajgrod,Rajgród,2316,bie,podl_bie,rajgrod_podl_bie,"[2525756.6296677105, 7116592.6570289]","Rajgród, Poland",Białystok,"{'lat': '53.733333333333', 'long': '22.7'}"
rajgrod_bia_pdl,30215,podl,bielski,rajgrod_and_augustow,Rajgród,2316,bie,podl_bie,rajgrod_and_augustow_podl_bie,"[2525756.6296677105, 7116592.6570289]",,,
rossosz_mie_pdl,30216,podl,"",rososz,Rossosz,2115,"",podl_,rososz_podl_,"[2577373.484005636, 6773312.187255595]",,,
"",30217,podl,mielnicki,sarnaki,Sarnaki_villages,2317,mie,podl_mie,sarnaki_podl_mie,"[2548076.8392047985, 6857819.597960098]",,,
sokolow_dro_pdl,30219,podl,bielski,sokoly,Sokoły,2322,bie,podl_bie,sokoly_podl_bie,"[2527437.359058609, 6981324.974615144]","Sokoły, Poland",Białystok,"{'lat': '52.983333333333', 'long': '22.7'}"
suraz_bia_pdl,30220,podl,bielski,suraz,Suraż,9308,bie,podl_bie,suraz_podl_bie,"[2554558.3741528615, 6973652.678691339]","Suraż, Poland",Białystok,"{'lat': '52.95', 'long': '22.95'}"
tykocin_bia_pdl,30221,podl,bielski,tykocin,Tykocin,2323,bie,podl_bie,tykocin_podl_bie,"[2537112.5802756883, 7018986.35110098]","Tykocin, Poland",Białystok,"{'lat': '53.2', 'long': '22.783333333333'}"
wiszna_bia_pdl,30222,podl,bielski,wiszna,wiszna,,bie,podl_bie,wiszna_podl_bie,,"Wizna, Poland",Białystok,"{'lat': '53.2', 'long': '22.383333333333'}"
czyzewo_nur_maz,40101,maz,nurski,czyzew,Czyżewo,2265,nur,maz_nur,czyzew_maz_nur,"[2486011.759010492, 6944450.862487566]",,,
dobra_srd,40102,maz,liwski,dobre,Dobre,14603,liw,maz_liw,dobre_maz_liw,"[2413839.6814476964, 6857934.962181655]","Dobre, Poland",Warszawa,"{'lat': '52.333333333333', 'long': '21.683333333333'}"
"",40104,maz,kamieniecki,jadow_and_strachowka,Jadów_villages,14628,kam,maz_kam,jadow_and_strachowka_maz_kam,"[2408888.786873526, 6887042.395541418]",,,
kaluszyn_liw_maz,40105,maz,liwski,kaluszyn,Kałuszyn,2268,liw,maz_liw,kaluszyn_maz_liw,"[2427082.004453444, 6838040.103922449]","Kałuszyn, Poland",Warszawa,"{'lat': '52.216666666667', 'long': '21.816666666667'}"
Kamieńczyk_liw_maz,40106,maz,kamieniecki,kamienczyk,Kamieńczyk,14642,kam,maz_kam,kamienczyk_maz_kam,"[2398637.8718966227, 6909553.961028283]","Kamieńczyk, Poland",Warszawa,"{'lat': '52.6', 'long': '21.55'}"
Karczew_liw_maz,40107,maz,czerski,karczew,Karczew,14645,cze,maz_cze,karczew_maz_cze,"[2364797.77212949, 6813663.868590709]","Karczew, Poland",Warszawa,"{'lat': '52.083333333333', 'long': '21.25'}"
Liw_liw_maz,40108,maz,liwski,liw,Liw,14677,liw,maz_liw,liw_maz_liw,"[2445175.1550134337, 6867548.451205203]","Liw, Poland",Lublin,"{'lat': '52.383333333333', 'long': '21.966666666667'}"
"",40109,maz,garwolinski,minsk_mazowiecki,Mińsk Mazowiecki,14694,gar,maz_gar,minsk_mazowiecki_maz_gar,"[2400792.8607968744, 6832335.45511791]",,,
Niegów_nur_maz,40110,maz,kamieniecki,niegow,Niegów,14711,kam,maz_kam,niegow_maz_kam,"[2381921.6491371347, 6891807.054054671]",,,
ostrow_nur_maz,40111,maz,ostrowski,ostrow_mazowiecka,Ostrów Mazowiecka,2273,ost,maz_ost,ostrow_mazowiecka_maz_ost,"[2437560.8064382477, 6945810.114285121]",,,
radzymin,40112,maz,warszawski,radzymin,Radzymin,14759,war,maz_war,radzymin_maz_war,"[2358099.713894646, 6875375.165853042]","Radzymin, Poland",Warszawa,"{'lat': '52.416666666667', 'long': '21.183333333333'}"
siennica,40113,maz,garwolinski,siennica,Siennica,14774,gar,maz_gar,siennica_maz_gar,"[2406850.2586450647, 6816254.56589286]","Siennica, Poland",Warszawa,"{'lat': '52.1', 'long': '21.616666666667'}"
stoczek_nur_maz,40114,maz,kamieniecki,stoczek,Stoczek,2279,kam,maz_kam,stoczek_maz_kam,"[2438184.3674830557, 6899290.4298574645]","Stoczek Łukowski, Poland",Lublin,"{'lat': '51.95', 'long': '21.966666666667'}"
wasewo_nur_maz,40115,maz,ostrowski,wasewo,Wąsewo,2282,ost,maz_ost,wasewo_maz_ost,"[2415157.457731088, 6958526.740590454]","Wąsewo, Poland",Białystok,"{'lat': '52.883333333333', 'long': '21.666666666667'}"
zaręby_nur_maz,40116,maz,przasnyski,zareby,Zaręby,14836,prz,maz_prz,zareby_maz_prz,"[2340891.858477452, 7039602.608204136]",,,
zareby_nur_maz,40117,maz,nurski,zareby_koscielne,Zaręby Kościelne,2287,nur,maz_nur,zareby_koscielne_maz_nur,"[2462754.1925500925, 6936724.113974733]",,,
wolka_brzezinska_nur_maz,40118,maz,ostrowski,wolka_brzezinska,Wólka Brzezińska,2284,ost,maz_ost,wolka_brzezinska_maz_ost,"[2402483.5936861783, 6963430.178752749]",,,
goworowo_nur_maz,40119,maz,ostrolecki,wolka_goworowska,Goworowo,14617,ost,maz_ost,wolka_goworowska_maz_ost,"[2401491.7945175543, 6965025.64054548]",,,
kosow_dro_pdl,40202,podl,drohicki,kosow_lacki,Kosów Lacki,2306,dro,podl_dro,kosow_lacki_podl_dro,"[2466974.297542566, 6907913.897571158]",,,
mokobody_dro_pdl,40203,podl,drohicki,mokobody,Mokobody,2308,dro,podl_dro,mokobody_podl_dro,"[2462153.548559751, 6848952.129190681]","Mokobody, Poland",Lublin,"{'lat': '52.283333333333', 'long': '22.116666666667'}"
mordy_dro_pdl,40204,podl,drohicki,mordy,Mordy,2309,dro,podl_dro,mordy_podl_dro,"[2506068.95041411, 6838623.188175015]","Mordy, Poland",Lublin,"{'lat': '52.216666666667', 'long': '22.516666666667'}"
sokolow_dro_pdl,40205,podl,drohicki,sokolow_podlaski,Sokołów,2320,dro,podl_dro,sokolow_podlaski_podl_dro,"[2478882.2792211967, 6874505.62084527]",,,
"",40206,podl,drohicki,sterdyn,Sterdyń_villages,9305,dro,podl_dro,sterdyn_podl_dro,"[2482738.152074351, 6904953.591890303]",,,
wegrow_dro_pdl,40207,podl,drohicki,wegrow,Węgrów,2325,dro,podl_dro,wegrow_podl_dro,"[2451567.5516757285, 6872118.501549028]","Węgrów, Poland",Lublin,"{'lat': '52.4', 'long': '22.016666666667'}"
belz_blb_bel,50101,bel,belski,belz,Bełz,2671,bel,bel_bel,belz_bel_bel,"[2672096.0720156515, 6512628.909086242]","Belz, Ukraine",Lwów,"{'lat': '50.383333333333', 'long': '24.016666666667'}"
busk_bug_bel,50102,bel,buski,busk,Busk,6392,bus,bel_bus,busk_bel_bus,"[2741965.7315387884, 6439163.81684232]","Busko-Zdrój, Poland",Kielce,"{'lat': '50.466666666667', 'long': '20.716666666667'}"
cieszanow_blb_bel,50103,bel,belski,cieszanow,Cieszanów,2084,bel,bel_bel,cieszanow_bel_bel,"[2576127.2756388783, 6488460.680748145]","Cieszanów, Poland",Lwów,"{'lat': '50.233333333333', 'long': '23.133333333333'}"
cholojow_bug_bel,50104,bel,buski,dobrotwor,Chołojów,6367,bus,bel_bus,dobrotwor_bel_bus,"[2732632.3387812423, 6485564.907218505]",,,
dubienka_bug_bel,50105,bel,grabowiecki,dubienka,Dubienka,6364,gra,bel_gra,dubienka_bel_gra,"[2659125.4663836593, 6630730.2784649]","Dubienka, Poland",Lublin,"{'lat': '51.05', 'long': '23.883333333333'}"
grabowiec_bug_bel,50106,bel,grabowiecki,grabowiec,Grabowiec,4600,gra,bel_gra,grabowiec_bel_gra,"[2622105.4214299493, 6591138.587033117]","Grabowiec, Poland",Lublin,"{'lat': '50.833333333333', 'long': '23.566666666667'}"
