jt_cname,df_cname,jt_viv,df_viv
bck,bczk,pdl,pdl
bgrj,bgr,snd,snd
bkczwc,bkszwc,rus,hlc
bl_rwsk,bl,raw,raw
blcz_zlt,blcz,pod,pod
blgrd,blgrdk,rus,wol
blszk,blszkw,swr,swr
bly_kmn,blykmn,rus,lww
bllwk,blylwk,kij,kij
brhlw,brlw,brc,kij
brslw,brsylw,kij,kij
brzsc_kjwsk,brzsc,kjw,kij
brzyck,brzysk,pzn,pzn
chljw,chlw,blz,blz
czlchw,czlch,pmr,pmr
drhbycz,drhbcz,rus,rus
dzwngrd,dωwngrd,pod,pod
grdsk_dln,grdzsk_dln,rus,rus
grdzsk_mzwck,grdzsk_mzwck,raw,raw
gwzdzc,gwωdzc,rus,hlc
hmn,hmn,brc,brc
hsskw,hskw,rus,rus
jblnk_kscln,jblnk,pdl,pdl
jryczw_nwy,jryczw,rus,lww
klczyny,klczyn,wol,wol
kldzny,klndzny,pod,pod
kmnk_strmlw,kmnk,rus,lww
kmnk_wlk,kmnk,rus,rus
knhyncz,knchyncz,rus,lww
lszk_mrwn,lszk,rus,prz
lsznw,lsnw,wol,wol
lszyc,lszczyc,blz,blz
mdzybz,mdzybrz,pod,pod
mlnk,mlnk,pdl,pdl
mrtynw_nwy,mrtynw,rus,hlc
mzcz,mscz,wol,wol
nwy_krczyn,nwy_krczyn,snd,snd
ppw_kscln,ppw_kscln,maz,maz
przytyk,przytk,snd,snd
ptk_zlty,ptk,rus,rus
rdzk_dz,rdzk,inw,inw
rsssz,rssz,pdl,pdl
rw_mzwck,rw,raw,raw
sc_zln,sc,rus,hlc
sdzszw,sdrzyszw,snd,snd
sldkwc,slbkwc,pod,pod
snw_str,str_snw,pod,pod
str_sl,strsl,rus,rus
strzlsk_nw,strzlsk,rus,lww
strzyk_dln,strzyk,rus,rus
szczbrzszyn,szczbrszyn,rus,rus
szyc_str,szyc,pod,pod
tmszw_lblsk,tmszw,blz,lbl
trk,trk,rus,rus
wlczysk,wlczysk,wol,wol
wlszcz,wlszcz,rus,rus
wsnwc_stry,wsnwc,wol,wol
wsncz_nwy,wsncz,krk,krk
wsznk_wlk,wszn,rus,rus
wtkw_nwy,wtkw,blz,blz
wysznk_kscln,wysznk,pdl,pdl
zbc_kjwsk,zbc,kjw,kjw
zbrz,zbrz,wol,wol
zdztycz,zdtycz,wol,wol
zlszczyk,zlszcz,pod,pod
zmgrd_nwy,zmgrd,krk,krk
jt_cname,df_cname,jt_viv,df_viv
bck,bczk,pdl,pdl
bgrj,bgr,snd,snd
bkczwc,bkszwc,rus,hlc
bl_rwsk,bl,raw,raw
blcz_zlt,blcz,pod,pod
blgrd,blgrdk,rus,wol
blslwc,blslw,swr,swr
blszk,blszkw,swr,swr
bly_kmn,blykmn,rus,lww
bllwk,blylwk,kij,kij
brhlw,brlw,brc,kij
brdznk,brdnk,kij,kij
brslw,brsylw,kij,kij
brzsc_kjwsk,brzsc,kjw,kij
brzyck,brzysk,pzn,pzn
brtjn,brtn,chl,chl
chbn,chbnj,kij,kij
chcny_str,chcny,snd,snd
chwstw,chwszczw,kij,kij
czczlnk,czklnk,brc,kij
czjk,czjkwk,kij,kij
czrnkw,chrnkw,pzn,pzn
czrny_strw,czrnstrw,pod,pod
dbrzn,dbrznfrydl,kls,kls
dczymn,dczymn,maz,maz
dmdwk,dymdw,wol,kij
drhbycz,drhbycz,rus,rus
drzkpl,drszkpl,wol,wol
dzwngrd,dωwngrd,pod,pod
frmpl,frnnpl,lbl,lbl
ftw,fjw,chl,chl
grdk_jgllnsk,grdkndnstr,rus,pod
grj,gry,lbl,lbl
grn_grp,grnwc,pmr,kij
hlwcz,hlwczw,wol,wol
hmn,mn,brc,kij
hjsyn,hjsn,brc,kij
hrszk,hrszkw,kij,kij
hrynk,hrznk,wol,hlc
jblnk_kscln,jblnk,pdl,maz
jblnw,jblnn,rus,maz
jrg,jrh,pod,pod
klncz,klczyn,pmr,wol
kmn_kszyrsk,kmnkrzck,wol,wol
kmnk_wlk,kmnk,rus,hlc
