table,name,viv,normalized_name,index,kalik_id
0100,ciechanowiec,maz,cchnwc,maz_cchnwc,1
0100,debica,snd,dbc,snd_dbc,2
0100,jablonka,maz,jblnk,maz_jblnk,3
0100,grodzisk,maz,grdzsk,maz_grdzsk,4
0100,jozefow,lbl,jzfw,lbl_jzfw,5
0100,kazimierz,krk,kzmrz,krk_kzmrz,6
0100,lublin,lbl,lubln,lbl_lbln,7
0100,miedzyrzecz_podlaski,pdl,mdzyrzcz_pdlsk,pdl_mdzyrzcz_pdlsk,8
0100,poznan,pzn,pznn,pzn_pznn,9
0100,wysokie_mazowieckie,maz,wysk_mzwck,maz_wysk_mzwck,10
0100,przemysl,rus,przmysl,rus_przmysl,11
0100,siemiatycze,pdl,smtycz,pdl_smtycz,12
0100,koscielna_nur,maz,kscln_nur,maz_kscln_nr,13
0100,miedzyrzecz_korecki,wol,mdzyrzcz_krck,wol_mdzyrzcz_krck,14
0100,glusk,lbl,glusk,lbl_glsk,15
1000,bachtyn,pod,bchtyn,pod_bchtyn,16
1000,balin,pod,bln,pod_bln,17
1000,bar,pod,br,pod_br,18
1000,bilcze,pod,blcz,pod_blcz,19
1000,borek,pod,brk,pod_brk,20
1000,borszczow,pod,brszczw,pod_brszczw,21
1000,chmielnik,pod,chmlnk,pod_chmlnk,22
1000,czarnokozince,pod,czrnkznc,pod_czrnkznc,23
1000,czarnoostrow,pod,czrnstrw,pod_czrnstrw,24
1000,czeniejowce,brc,cznjwc,brc_cznjwc,25
1000,czercze,pod,czrcz,pod_czrcz,26
1000,czerwonogrod,pod,czrwngrd,pod_czrwngrd,27
1000,deraznia,pod,drzn,pod_drzn,28
1000,dunajowiec,pod,dunjwc,pod_dnjwc,29
1000,dωwinogrod,pod,dωwngrd,pod_dωwngrd,30
1000,franpol,pod,frnpl,pod_frnpl,31
1000,fulsztyn,pod,fulsztyn,pod_flsztyn,32
1000,grodek,pod,grdk,pod_grdk,33
1000,grodek_on_dnister,pod,grdk_n_dnstr,pod_grdk_n_dnstr,34
1000,husiatyn,pod,hustyn,pod_hstyn,35
1000,jagielnica,pod,jglnc,pod_jglnc,36
1000,janow,pod,jnw,pod_jnw,37
1000,jarmolnica,pod,jrmlnc,pod_jrmlnc,38
1000,jaruha,pod,jruh,pod_jrh,39
1000,jaryszow,pod,jryszw,pod_jryszw,40
1000,jazlowiec,pod,jzlwc,pod_jzlwc,41
1000,jezierzany,pod,jzrzny,pod_jzrzny,42
1000,kalukow,pod,klukw,pod_klkw,43
1000,kalusz,pod,klusz,pod_klsz,44
1000,kamieniec_podolski,pod,kmnc_pdlsk,pod_kmnc_pdlsk,45
1000,kasperowce,pod,ksprwc,pod_ksprwc,46
1000,kitajgrod,pod,ktjgrd,pod_ktjgrd,47
1000,kolendziany,pod,klndzny,pod_klndzny,48
1000,kopajgrod,pod,kpjgrd,pod_kpjgrd,49
1000,krolowka,pod,krlwk,pod_krlwk,50
1000,krzywcza,pod,krzywcz,pod_krzywcz,51
1000,kudryniec,pod,kudrync,pod_kdrync,52
1000,kupin,pod,kupn,pod_kpn,53
1000,kuzmin,pod,kuzmn,pod_kzmn,54
1000,lanckorona,pod,lnckrn,pod_lnckrn,55
1000,latyczew,pod,ltyczw,pod_ltyczw,56
1000,letniowce,pod,ltnwc,pod_ltnwc,57
1000,lityn,pod,ltyn,pod_ltyn,58
1000,michalpol,pod,mchlpl,pod_mchlpl,59
1000,miedzyborz,pod,mdzybrz,pod_mdzybrz,60
1000,mikitynce,pod,mktync,pod_mktync,61
1000,mikolajow,pod,mkljw,pod_mkljw,62
1000,minkowce,pod,mnkwc,pod_mnkwc,63
1000,minkowiec,pod,mnkwc,pod_mnkwc,64
1000,mohylow_podolski,pod,mhylw_pdlsk,pod_mhylw_pdlsk,65
1000,moztow,pod,mztw,pod_mztw,66
1000,nowy_konstantynow,pod,nwy_knstntynw,pod_nwy_knstntynw,67
1000,okop,pod,kp,pod_kp,68
1000,olchowiec,pod,lchwc,pod_lchwc,69
1000,orynin,pod,rynn,pod_rynn,70
1000,ozarzynce,pod,zrzync,pod_zrzync,71
1000,pikow,pod,pkw,pod_pkw,72
1000,pilawa,pod,plw,pod_plw,73
1000,pobuzniany,pod,pbuznny,pod_pbznny,74
1000,ploskirow,pod,plskrw,pod_plskrw,75
1000,salicha,pod,slch,pod_slch,76
1000,podole,pod,pdl,pod_pdl,77
1000,satanow,pod,stnw,pod_stnw,78
1000,sawince,pod,swnc,pod_swnc,79
1000,serebria,pod,srbr,pod_srbr,80
1000,sidorow,pod,sdrw,pod_sdrw,81
1000,skala,pod,skl,pod_skl,82
1000,smotrycz,pod,smtrycz,pod_smtrycz,83
1000,snidkow,pod,sndkw,pod_sndkw,84
1000,snitowka,pod,sntwk,pod_sntwk,85
1000,snydkow,pod,snydkw,pod_snydkw,86
1000,sokolec,pod,sklc,pod_sklc,87
1000,solobkowiec,pod,slbkwc,pod_slbkwc,88
1000,stara_sieniawa,pod,str_snw,pod_str_snw,89
1000,studenica,pod,studnc,pod_stdnc,90
1000,sudkowce,pod,sudkwc,pod_sdkwc,91
1000,szarawka,pod,szrwk,pod_szrwk,92
1000,szarogrod,pod,szrgrd,pod_szrgrd,93
1000,szatawa,pod,sztw,pod_sztw,94
1000,tarnowody,pod,trnwdy,pod_trnwdy,95
1000,tatarzyska,pod,ttrzysk,pod_ttrzysk,96
1000,tluste,pod,tlust,pod_tlst,97
1000,ulanowiec,pod,ulnwc,pod_lnwc,98
1000,turylicz,pod,turylcz,pod_trylcz,99
1000,uszyca,pod,uszyc,pod_szyc,100
1000,ulanow,pod,ulnw,pod_lnw,101
1000,wierzbowiec,pod,wrzbwc,pod_wrzbwc,102
1000,ulaszkowiec,pod,ulszkwc,pod_lszkwc,103
1000,wierzbowka,pod,wrzbwk,pod_wrzbwk,104
1000,wonkowce,pod,wnkwc,pod_wnkwc,105
1000,zaleszcze,pod,zlszcz,pod_zlszcz,106
1000,zamiechow,pod,zmchw,pod_zmchw,107
1000,zbrzyszcze,pod,zbrzyszcz,pod_zbrzyszcz,108
1000,zinkow,pod,znkw,pod_znkw,109
1000,luczyniec,pod,luczync,pod_lczync,110
1000,makow,pod,mkw,pod_mkw,111
1000,zwaniec,pod,zwnc,pod_zwnc,112
1100,babice_bachow,rus,bbc_bchw,rus_bbc_bchw,113
1100,balicz,rus,blcz,rus_blcz,114
1100,bircza,rus,brcz,rus_brcz,115
1100,bybel,rus,bybl,rus_bybl,116
1100,chodnowicz,rus,chdnwcz,rus_chdnwcz,117
1100,chyrow,rus,chyrw,rus_chyrw,118
1100,czarna,rus,czrn,rus_czrn,119
1100,czupnowicz,rus,czupnwcz,rus_czpnwcz,120
1100,dobromil,rus,dbrml,rus_dbrml,121
1100,dubiecko,rus,dubck,rus_dbck,122
1100,dydnia,rus,dydn,rus_dydn,123
1100,dynow,rus,dynw,rus_dynw,124
1100,felsztyn,rus,flsztyn,rus_flsztyn,125
1100,fredropol,rus,frdrpl,rus_frdrpl,126
1100,grodzisk,rus,grdzsk,rus_grdzsk,127
1100,husakow,rus,huskw,rus_hskw,128
1100,husow,rus,husw,rus_hsw,129
1100,iskan,rus,skn,rus_skn,130
1100,izdebki,rus,zdbk,rus_zdbk,131
1100,jaroslaw,rus,jrslw,rus_jrslw,132
1100,jawornik,rus,jwrnk,rus_jwrnk,133
1100,jawornik_ruski,rus,jwrnk_rusk,rus_jwrnk_rsk,134
1100,krakowiec,rus,krkwc,rus_krkwc,135
1100,krukienice,rus,kruknc,rus_krknc,136
1100,krzeszow,rus,krzszw,rus_krzszw,137
1100,krzywcza,rus,krzywcz,rus_krzywcz,138
1100,lezajsk,rus,lzjsk,rus_lzjsk,139
1100,lubomierz,rus,lubmrz,rus_lbmrz,140
1100,medyka,rus,mdyk,rus_mdyk,141
1100,mosciska,rus,mscsk,rus_mscsk,142
1100,nowomiasto,rus,nwmst,rus_nwmst,143
1100,nowosiolki,rus,nwslk,rus_nwslk,144
1100,polski_kanczuga,rus,plsk_knczug,rus_plsk_knczg,145
1100,pruchnik,rus,pruchnk,rus_prchnk,146
1100,przeworsk,rus,przwrsk,rus_przwrsk,147
1100,radymno,rus,rdymn,rus_rdymn,148
1100,rybotycze,rus,rybtycz,rus_rybtycz,149
1100,sadowa,rus,sdw,rus_sdw,150
1100,sambor,rus,smbr,rus_smbr,151
1100,sokolow,rus,sklw,rus_sklw,152
1100,sosnica,rus,ssnc,rus_ssnc,153
1100,stanislawczyk,rus,stnslwczyk,rus_stnslwczyk,154
1100,starosol,rus,strsl,rus_strsl,155
