table,name,type,1720,1735,1736,1739,poll,cencus
table_13,biercza,town,120,200,,160,,
table_13,fredropol,town,,40,,,,
table_13,krukienice,town,,40,,,,
table_13,rybotycze,town,399,350,,300,,
table_13,sambor,town,,,,650,,
table_13,stanislawow,town,,40,,,,
table_13,starosol,town,,350,100,150,,
table_13,stary_sambor,town,,200,,200,,
table_13,suburb_of_przemysl,town,,40,,,,
table_13,uszkow,town,,,,350,350,
table_13,uszkow,villages,498,1230,335,,,
table_13,totals,total,2000,3490,1261,2010,1076,164
table_13,laszki,town,,750,826,,826,164
table_13,nowomiasto_bybel,town,,250,,200,,
