name,1717,1718,1719,1720,1725,1723,1731,1726,1727,1730,1732,1728,1729,1735,1736,1743,1744,1745,1737,1738,1739,1740,1741,1742,1733,1734,1746,1758,1759,1752,1753,1751,1757,1747,1748,1750,1754,1755,1749,1760,1761,1762,1764,poll,census,1763,table,type
bazalia,84,84,150,150,189,,,,,,,,,340,380,340,340,440,,,,,,,,,340,320,360,,,,,,,,,,,360,450,260,394,394,240,,table_14_2,town
jampol,279,279,477,300,,,,,,,,,,,,,,,,,,,,,,,,600,260,,,,,,,,,,,,,,1018,1018,476,,table_14_2,town
kornica,31,31,144,99,,129,,,,,,,,90,170,195,200,200,140,150,140,180,200,200,,,264,,100,100,100,,,,,,,,,,150,130,130,130,49,,table_14_2,town
kozin,56,56,,108,150,129,200,,,,,,,80,150,,,,150,300,,300,100,,282,,,50,227,128,,180,,,,,,,,,227,,185,185,332,,table_14_2,town
krzemieniec,339,339,300,450,164,222,214,200,498,906,500,,,400,300,700,725,800,,900,781,600,,700,500,420,,,,1621,1185,2200,,1331,1200,1200,1200,680,,,,,,680,1029,,table_14_2,town
lachowce,558,558,951,956,999,,763,1200,1200,770,,1200,900,720,,,,,,,,,1200,,,,2000,,1690,,,,1600,,,,,2000,,2490,1700,,1694,1694,589,1896,table_14_2,town
lanowce,,,,,60,,,30,,35,,30,30,,,,,,80,,,,,,,,,120,100,,,,,,,,,,,,157,150,,150,85,,table_14_2,town
oleksyniec,138,138,300,189,245,264,,,200,,,,,,,,,,,,,,,,,,,400,50,500,,,450,,,,,,,190,210,210,462,462,203,,table_14_2,town
oleszyce,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,table_14_2,town
ozochowce,102,,240,,,,187,,,190,,,,370,400,,,,,,,,,,,,,87,600,140,,,450,,,,,,,,,,448,448,317,,table_14_2,town
ptycze,70,70,44,70,129,,70,100,129,100,100,100,100,50,56,,85,85,,,,60,80,85,56,53,140,70,85,70,,70,,,70,,,,,,87,,,87,112,,table_14_2,town
perniatyn,,,,,60,60,,,,,,60,60,,,,,,,,,,100,60,,,60,60,60,85,,60,60,60,60,60,,60,60,60,60,80,,80,,,table_14_2,town
radziwilow,99,100,228,219,,,,,,,,,,130,,,,,,,,,,,,,,,520,,,,,,,,,,,520,,,539,539,298,,table_14_2,town
rochmanow,168,168,264,285,113,,,,,220,,,,250,,340,,,,,,,,,,,,430,520,,,,,,,,,,,60,,,,60,170,,table_14_2,town
szumsk,31,31,75,75,,,,,,,,,,80,,,147,147,,120,100,120,161,140,,,210,60,260,,,,,40,,,,,,,,,,,,,table_14_2,town
tofipol,,,,108,,138,,,,,,,,560,,,,,,,,,,,,,900,280,845,,,,,,,,,,,845,,,748,748,516,,table_14_2,town
testuchow,,,951,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,table_14_2,town
werba,,,480,,,,,,,,,,50,50,56,,90,90,,56,,,,,56,53,150,120,125,120,,120,,,,,,,,,157,,175,175,181,,table_14_2,town
wisniowiec,558,558,,,,,863,,849,870,865,,850,815,806,,,,810,810,806,900,1000,,710,,,550,520,,,,1300,,,,,,,870,,,,870,664,,table_14_2,town
woloczysko,,,,,100,,397,,,,390,,,70,180,,,,,,,,,550,,,,50,459,,,,,,,,,,,429,577,269,508,508,774,,table_14_2,town
wyzgrodek,210,210,,408,,,,80,,,,,,460,350,,,,,,,,420,500,500,,1000,80,600,,,,,,600,,,,,,600,740,622,622,668,,table_14_2,town
zabikryk,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,table_14_2,town
zbaraz,,,,,600,,,,,,,,,,1200,,,,,,,,1000,,,,,160,800,,,,,,,,,,,600,1000,946,,946,910,,table_14_2,town
czarnoostrow,,,,,80,150,161,150,150,160,160,150,150,390,220,238,238,238,150,212,,210,300,90,212,,338,260,120,310,310,310,277,300,300,310,260,260,310,,160,160,180,180,226,166,table_14_2,town
totals,2723,2622,4604,3519,2982,1097,2855,1760,3030,3251,2015,1540,2380,4855,4268,2033,1925,2000,1330,2004,2039,5120,4561,2385,2316,526,6303,4068,9296,4084,1845,3190,4257,2887,2837,2243,1460,3412,816,7434,6542,3619,7393,10889,8492,2596,table_14_2,total
izumsk,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table_14_2,town
labun,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,table_14_2,town
zbaraz,,,,,,,,,,,,,,,,,100,,,,,,,60,,,709,316,553,1040,250,250,120,956,467,252,,410,446,439,915,208,,300,,300,table_14_2,villages
horynka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,50,50,171,200,200,203,174,table_14_2,town
klucz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,200,,200,,200,222,,table_14_2,town
krupiec,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,71,,,,55,,,,,,,71,95,95,91,91,114,,table_14_2,town
oleksyniec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,table_14_2,villages
