table,name,type,1749,1750,1752,1753,1754,1757,1758,poll,cencus
table_14_7,brahin,town,450,450,900,550,300,300,300,300,532
table_14_7,chojniki,town,300,300,300,210,100,100,100,100,198
table_14_7,choszczomel,town,,100,,,,,,100,
table_14_7,czarnobyl,town,400,400,400,300,216,216,216,216,696
table_14_7,dymidow,town,,100,,,,,,100,
table_14_7,owrucz,town,300,300,360,260,120,120,120,120,607
table_14_7,sylweszna,town,250,300,,,,,,300,
table_14_7,totals,total,2800,3000,3420,2420,1556,1476,1706,1956,3021
table_14_7,wieledniki,town,300,300,750,550,250,250,250,250,241
table_14_7,wieledniki,villages,,,,,,,,,51
table_14_7,lubianka,town,,,,120,50,50,50,50,
table_14_7,luhyny,town,150,150,150,,,120,100,100,215
table_14_7,narodycze,town,400,400,200,200,200,200,200,200,241
table_14_7,nordzynsk,town,250,250,360,230,120,120,120,120,240
