table,name,type,1729,1751,1753,1754,1761,1763,poll,cencus
table_6_1,bratian,town,,,,,,,,52
table_6_1,ciborz_and_lidzbark,town,,,,,,,,21
table_6_1,fijewo,town,,,,,,,,172
table_6_1,ostromecko,town,,,,,,,,39
table_6_1,szembruk,town,600,,,,,,600,93
table_6_1,plowez,town,,,,,,,,80
table_6_1,suburb_of_koscierzyna,town,,,,,,,,43
table_6_1,suburb_of_tuchola,town,,,,,,,,64
table_6_1,village_near_tczew,villages,,,,,,,,476
table_6_1,pokrzywno,town,,,,,,,,43
table_6_1,torun,town,,,,,,,,43
table_6_1,other_village,town,,,,,,,,124
table_6_1,suburb_of_czluchow,town,,,,,,,,419
table_6_1,suburb_of_hammerstein,town,,,,,,,,80
table_6_1,wlewsk,town,,,,,,,,34
table_6_1,suburb_of_gdansk,town,,800,445,500,200,600,600,1098
table_6_1,total,total,600,,,,,,600,577
table_6_1,totals,total,,800,445,500,200,600,600,2731
table_6_1,village_near_czluchow,villages,,,,,,,,37
table_6_1,village_near_kiszpork,villages,,,,,,,,86
table_6_1,village_near_mirachowo,villages,,,,,,,,37
table_6_1,village_near_nowe,villages,,,,,,,,43
table_6_1,village_near_swiecie,villages,,,,,,,,214
table_6_1,village_near_puck,villages,,,,,,,,85
table_6_1,village_near_tuchola,villages,,,,,,,,11
