id,deanery_id,deanery,adeacon_id,adeaconry,diocese_id,diocese,metrop_id,metropoly
1,9070,Baków,9073,Baków,8349,Baków,8342,Lwów
2,8788,Kołomyja,8365,Halicz,8353,Lwów,8342,Lwów
3,8789,Spisz,2831,Nowy Sącz,2809,Kraków,8341,Gniezno
4,8790,Czarnokozińce,9075,Kamieniec,8351,Kamieniec,8342,Lwów
5,8791,Halicz,8365,Halicz,8353,Lwów,8342,Lwów
6,8792,Jazłowiec,9075,Kamieniec,8351,Kamieniec,8342,Lwów
7,8793,Dunajowce,9075,Kamieniec,8351,Kamieniec,8342,Lwów
8,8794,Szarogród,9075,Kamieniec,8351,Kamieniec,8342,Lwów
9,8799,Sanok,8370,Brzozów,2807,Przemyśl,8342,Lwów
12,8796,Buczacz,8366,Lwów,8353,Lwów,8342,Lwów
10,8813,Dynów,8370,Brzozów,2807,Przemyśl,8342,Lwów
11,8795,Żydaczów,8365,Halicz,8353,Lwów,8342,Lwów
13,2888,Kościan,2822,Śrem,2813,Poznań,8341,Gniezno
14,8797,Konkolniki,8366,Lwów,8353,Lwów,8342,Lwów
15,2875,Żmigród Nowy,8361,Wojnicz,2809,Kraków,8341,Gniezno
18,8801,Satanów,9075,Kamieniec,8351,Kamieniec,8342,Lwów
19,8802,Nowe Miasto,8372,Przemyśl,2807,Przemyśl,8342,Lwów
20,8803,Bracław,8369,Łuck,2808,Łuck,8342,Lwów
21,2913,Krosno,8370,Brzozów,2807,Przemyśl,8342,Lwów
22,8805,Trembowla,8366,Lwów,8353,Lwów,8342,Lwów
106,8863,Małogoszcz,2814,Kurzelów,2810,Gniezno,8341,Gniezno
16,8798,Sambor,8372,Przemyśl,2807,Przemyśl,8342,Lwów
17,8800,Rohatyn,8366,Lwów,8353,Lwów,8342,Lwów
23,2885,Jasło,8361,Wojnicz,2809,Kraków,8341,Gniezno
24,2860,Wolbrom,8358,Pilica,2809,Kraków,8341,Gniezno
25,2872,Nowy Targ,2831,Nowy Sącz,2809,Kraków,8341,Gniezno
31,8808,Gródek Jagielloński,8367,Żółkiew,8353,Lwów,8342,Lwów
32,8809,Chwastów,9076,Kijów,8352,Kijów,8342,Lwów
26,8806,Nowy Sącz,2831,Nowy Sącz,2809,Kraków,8341,Gniezno
27,8807,Brzozów,8370,Brzozów,2807,Przemyśl,8342,Lwów
28,2879,Bobowa,8361,Wojnicz,2809,Kraków,8341,Gniezno
29,2862,Lelów,8359,Prepozytura Pilica,2809,Kraków,8341,Gniezno
30,2952,Biecz,8361,Wojnicz,2809,Kraków,8341,Gniezno
33,8810,Międzybóż,9075,Kamieniec,8351,Kamieniec,8342,Lwów
130,8884,Kiełczyn,2816,Wrocław,2812,Wrocław,8340,Rzym
34,2880,Tarnów,2829,Prepozytura Tarnów,2809,Kraków,8341,Gniezno
35,8820,Żywiec,2838,Kraków,2809,Kraków,8341,Gniezno
39,2855,Dobczyce,2838,Kraków,2809,Kraków,8341,Gniezno
40,8814,Karviná,2836,Opole,2812,Wrocław,8340,Rzym
116,8871,Krasnystaw,9074,Chełm,8350,Chełm,8342,Lwów
36,2946,Pilzno,2831,Nowy Sącz,2809,Kraków,8341,Gniezno
37,8811,Cieszyn,2836,Opole,2812,Wrocław,8340,Rzym
38,8812,Lwów,8366,Lwów,8353,Lwów,8342,Lwów
41,8815,Dunajów,8366,Lwów,8353,Lwów,8342,Lwów
42,8821,Rzeszów,8371,Jarosław,2807,Przemyśl,8342,Lwów
43,8836,Zbaraż,8369,Łuck,2808,Łuck,8342,Lwów
71,8831,Pogrzebień,2836,Opole,2812,Wrocław,8340,Rzym
136,8905,"Wrocław, Mikołaj Bp",2816,Wrocław,2812,Wrocław,8340,Rzym
137,8906,Dubno,8369,Łuck,2808,Łuck,8342,Lwów
44,8816,Frýdek,2836,Opole,2812,Wrocław,8340,Rzym
45,8817,Żytomierz,9076,Kijów,8352,Kijów,8342,Lwów
46,2924,Bielsko,2836,Opole,2812,Wrocław,8340,Rzym
47,8818,Strzyżów,2831,Nowy Sącz,2809,Kraków,8341,Gniezno
48,8819,Fryštát,2836,Opole,2812,Wrocław,8340,Rzym
49,8822,Pruchnik,8372,Przemyśl,2807,Przemyśl,8342,Lwów
50,2881,Skawina,2838,Kraków,2809,Kraków,8341,Gniezno
51,8837,Zlatė Hory,2816,Wrocław,2812,Wrocław,8340,Rzym
52,8823,Mościska,8372,Przemyśl,2807,Przemyśl,8342,Lwów
53,8824,Strumień,2836,Opole,2812,Wrocław,8340,Rzym
54,2926,Lipnica Murowana,8361,Wojnicz,2809,Kraków,8341,Gniezno
55,8825,Wodzisław,2836,Opole,2812,Wrocław,8340,Rzym
56,2927,Zator,2838,Kraków,2809,Kraków,8341,Gniezno
57,2961,Wieliczka,2838,Kraków,2809,Kraków,8341,Gniezno
58,2918,Oświęcim,2838,Kraków,2809,Kraków,8341,Gniezno
59,2896,Kraków,2838,Kraków,2809,Kraków,8341,Gniezno
60,8826,Busk,8367,Żółkiew,8353,Lwów,8342,Lwów
61,2890,Wojnicz,8361,Wojnicz,2809,Kraków,8341,Gniezno
62,8827,Janów,8367,Żółkiew,8353,Lwów,8342,Lwów
63,8848,Biała,2836,Opole,2812,Wrocław,8340,Rzym
64,8832,Pszczyna,2838,Kraków,2809,Kraków,8341,Gniezno
65,2930,Ropczyce,2831,Nowy Sącz,2809,Kraków,8341,Gniezno
66,8828,Żory,2836,Opole,2812,Wrocław,8340,Rzym
67,8830,Racibórz,2836,Opole,2812,Wrocław,8340,Rzym
68,8829,Jarosław,8371,Jarosław,2807,Przemyśl,8342,Lwów
69,8835,Dubieńsko Wielkie,2836,Opole,2812,Wrocław,8340,Rzym
70,8849,Głogów Górny,2836,Opole,2812,Wrocław,8340,Rzym
72,8833,Krzemieniec,8369,Łuck,2808,Łuck,8342,Lwów
73,2917,Proszowice,2838,Kraków,2809,Kraków,8341,Gniezno
74,8834,Tarnogród,8371,Jarosław,2807,Przemyśl,8342,Lwów
94,8852,Sokal,9074,Chełm,8350,Chełm,8342,Lwów
95,8853,Krapkowice,2836,Opole,2812,Wrocław,8340,Rzym
75,2871,Witów,2838,Kraków,2809,Kraków,8341,Gniezno
76,8850,Vidnava,2816,Wrocław,2812,Wrocław,8340,Rzym
77,8838,Leżajsk,8371,Jarosław,2807,Przemyśl,8342,Lwów
78,8839,Gliwice,2836,Opole,2812,Wrocław,8340,Rzym
79,2889,Bytom,2838,Kraków,2809,Kraków,8341,Gniezno
80,8840,Łany,2836,Opole,2812,Wrocław,8340,Rzym
81,8851,Książ Wielki,2838,Kraków,2809,Kraków,8341,Gniezno
82,2939,Mielec,2831,Nowy Sącz,2809,Kraków,8341,Gniezno
83,2853,Opatowiec,2838,Kraków,2809,Kraków,8341,Gniezno
84,2923,Nowa Góra,2838,Kraków,2809,Kraków,8341,Gniezno
85,8841,Potylicz,9074,Chełm,8350,Chełm,8342,Lwów
86,8842,Žulowa,2816,Wrocław,2812,Wrocław,8340,Rzym
87,2957,Sokolina,8360,Prepozytura Wiślica,2809,Kraków,8341,Gniezno
88,2900,Skała,2838,Kraków,2809,Kraków,8341,Gniezno
89,8843,Prudnik,2816,Wrocław,2812,Wrocław,8340,Rzym
90,8844,Gościęcin,2836,Opole,2812,Wrocław,8340,Rzym
91,8845,Głuchołazy,2816,Wrocław,2812,Wrocław,8340,Rzym
92,8846,Turobin,9074,Chełm,8350,Chełm,8342,Lwów
93,8847,Ujazd,2836,Opole,2812,Wrocław,8340,Rzym
