ob_id,name,province,s_province,pl_type,pl_name,pl_name_v,pal_name,diocese,kind,title,comment,source,pl_name_de,category
3 318,Duchaczki - Congreatio Sororum Canonissarum Spiritus Sancti,,,miasto,Lwów,,rus,Lwów,,Św. Krzyż,,"PEK t. 19-20, s. 284; EK t. 4, kolum. 303.",,z
8 250,Norbertanki premonstratenski - Ordo Monialium Premonstratensis,,,wieś,Imbramowice,,kr,Kraków,,Piotr i Paweł AAp,,"N. Backmund, Monasticon Premanstratense, t. 1, cz. 2, Berlin
1983, s. 402-433; A. Żak, Norbertanie i norbertanki w Polsce, „Przegląd
Powszechny”, t. 37, 1920, s. 321-328; EKN, t. 16, s. 340-398; Janicka-Olczakowa,
Zakony żeńskie, s. 748.  SG III, s. 275.",,z
11 464,Benedyktynki - Ordo Monialium Sancti Benedicti,Domy na Śląsku,,miasto,Lubomierz,,Śl,Wrocław,,,,,,z
24 977,Urszulanki - Ordo Sanctae Ursulae,,,miasto,Świdnica,,Śl,Wrocław,,,,,,z
3 234,Franciszkanie obserwanci (Bernardyni) - Ordo Fratrum Minorum de Observantia,ruska NPNMP,,miasto,Lwów,,rus,Lwów,"konw, kust",Andrzej Ap,,"ANV, vol. 121, k. 276-281v: Descriptio Provinciae Russiae
sub titulo Immaculatae Conceptionis BMV, Ordinis S. Francisci Regularis
Observantiae [...] A.D. 1774 (z 4 stycznia). Opr.: ZM, s. 193-194;
Flaga, Zakony, s. 55-57.",,m
9 192,Franciszkanie Konwentualni - Ordo Fratrum Minorum Conventualium,polska,kustodia lubelska,miasto,Lublin,,lub,Kraków,"konw, kust",NMPA,,"ANV, vol. 120, k. 293-296: Status Provinciae Poloniae
et partis Prussiae Ordinis Minorum S.P. Francisci Conventualium – z 31
grudnia 1773 r. Opr.: ZM, s. 220-231; Flaga, Zakony, s. 84-88.",,m
11 420,Bonifratrzy - Ordo Sancti Joannis de Deo,austriacka (Śląsk),,miasto,Cieszyn,,Śl,Wrocław,konw,WnNMP,,,Teschen,m
16 041,Oratorianie (Filipini)  -  Congregatio Oratorii Sancti Philippi Nerii,Domy w Polsce,,miasto,Gostyń,,poz,Poznań,kongr,NPNMP,,"ZM, s. 271 (tamże, podstawa źródłowa).",,m
17 490,Kanonicy regularni laterańscy - Canonici Regularis Lateranensis,Kongregacja krakowska Bożego Ciała,,miasto,Wilno-Antokol,,wil,Wilno,"kan, par.",Piotr i Paweł AAp,,"ZM, s. 244 (tamże, podstawa źródłowa). Opr.: PEK, t. 19,
s. 244-247; ZM, s. 243-244.",,m
21 284,Jezuici - Societas Jesu,mazowiecka,,miasto,Połock,,poł,Wilno,koleg.,WnNMP,,"Catalogus personarum et officiorum Provinciae Masoviae
Societatis Jesu ex anno 1772 in annum 1773, Nesvisii b.r. Typis Radzivillanis
Collegii Societatis Jesu. Opr.: ZM, s. 222-234; Flaga, Zakony,
s. 102-105; EWJ.",,m
26 351,Franciszkanie Konwentualni - Ordo Fratrum Minorum Conventualium,polska,kustodia gnieźnieńska,miasto,Oborniki,,poz,Poznań,par. obsługiwana,Św. Duch,,"ANV, vol. 120, k. 293-296: Status Provinciae Poloniae
et partis Prussiae Ordinis Minorum S.P. Francisci Conventualium – z 31
grudnia 1773 r. Opr.: ZM, s. 220-231; Flaga, Zakony, s. 84-88.",,m
26 362,Kanonicy regularni laterańscy - Canonici Regularis Lateranensis,Kongregacja krakowska Bożego Ciała,,wieś,Krzeszów,,kr,Kraków,filia,Katarzyna PM,par. Sucha Beskidzka,"ZM, s. 244 (tamże, podstawa źródłowa). Opr.: PEK, t. 19,
s. 244-247; ZM, s. 243-244.",,m
16 090,Cysterki - Sacer Ordo Cisterciensis,,,wieś,Owińska,,poz,Poznań,,Św. Krzyż,,"[J. M. Giżycki] Wołyniak, Cysterki owińskie w XVIII-XIX wieku,
b.m. r. w., s. 2-3.",,z
20 050,Cysterki - Sacer Ordo Cisterciensis,,,wieś,Kimbarówka,,miń,Wilno,,Michał A,,"[J. M. Giżycki] M. Gozdawa, Kimbarówka, „Kwartalnik Litewski”,
1, 1910, s. 34-40.",,z
3 323,Karmelitanki bose - Ordo Beatae Mariae Virginis de Monte Carmelo; Carmelitanarum Discalceatarum,,,miasto,Lwów,,rus,Lwów,,OczNMP,,"Relacje o stanie diecezji krakowskiej, s. 143, 173 (rel. Z 1751
i 1765 r.); AKS, teczka poznańska. Relacja o stanie diecezji Poznańskiej
z 1783 r.; PEK t. 19-20, s. 351-353.",,z
3 315,Szarytki - Institutum Puellarum Sancti Vincenti a Paulo,,,miasto,Brody,,rus,Łuck,,,,"PEK, t. 35-36, s. 271-274; M. Świątecka, Św. Wincenty a Polska, NP,
t. 11, 1960, s. 35-100; A. Schletz, Zarys historii sióstr miłosierdzia w Polsce.
(Karta z dziejów społecznych Kościoła), NP, t. 12, 1960, s. 59-172. Por. W.
Chotkowski, Historia polityczna, s. 312-353; Janicka-Olczakowa, Zakony
żeńskie, s. 738, 759-760.",,z
3 316,Szarytki - Institutum Puellarum Sancti Vincenti a Paulo,,,miasto,Gródek,,pod,Kamieniec Podolski,,,,"PEK, t. 35-36, s. 271-274; M. Świątecka, Św. Wincenty a Polska, NP,
t. 11, 1960, s. 35-100; A. Schletz, Zarys historii sióstr miłosierdzia w Polsce.
(Karta z dziejów społecznych Kościoła), NP, t. 12, 1960, s. 59-172. Por. W.
Chotkowski, Historia polityczna, s. 312-353; Janicka-Olczakowa, Zakony
żeńskie, s. 738, 759-760.",,z
3 317,Benedyktynki - Ordo Monialium Sancti Benedicti,Kongregacja orientacji chełmińskiej,,miasto,Jarosław,,rus,Przemyśl,,Mikołaj Bp,,"M. Borkowska, Liczebność i skład osobowy klasztorów benedyktynek
kongregacji chełmińskiej, NP, t. 49, 1978, s. 245-246; taż, Benedyktynki, EK,
2, kolum. 256-258; A. Szylar, Działalność oświatowa benedyktynek sandomierskich
w latach 1616-1865. TNKUL, Lublin 2002, s. 63-74. M. Borkowska, Dynastie ksień jarosławskich, NP, t. 77, 1992,
s. 281295.",,z
3 319,Szarytki - Institutum Puellarum Sancti Vincenti a Paulo,,,miasto,Lwów,,rus,Lwów,,Wincenty,,"PEK, t. 35-36, s. 271-274; M. Świątecka, Św. Wincenty a Polska, NP,
t. 11, 1960, s. 35-100; A. Schletz, Zarys historii sióstr miłosierdzia w Polsce.
(Karta z dziejów społecznych Kościoła), NP, t. 12, 1960, s. 59-172. Por. W.
Chotkowski, Historia polityczna, s. 312-353; Janicka-Olczakowa, Zakony
żeńskie, s. 738, 759-760.  AALw AV8 (1817 r.), k. 5-8.",,z
3 320,Sakramentki (Benedyktynki o Nieustającej Adoracji) - Moniales Ordinis Sancti Benedicti ab Adoratione Pepetua Sanctissimi Sacramenti,,,miasto,Lwów,,rus,Lwów,,"ZaśnNMP, Józef",,"R. Filochowski, Kościół i klasztor PP. Sakramentek w Warszawie albo historia sakramentek warszawskich, Warszawa 1889; Kościół Panien
Sakramentek we Lwowie , „Gazeta Narodowa”, 1883, nr 228; Janicka-Olczakowa,
Zakony żeńskie, s. 746.  AALw, AV8 (1817 r.), s. 27-34.",,z
3 321,Benedyktynki - Ordo Monialium Sancti Benedicti,Kongregacja orientacji chełmińskiej,,miasto,Lwów,,rus,Lwów,,Wszyscy Św.,,"M. Borkowska, Liczebność i skład osobowy klasztorów benedyktynek
kongregacji chełmińskiej, NP, t. 49, 1978, s. 245-246; taż, Benedyktynki, EK,
2, kolum. 256-258; A. Szylar, Działalność oświatowa benedyktynek sandomierskich
w latach 1616-1865. TNKUL, Lublin 2002, s. 63-74. AALw AV6, k. 16 (AV z 1817 r.); B. Kaczorowski, Przewodnik po
Lwowie, Warszawa 1990, s. 134-137.",,z
3 322,Karmelitanki trzewiczkowe - Ordo Sororum Beatae Virginis Mariae de Monte Carmelo,,,miasto,Lwów,,rus,Lwów,,Agnieszka PM,,"PEK t. 19-20, s. 351; M. Borkowska, Karmelitanki dawnej obserwancji w Polsce. Dzieje zapomnianego zakonu, NP, t. 75, 1991, s. 91-116.  W. Chotkowski, Historia polityczna, s. 33.",,z
3 324,Bernardynki - Moniales Tertii Ordinis Regularis Sancti Francisci Assisiensis,,,miasto,Lwów,,rus,Lwów,,NPNMP,,"Relacje o stanie diecezji krakowskiej 1615-1765, s. 143 (rel. z 1751 r.);
K. Kantak, Bernardyni w Polsce, t. 2, Lwów 1933, s. 357-390; R. Gustaw,
Klasztor św. Józefa ss. Bernardynek w Krakowie. 1646-1946, Kraków 1947
(Kraków: św. Agnieszka; św. Józef).",,z
3 325,Dominikanki - Moniales Ordinis Praedicatorum,,,miasto,Lwów,,rus,Lwów,,Katarzyna ze Sieny,,"PEK t. 9-10, s. 90-91; EK t. 4, kolum. 84-85; W. Chotkowski, Ks[ięcia] prymasa, s. 125-128; tenże, Historia polityczna, s. 117-125; S. Barącz, Rys
dziejów zakonu kaznodziejskiego w Polsce, t. 2, Lwów 1861, s. 517-526.",,z
3 326,Brygidki - Ordo Sanctissimi Salvatoris; Ordo Sanctae Brigittae,,,miasto,Lwów,,rus,Lwów,,Piotr Ap,,"EK, t. 2, kolum. 1118-1119; J. Fankidejski, Klasztory, s. 64; W. Chotkowski,
Historia polityczna, s. 109; Kurczewski, s. 139; S. Kamińska, Klasztory
brygidek w Gdańsku, Elblągu i Lublinie, Gdańsk 1970, s. 52-280.",,z
3 327,Benedyktynki - Ordo Monialium Sancti Benedicti,Kongregacja orientacji chełmińskiej,,miasto,Przemyśl,,rus,Przemyśl,,Św. Trójca,,"M. Borkowska, Liczebność i skład osobowy klasztorów benedyktynek
kongregacji chełmińskiej, NP, t. 49, 1978, s. 245-246; taż, Benedyktynki, EK,
2, kolum. 256-258; A. Szylar, Działalność oświatowa benedyktynek sandomierskich
w latach 1616-1865. TNKUL, Lublin 2002, s. 63-74. AAPrz AV163, k. 735 (AV z 1743 r.); J. Kłoczowski, Zakony w diecezji
przemyskiej, s. 37.",,z
3 328,Dominikanki - Moniales Ordinis Praedicatorum,,,miasto,Przemyśl,,rus,Przemyśl,,"NMP, Katarzyna",,"PEK t. 9-10, s. 90-91; EK t. 4, kolum. 84-85; W. Chotkowski, Ks[ięcia] prymasa, s. 125-128; tenże, Historia polityczna, s. 117-125; S. Barącz, Rys
dziejów zakonu kaznodziejskiego w Polsce, t. 2, Lwów 1861, s. 517-526.",,z
3 329,Szarytki - Institutum Puellarum Sancti Vincenti a Paulo,,,miasto,Przeworsk,,rus,Przemyśl,,,,"PEK, t. 35-36, s. 271-274; M. Świątecka, Św. Wincenty a Polska, NP,
t. 11, 1960, s. 35-100; A. Schletz, Zarys historii sióstr miłosierdzia w Polsce.
(Karta z dziejów społecznych Kościoła), NP, t. 12, 1960, s. 59-172. Por. W.
Chotkowski, Historia polityczna, s. 312-353; Janicka-Olczakowa, Zakony
żeńskie, s. 738, 759-760.  J. Kłoczowski, Zakony w diecezji przemyskiej, s. 47.",,z
