ob_id,pl_name,pl_name_de,pl_name_v,pl_type,material,patronage,kind,title,denom,name,source,pal_name,deanery,adeaconry,diocese,metropoly,parish,type
3 565,Żorniska,,,wieś,dr,k,,Spotkanie Pańskie,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 137 (OczNMP); Kołbuk 1998, s. 185 (dek. Obroszyn, s); Skoczylas, Oficjalat Lwów, s. 137.",rus,Lwów,Lwów,Lwów,Kijów-Wilno,,świątynia główna
2 978,Stare Sioło,,,wieś,,s,,Św. Trójca,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 376.",rus,Lwów,Lwów,Lwów,Lwów,,świątynia główna
22 406,Kołodruby,,,wieś,dr,s,,Jerzy M,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 138; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 148.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
6 135,Głuchowice,,,wieś,dr,d,,PKrzyża Św,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 184 (s); Skoczylas, Oficjalat Lwów, s. 133.",rus,Lwów,Lwów,Lwów,Kijów-Wilno,,świątynia główna
6 118,Czarnuszowice,,,wieś,dr,d,,Mikołaj Bp,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 183.",rus,Lwów,Lwów,Lwów,Kijów-Wilno,,świątynia główna
6 171,Barszczowice,,,wieś,dr,k,,Prakseda PM,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 183; Skoczylas, Oficjalat Lwów, s. 132.",rus,Lwów,Lwów,Lwów,Kijów-Wilno,,świątynia główna
2 925,Prusy,,,wieś,dr,k,,Bartłomiej Ap,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 376.",rus,Lwów,Lwów,Lwów,Lwów,,świątynia główna
4 856,Miłoszowice,,,wieś,dr,s,,Spotkanie Pańskie,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 192 (OczNMP); Skoczylas, Niedatowanyj rejestr, s. 545; Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Lwów, s. 149.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
4 216,Szczerzec,,,miasto,mr,k,,Św. Trójca,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 192 (s); Skoczylas, Oficjalat Lwów, s. 151.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
5 199,Mostki,,,wieś,dr,s,,Mikołaj Bp,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 192.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
22 405,Kahujów,,,wieś,dr,s,,Prakseda PM,Kościół katolicki ob. greckiego,,"Skoczylas, Niedatowanyj rejestr, s. 545; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 148.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
22 404,Powerchów,,,wieś,dr,s,,Prakseda PM,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 138; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 150.",rus,Szczerzec,Lwów,Lwów,Kijów-Wilno,,świątynia główna
15 158,Grabowo,,,wieś,mr,d,,Anna,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 339.",pom,Mirachowo,Gdańsk,Włocławek,Gniezno,,świątynia główna
15 269,Góra,,,wieś,dr,s,,Mateusz Ap,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 340.",pom,Puck,Gdańsk,Włocławek,Gniezno,Wejherowo,świątynia pomocnicza
4 324,Wielkopole,,,wieś,dr,k,,Ucieczka do Egiptu NMP,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 380; Kołbuk 1998, s. 248.",rus,Gródek Jagielloński,,Przemyśl,Kijów-Wilno,,świątynia główna
3 774,Lelechówka,,,wieś,dr,k,,WnNMP,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 215; Kołbuk 1998, s. 247.",rus,Gródek Jagielloński,,Przemyśl,Kijów-Wilno,,świątynia główna
24 467,Pogorzela,,,miasto,,,,,Religia mojżeszowa,,"Liczba głów, s. 392, 1765 r.",kal,,,,,,świątynia główna
4 345,Wola Dobrostańska,,,wieś,dr,k,,WnNMP,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 386; Kołbuk 1998, s. 248.",rus,Gródek Jagielloński,,Przemyśl,Kijów-Wilno,,świątynia główna
15 280,Kiełpino,,,wieś,mr,d,,Michał A,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 339.",pom,Mirachowo,Gdańsk,Włocławek,Gniezno,Goręczyno,świątynia pomocnicza
15 253,Czapielsk,,Czapelsko,wieś,dr,d,,Mikołaj Bp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 337.",pom,Gdańsk,Gdańsk,Włocławek,Gniezno,Gdańsk,świątynia pomocnicza
15 250,Chylonja,,Chylonia,wieś,mr-pr,s,,Mikołaj Bp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 340 (Chylonia).",pom,Puck,Gdańsk,Włocławek,Gniezno,Oksywie,świątynia pomocnicza
15 341,Zagórze,,,wieś,,,,,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 340.",pom,Puck,Gdańsk,Włocławek,Gniezno,Rumja,świątynia pomocnicza
2 880,Milczyce,,,wieś,dr,d,,Wojciech Bp,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 403.",rus,Mościska,Przemyśl,Przemyśl,Lwów,,świątynia główna
2 886,Myślatycze,,,wieś,dr,s,,"Filip, Jakub Mn AAp, Katarzyna PM",Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 403.",rus,Mościska,Przemyśl,Przemyśl,Lwów,,świątynia główna
2 823,Krakowiec,,,miasto,dr,s,,Jakub W Ap,Kościół katolicki ob. łacińskiego,,"Litak 1996, s. 403.",rus,Mościska,Przemyśl,Przemyśl,Lwów,,świątynia główna
4 048,Przyłbice,,,wieś,dr,d,,Ucieczka do Egiptu NMP,Kościół katolicki ob. greckiego,,"Budzyński, Ludność, II, s. 298; Kołbuk 1998, s. 250.",rus,Jaworów,,Przemyśl,Kijów-Wilno,,świątynia główna
3 492,Rokitno,,Rokitno Małe,wieś,dr,d-k-s,,Sobór NMP,Kościół katolicki ob. greckiego,,"Budzyński, Struktura, s. 137; Kołbuk 1998, s. 185 (dek. Obroszyn, s); cerkiew w XX wieku zlokalizowana w części zwanej Rokitno Małe; Skoczylas, Oficjalat Lwów, s. 136.",rus,Lwów,Lwów,Lwów,Kijów-Wilno,,świątynia główna
6 136,Dmytrowice,,,wieś,dr,s,,Sobór Michała A,Kościół katolicki ob. greckiego,,"Kołbuk 1998, s. 184 (Michał A); Skoczylas, Oficjalat Lwów, s. 133.",rus,Lwów,Lwów,Lwów,Kijów-Wilno,,świątynia główna
