"","id","name","type","relig_type","dist","lp_w","lp_o","cdnts","nl"
"1",236,"Krasiczyn","miasto","świątynia główna","rus",4,1981,"[22.659939944912594, 49.770988524042195]","krasiczyn"
"2",400,"Pogorzela","miasto","świątynia główna","kal",4,24467,"[17.231014690760617, 51.81513659685811]","pogorzela"
"3",549,"Uście Zielone","miasto","świątynia główna","rus",4,2073,"[24.959953018521276, 49.03247071178134]","uscie_zielone"
"4",3398,"Przecław","miasto","świątynia główna","san",4,2464,"[21.47922770261273, 50.19383292361882]","przeclaw"
"5",14571,"Jarosław","miasto","świątynia pomocnicza","rus",4,1969,"[22.715347627496783, 50.00950832154024]","jaroslaw"
"6",3612,"Sokołów","miasto","świątynia główna","rus",4,2047,"[22.130055261504626, 50.22395578202586]","sokolow"
"7",3752,"Wielopole","miasto","świątynia główna","san",4,22484,"[21.613233935643784, 49.94474460762323]","wielopole"
"8",7198,"Rzochów","miasto","świątynia główna","san",4,22481,"[21.490833671032437, 50.24088769754374]","rzochow"
"9",7374,"Goraj","miasto","świątynia główna","lub",4,2229,"[22.665861414057243, 50.72117517080901]","goraj"
"10",906,"Borodzianka","miasto","świątynia główna","kij",4,2174,"[29.931983118814173, 50.64017346634779]","borodzianka"
"11",935,"Snitówka","miasto","świątynia główna","pod",4,22960,"[27.50344724241961, 49.333433166316695]","snitowka"
"12",1091,"Kochanówka","miasto","świątynia główna","brac",4,23221,"[28.74306928320334, 49.27899831364658]","kochanowka"
"13",1155,"Sieraków","miasto","świątynia główna","poz",4,2408,"[16.068689961155883, 52.651756497628185]","sierakow"
"14",5350,"Zamiechów","miasto","świątynia główna","pod",4,22964,"[27.366627966384897, 48.854038940303155]","zamiechow"
"15",5388,"Czarnokozińce","miasto","świątynia główna","pod",4,9621,"[26.283657073509005, 48.65742713208505]","czarnokozince"
"16",7405,"Komarów","miasto","świątynia główna","beł",4,5245,"[23.476500190828006, 50.62357754849029]","komarow"
"17",12097,"Sidorów","miasto","świątynia główna","pod",4,2358,"[26.15490044429754, 49.010934139028734]","sidorow"
"18",2622,"Pyzdry","miasto","świątynia główna","kal",4,2163,"[17.69705989858079, 52.17394161329838]","pyzdry"
"19",2478,"Wąsewo","wieś","świątynia główna","maz",4,2282,"[21.69572857835084, 52.86750122104098]","wasewo"
"20",6911,"Lipsko","miasto","świątynia główna","beł",4,22410,"[23.34856536478486, 50.34814988697451]","lipsko"
"21",8792,"Pniewy","miasto","świątynia główna","poz",4,2396,"[16.26848402577059, 52.50704229383217]","pniewy"
"22",9174,"Teplik","miasto","świątynia główna","brac",4,23285,"[29.743010239147168, 48.66480817374901]","teplik"
"23",10265,"Margonin","miasto","świątynia główna","gn",4,23311,"[17.108391694995078, 52.9568364926788]","margonin"
"24",3368,"Chabne","miasto","świątynia główna","kij",4,2177,"[29.38715431727684, 51.23497253976279]","chabne"
"25",10107,"Mokobody","miasto","świątynia główna","podl",4,2308,"[22.117901645203403, 52.26922602516578]","mokobody"
"26",7626,"Lelów","miasto","świątynia główna","kr",4,2576,"[19.62386008064196, 50.682336313248726]","lelow"
"27",3676,"Potoki","miasto","świątynia główna","beł",4,6385,"[23.539332468605632, 50.30958159773954]","potoki"
"28",3610,"Niemirów","miasto","świątynia główna","podl",4,2313,"[23.153071510975963, 52.2869645109771]","niemirow"
"29",3613,"Szczebrzeszyn","miasto","świątynia główna","rus",4,2696,"[22.9771615149686, 50.69412144977347]","szczebrzeszyn"
"30",3615,"Ciechanowiec","miasto","świątynia główna","podl",4,2299,"[22.499206178063275, 52.67422000159638]","ciechanowiec"
"31",3636,"Działyń","wieś","świątynia główna","gn",4,23377,"[17.50194083410455, 52.589338797383554]","dzialyn"
"32",3651,"Gozdanin","wieś","świątynia główna","gn",4,24480,"[17.985993446132227, 52.6016319011909]","gozdanin"
"33",3685,"Nowy Sącz","miasto","świątynia główna","kr",4,2579,"[20.69044744360703, 49.62775230003764]","nowy_sacz"
"34",3693,"Wiśnicz Nowy","miasto","świątynia główna","kr",4,2592,"[20.46120180309681, 49.914079642187225]","wisnicz_nowy"
"35",3697,"Chrzanów","miasto","świątynia główna","kr",4,2561,"[19.407315185932664, 50.14283863390426]","chrzanow"
"36",3743,"Dukla","miasto","świątynia główna","kr",4,2563,"[21.68602572405489, 49.55421962606903]","dukla"
"37",3749,"Frysztak","miasto","świątynia główna","san",4,22482,"[21.608879143114038, 49.83698707669328]","frysztak"
"38",3750,"Sędziszów","miasto","świątynia główna","san",4,2492,"[21.69981389771798, 50.06924933772789]","sedziszow"
"39",3757,"Ulanów","miasto","świątynia główna","san",4,2505,"[22.265055154493755, 50.49021650914709]","ulanow"
"40",3780,"Kazimierz","miasto","świątynia pomocnicza","kr",4,2572,"[19.946667232536733, 50.05162149648709]","kazimierz"
"41",7607,"Lipsko","miasto","świątynia główna","san",4,2465,"[21.64771639646634, 51.1607146238505]","lipsko"
"42",7630,"Szczekociny","miasto","świątynia główna","kr",4,2589,"[19.81769531201004, 50.6267904556694]","szczekociny"
"43",7640,"Szydłowiec","miasto","świątynia główna","san",4,2500,"[20.859863806747605, 51.22771018248524]","szydlowiec"
"44",15022,"Siemiatycze","miasto","świątynia główna","podl",4,2318,"[22.862653952950993, 52.427112241799804]","siemiatycze"
"45",15023,"Radomyśl","miasto","świątynia główna","kij",4,2202,"[29.22720661993435, 50.49478237523596]","radomysl"
"46",15031,"Hrubieszów","miasto","świątynia główna","rus",4,2608,"[23.898016915376445, 50.80176240301142]","hrubieszow"
"47",15050,"Czerniejewo","miasto","świątynia główna","gn",4,24470,"[17.491669329655213, 52.42442133148249]","czerniejewo"
"48",15059,"Witkowo","miasto","świątynia główna","gn",4,2134,"[17.774452660291537, 52.43953733162733]","witkowo"
"49",15136,"Kazimierz","miasto","świątynia pomocnicza","kr",4,2571,"[19.94735897744987, 50.051338433895836]","kazimierz"
"50",15154,"Głogów","miasto","świątynia główna","san",4,2448,"[21.96444525865631, 50.15067874222381]","glogow"
"51",15159,"Rudnik","miasto","świątynia główna","san",4,2489,"[22.25051636525817, 50.443176546309886]","rudnik"
"52",15161,"Janów","miasto","świątynia główna","lub",4,9033,"[22.40925520831089, 50.70431429757824]","janow"
"53",15165,"Baranów","miasto","świątynia główna","san",4,2440,"[21.541497754072374, 50.500408513208235]","baranow"
"54",15175,"Żabno","miasto","świątynia główna","san",4,2509,"[20.88768633888863, 50.135262413324035]","zabno"
"55",15188,"Kazimierz","miasto","świątynia pomocnicza","kr",4,2569,"[19.947343171047038, 50.05264271589264]","kazimierz"
"56",15192,"Nowy Korczyn","miasto","świątynia pomocnicza","san",4,2460,"[20.813266326364737, 50.29906926264443]","nowy_korczyn"
"57",15194,"Oleśnica","miasto","świątynia główna","san",4,2472,"[21.063395733497742, 50.449857095818466]","olesnica"
"58",15202,"Działoszyce","miasto","świątynia główna","kr",4,2564,"[20.35186721810443, 50.36432874811896]","dzialoszyce"
"59",15229,"Koniecpol","miasto","świątynia główna","sier",4,2520,"[19.67455693191349, 50.771119559868595]","koniecpol"
"60",15237,"Żarki","miasto","świątynia główna","kr",4,2602,"[19.364638551240265, 50.62673164094473]","zarki"
"61",15244,"Sienno","miasto","świątynia główna","san",4,2493,"[21.47099412758573, 51.08506784401963]","sienno"
"62",15253,"Janowiec","miasto","świątynia główna","san",4,2453,"[21.896141393318302, 51.32281808455706]","janowiec"
