dist,cname,nl,name,id
blz,blz,belz,Bełz,10967
blz,bsk,busk,Busk,4391
blz,chljw,cholojow,Chołojów,3299
blz,csznw,cieszanow,Cieszanów,14537
blz,dbnk,dubienka,Dubienka,2132
blz,grbwc,grabowiec,Grabowiec,6883
blz,hnw,uhnow,Uhnów,3144
blz,hrdl,horodlo,Horodło,3284
blz,jrczw,jarczow,Jarczów,7490
blz,kmrw,komarow,Komarów,7405
blz,krystynpl,krystynopol,Krystynopol,7081
blz,krytnc,korytnica,Korytnica,10920
blz,lbczw,lubaczow,Lubaczów,11253
blz,lbycz_krlwsk,lubycza_krolewska,Lubycza Królewska,11323
blz,lpsk,lipsko,Lipsko,6911
blz,lszczw,laszczow,Łaszczów,3112
blz,lszyc,oleszyce,Oleszyce,6899
blz,mgrw,magierow,Magierów,6906
blz,msty_wlk,mosty_wielkie,Mosty Wielkie,14719
blz,nmrw,niemirow,Niemirów,7070
blz,nrl,narol,Narol,10798
blz,ptk,potoki,Potoki,3676
blz,rdzchw,radziechow,Radziechów,14634
blz,rw_rsk,rawa_ruska,Rawa Ruska,14561
blz,skl,sokal,Sokal,10938
blz,stjnw,stojanow,Stojanów,14700
blz,strzmlcz,strzemilcze,Strzemilcze,10586
blz,szczrwc,szczurowice,Szczurowice,2951
blz,tmszw_lblsk,tomaszow_lubelski,Tomaszów Lubelski,7401
blz,trtkw,tartakow,Tartaków,10940
blz,tyszwc,tyszowce,Tyszowce,3113
blz,wlk_czy,wielkie_oczy,Wielkie Oczy,7064
blz,wrz,warez,Waręż,7082
blz,wtkw_nwy,witkow_nowy,Witków Nowy,10950
brc,bdwk,obodowka,Obodówka,1530
brc,blt,balta,Bałta,8037
brc,brclw,braclaw,Bracław,5513
brc,brhlw,brahilow,Brahiłów,1096
brc,brszd,berszada,Berszada,12976
brc,cknwk,cekinowka,Cekinówka,9393
brc,czczlnk,czeczelnik,Czeczelnik,5282
brc,dszw,daszow,Daszów,896
brc,dznkw,dziunkow,Dziuńków,844
brc,grnw,granow,Granów,1533
brc,hjsyn,hajsyn,Hajsyn,12910
brc,hmn,human,Humań,5285
brc,jnszgrd,januszgrod,Januszgrod,13193
brc,jnw,janow,Janów,4865
brc,kchnwk,kochanowka,Kochanówka,1091
brc,kmrgrd,komargrod,Komargród,7350
brc,krsn,krasne,Krasne,9394
brc,krt,krute,Krute,11907
brc,ldyzyn,ladyzyn,Ładyżyn,9072
brc,lnc,ilince,Ilińce,1381
brc,lpwc,lipowiec,Lipowiec,5146
brc,ltyn,lityn,Lityn,12581
brc,mdzkw,miedziakow,Miedziaków,1097
brc,mnstrzysk,monasterzyska,Monasterzyska,9171
brc,mrchw,morachwa,Morachwa,5489
brc,mstkwk,miastkowka,Miastkówka,13192
brc,nmrw,niemirow,Niemirów,9406
brc,pczr,peczara,Peczara,13206
brc,pkw,pikow,Pików,1098
brc,pkw,pikow,Pików,12583
brc,przylk,przyluka,Przyłuka,1093
brc,rjgrdk,rajgrodek,Rajgródek,5209
brc,rszkw,raszkow,Raszków,430
brc,sdlszcz,siedliszcze,Siedliszcze,4869
brc,sklwk,sokolowka,Sokołówka,4692
brc,strzyzwk,strzyzawka,Strzyżawka,8733
brc,swrn,sawran,Sawrań,1921
brc,tlczyn,tulczyn,Tulczyn,1760
brc,tmszpl,tomaszpol,Tomaszpol,9390
brc,tplk,teplik,Teplik,9174
brc,trscnc,troscianiec,Trościaniec,9073
brc,ttyjw,tetyjow,Tetyjów,9006
brc,tywrw,tywrow,Tywrów,8729
brc,wnnc,winnica,Winnica,8730
brc,wrszylwk,woroszylowka,Woroszyłówka,1095
brc,wrzchwk,wierzchowka,Wierzchówka,12982
brc,zrnszcz,zorniszcze,Żorniszcze,12393
brc,zywtw,zywotow,Żywotów,12394
chl,brtjn,bratjan,Bratjan,11628
chl,cbrz,ciborz,Cibórz,3943
chl,ftw,fitowo,Fitowo,3970
chl,pkrzywn,pokrzywno,Pokrzywno,5732
chl,plwz,plowez,Płowęż,13413
chl,strmck,ostromecko,Ostromecko,1804
chl,szmbrk,szembruk,Szembruk,3968
chl,trn,torun,Toruń,1994
chl,wlwsk,wlewsk,Wlewsk,3969
inw,dbrzyn,dobrzyn,Dobrzyń,2429
inw,frdn,fordon,Fordon,13246
inw,kkl,kikol,Kikół,13995
inw,lbszyn,labiszyn,Łabiszyn,6377
inw,lpn,lipno,Lipno,13996
inw,mrcz,mrocza,Mrocza,5537
inw,nwrclw,inowroclaw,Inowrocław,6378
inw,prszcz,pruszcz,Pruszcz,9433
inw,rdzk_dz,radziki_duze,Radziki Duże,2574
inw,spln,sepolno,Sępolno,13235
inw,zldw,zoledowo,Żołędowo,2575
kij,bhslw,bohuslaw,Bohusław,12462
kij,blcrkw,bialacerkiew,Białacerkiew,970
kij,bllwk,bialolowka,Białołówka,4754
kij,blpl,bialopol,Białopol,8686
kij,brdyczw,berdyczow,Berdyczów,8685
kij,brdznk,borodzianka,Borodzianka,906
kij,brhn,brahin,Brahin,7163
kij,brslw,brusilow,Brusiłów,10406
kij,brwc,borowica,Borowica,4701
kij,byszw,byszow,Byszów,10420
kij,bzyn,buzyn,Bużyn,8601
kij,cdnw,cudnow,Cudnów,3002
kij,chbn,chabne,Chabne,3368
kij,chdrkw,chodorkow,Chodorków,14162
kij,chjnk,chojniki,Chojniki,5916
kij,chwstw,chwastow,Chwastów,2762
kij,czhryn,czehryn,Czehryn,9040
kij,czjk,czajki,Czajki,12466
kij,czrksy,czerkasy,Czerkasy,5076
kij,czrnbyl,czarnobyl,Czarnobyl,11000
kij,czrnchw,czerniachow,Czerniachów,10636
kij,czrwn,czerwona,Czerwona,8688
kij,hrmnwk,hermanowka,Hermanówka,12384
kij,hrszk,horoszki,Horoszki,10637
kij,jsnhrdk,jasnohorodka,Jasnohorodka,10417
kij,kdn,kodnia,Kodnia,6765
kij,knw,kaniow,Kaniów,12766
kij,krsn,korsun,Korsuń,12768
