name,table,community,community_code,land,table_title,table_abbr,viv_e,index,poll,year,value,villages_value,near_value
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1717,1166,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1718,699,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1719,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1720,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1721,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1722,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1723,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1724,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1725,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1726,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1727,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1728,294,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1729,321,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1731,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1732,226,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1733,242,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1734,242,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1735,247,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1736,300,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1737,241,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1739,186,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1741,241,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1745,600,,
ciechanowiec,0100,ciechanowiec,cchnwc,Autonomous,Exterritorial urban communities ,ext,maz,maz_cchnwc,,1749,155,,
debica,0100,debica,dbc,Autonomous,Exterritorial urban communities ,ext,snd,snd_dbc,500,1733,500,,
debica,0100,debica,dbc,Autonomous,Exterritorial urban communities ,ext,snd,snd_dbc,500,1734,500,,
debica,0100,debica,dbc,Autonomous,Exterritorial urban communities ,ext,snd,snd_dbc,500,1735,500,,
debica,0100,debica,dbc,Autonomous,Exterritorial urban communities ,ext,snd,snd_dbc,500,1736,500,,
