table,name,viv,index,kalik_id,newname,lon,lat
1000,moztow,pod,pod_mztw,66,"",,
502,rejowice,rus,rus_rjwc,735,"",,
1405,bialocerkiew,brc,kij_blcrkw,440,"",15.2666666666667,45.8666666666667
607,skwirzyna,pzn,pzn_skwrzyn,893,"",15.5,52.6
607,miedzyrzecz,pzn,pzn_mdzyrzcz,880,"",15.601067293933,52.4385252219059
607,broice,pzn,pzn_brc,867,"",15.6666666666667,52.3166666666667
607,heinrichdorf,pzn,pzn_hnrchdrf,874,"",15.7666666666667,48.75
607,heinrichsdorf,pzn,pzn_hnrchsdrf,875,"",15.7666666666667,48.75
607,babimost,pzn,pzn_bbmst,865,"",15.8281395187974,52.170737622087
607,trzciel,pzn,pzn_trzcl,899,"",15.8663393641309,52.3619313442304
607,kargowa,pzn,pzn_krgw,877,"",15.8692686772135,52.0738558335319
607,zbaszyn,pzn,pzn_zbszyn,906,"",15.9074639216155,52.2584554477666
607,miedzychod,pzn,pzn_mdzychd,879,"",15.9090455538725,52.6136429890082
607,sierakow,pzn,pzn_srkw,892,"",16.0686899611559,52.6517564976282
607,wolsztyn,pzn,pzn_wlsztyn,903,"",16.1232350725055,52.1125768917393
607,tuczno,pzn,pzn_tczn,900,"",16.1677759880048,53.2032132917295
607,wielen,pzn,pzn_wln,902,"",16.1683085098533,52.8896346477441
607,lwowek,pzn,pzn_lwwk,878,"",16.1774439084625,52.4501529889966
607,szlichtyczkow,pzn,pzn_szlchtyczkw,896,"",16.2396668080681,51.7102572094422
803,ulenice,snd,snd_lnc,1102,"",,
607,rakoniewice,pzn,pzn_rknwc,887,"",16.2666666666667,52.1333333333333
607,pniewy,pzn,pzn_pnwy,886,"",16.2684840257706,52.5070422938322
607,wschowa,pzn,pzn_wschw,905,"",16.3107996444516,51.8110018325274
607,wronki,pzn,pzn_wrnk,904,"",16.395178660655,52.7102352039637
607,walcz,pzn,pzn_wlcz,901,"",16.4662960835582,53.2729364219463
607,trzcianka,pzn,pzn_trzcnk,898,"",16.468634532175,53.0318645310915
607,charnkow,pzn,pzn_chrnkw,868,"",16.5666666666667,52.9
607,szamotuly,pzn,pzn_szmtly,895,"",16.5789600389842,52.6135917631906
607,leszno,pzn,pzn_lszn,908,"",16.5803501510703,51.8319693916415
607,osieczna,pzn,pzn_sczn,884,"",16.6713374152226,51.9053826946526
607,pila,pzn,pzn_pl,885,"",16.7451247957284,53.1518301723533
607,czempin,pzn,pzn_czmpn,869,"",16.7686830228192,52.1472718363076
607,steszew,pzn,pzn_stszw,894,"",16.7,52.2833333333333
607,oborniki,pzn,pzn_brnk,882,"",16.8379584192683,52.6479673553438
607,rawicz,pzn,pzn_rwcz,888,"",16.8489957032058,51.6023061570581
607,mosina,pzn,pzn_msn,881,"",16.85,52.25
603,chodziez,kls,kls_chdzz,774,"",16.9062057422499,52.9928559929061
100,poznan,pzn,pzn_pznn,9,"",16.9356907686123,52.4098079881286
603,ledyczek,kls,kls_ldyczk,820,"",16.9666666666667,53.5333333333333
603,krajenka,kls,kls_krjnk,794,"",16.9728030602185,53.2990520987558
607,rogozno,pzn,pzn_rgzn,890,"",17.0090273315753,52.7447892976152
607,szrem,pzn,pzn_szrm,897,"",17.0166666666667,52.0833333333333
607,goslina,pzn,pzn_gsln,872,"",17.0166666666667,52.5833333333333
603,margonin,kls,kls_mrgnn,797,"",17.1083916949951,52.9568364926788
603,zaniemysl,kls,kls_znmysl,814,"",17.1662587328484,52.150632878823
607,jutrosin,pzn,pzn_jtrsn,876,"",17.1666666666667,51.65
603,skoki,kls,kls_skk,809,"",17.1750752975165,52.6601605972408
603,kurnik,kls,kls_krnk,796,"",17.1,52.25
603,kobylin,kls,kls_kbyln,789,"",17.216247628786,51.7181171553752
603,debrzno_frydland,kls,kls_dbrzn_frydlnd,776,"",17.23333333,53.53333333
603,lobzenica,kls,kls_lbznc,822,"",17.2339008453791,53.2555372944034
603,borek,kls,kls_brk,773,"",17.253833115765,51.9205515395357
603,zduny,kls,kls_zdny,815,"",17.3872981103873,51.6432843534798
603,jaroczew,kls,kls_jrczw,783,"",17.3,51.9666666666667
