id_miejscowosci,nazwa_wspolczesna,nazwa_16w,charakter_osady,rodzaj_wlasnosci,powiat_p,woj_p,wielkosc_karto,lat,lon
Abramowice_scz_krk,Szczyrzyc - część,Abramowice,wieś,d,szczyrzycki,krakowskie,mała,49.7916367060000624,20.1944381890000209
Krolewo_mlb_mlb,Królewo,Königsdorf,wieś,k,malborski,malborskie,mała,54.0441558216148081,19.1392760656538918
Zagawki_kam_maz,Adelin,Zagawki,wieś,k,kamieniecki,mazowieckie,mała,52.4975819640000765,21.4565734740000806
Adamowo_wrk_maz,Adamów,Adamowo,wieś,s,warecki,mazowieckie,mała,51.7235025800000727,21.3036025310001413
Lag_tch_pmr,Łąg,Łąg,wieś,k,tucholski,pomorskie,mała,53.8281075935629758,18.0704737729641138
Bartodzieje_rdm_rds_srd,Bartodzieje Włościańskie,Bartodzieje,wieś,s,radomszczański,sieradzkie,mała,51.0865324890000281,19.4543594750000253
Beldowo_lcz_lcz,Bełdów - część,Bełdowo,wieś,s,łęczycki,łęczyckie,mała,51.8241242440000462,19.1890399840000292
Bialki_II_stz_snd,Białki Dolne and Białki Górne,Białki II,wieś,s,stężycki,sandomierskie,mała,51.5879374500001475,22.0730463110008444
Bialkowo_plc_plc,Białkowo,Białkowo,wieś,d,płocki,płockie,mała,52.5478570606550051,19.8421512360908743
Bialobrzeg_I_osl_maz,Białobrzeg Bliższy,Białobrzeg I,wieś,s,ostrołęcki,mazowieckie,mała,53.1067408130000089,21.4807073559999431
Bialocin_ptr_srd,,Białocin,wieś,s,piotrkowski,sieradzkie,mała,51.2808608269999908,19.6188101770000607
Bestwiszowa_bck_krk,Bistuszowa,Bestwiszowa,wieś,s,biecki,krakowskie,mała,49.8822781460000115,21.0988841430002303
Biszewo_drh_pdl,Biszewo,Biszewo,wieś,s,drohicki,podlaskie,mała,52.5526676922220872,22.8069940156543538
Blizin_opc_snd,Bliżyn,Blizin,wieś,s,opoczyński,sandomierskie,mała,51.1081870990000695,20.7561364190000788
Bobino_Wielkie_Chrzczony_prz_maz,Bobino Wielkie,Bobino Wielkie-Chrzczony,wieś,s,przasnyski,mazowieckie,mała,53.0385442400000784,21.0670727070000758
Chycza_Mala_llw_krk,Chycza,Chycza Mała,wieś,s,lelowski,krakowskie,mała,50.7005663190000817,20.0600806450000633
Czaplice_Dobki_prz_maz,Czaplice-Wielkie,Czaplice-Dobki,wieś,s,przasnyski,mazowieckie,mała,53.2023386140000056,20.8573084850000541
Czarna_rdm_snd,,Czarna,wieś,s,radomski,sandomierskie,mała,51.4244224810001072,21.4361739450002808
Czarnocin_ndz_plc,Czarnocin,Czarnocino,wieś,s,niedzborski,płockie,mała,52.9103802714325155,20.3851018092013128
Ondy_Czarnowo_zmb_maz,Undy-Czarnowo,Ondy-Czarnowo,wieś,s,zambrowski,mazowieckie,mała,53.0257384080003078,22.4305708039995615
Dabrowno_llw_krk,,Dąbrowno,wieś,s,lelowski,krakowskie,mała,50.6729169820000536,19.544118320000095
Dabrowka_now_pmr,Dąbrówka,Dąbrówka,wieś,s,nowski,pomorskie,mała,53.7328260624912772,18.752461451736508
Dabrowka_sko_opc_snd,,Dąbrówka,wieś,s,opoczyński,sandomierskie,mała,51.2467508650000454,19.9506861550000636
Dabrowka_crk_scz_krk,,Dąbrówka,wieś,k,szczyrzycki,krakowskie,mała,50.0373697400000239,20.5557871810000847
Dabrowki_Sieprskie_sie_plc,Dąbrówki,Dąbrówki Sieprskie,wieś,s,sierpecki,płockie,mała,52.8713411888449656,19.7169686155093729
Dabrowka_Warsz_rdm_snd,Dąbrówka Warszawska,Dąbrówka-Warsz,wieś,s,radomski,sandomierskie,mała,51.2865079660000518,21.1016359670001172
Deba_opc_snd,,Dęba,wieś,s,opoczyński,sandomierskie,mała,51.1631584080000437,20.2649827730000816
Blota_wrs_maz,Warszawa-Błota,Błota,wieś,d,warszawski,mazowieckie,mała,52.152671348000041,21.1875567370001505
Bobrowniki_chc_snd,,Bobrowniki,wieś,s,chęciński,sandomierskie,mała,50.9690048340000175,19.84223183300006
Bobrowniki_swr_swr,,Bobrowniki,wieś,s,księstwo siewierskie,księstwo siewierskie,mała,50.3792229030000485,18.9888412720000268
Bochlin_Szlachecki_now_pmr,Bochlin,Bochlino,wieś,s,nowski,pomorskie,mała,53.6723036300722356,18.727502461177167
Bochotnica_kaz_lub_lub,,Bochotnica,wieś,s,lubelski,lubelskie,mała,51.3393847733967448,21.9930852630565994
Boczki_Zarzeczne_orl_lcz,,Boczki Zarzeczne,wieś,s,orłowski,łęczyckie,mała,52.0224075150000189,19.6643456880000471
Paszyn_sdc_krk,,Paszyn,wieś,m,sądecki,krakowskie,mała,49.6264559480000642,20.7801775490000367
Boguslawice_snd_snd,,Bogusławice,wieś,s,sandomierski,sandomierskie,mała,50.8406863850000619,21.4181925980003491
