"מַפָּה","שם המאה ה-16","מחוז/מחוז","שם מודרני","שם במילון ההיסטורי והגיאוגרפי","אופי היישוב","סוג הבעלות"
"","Czaryż","lelowski/krakowskie","","","wieś","s"
"","Krzepice","lelowski/krakowskie","","","wieś","s"
"","Psary","lelowski/krakowskie","","","wieś","s"
"","Duliszyce","lelowski/krakowskie","Daleszec","","folwark","s"
"","Kluczyce","lelowski/krakowskie","","","wieś","ds"
"","Radków","lelowski/krakowskie","","","wieś","s"
"","Lubochowe Damianowe","lelowski/krakowskie","Damiany","","wieś","s"
"","Lubochowe Wygnanów","lelowski/krakowskie","Lubachowy","","wieś","s"
"","Chycza Mała","lelowski/krakowskie","Chycza","","wieś","s"
"","Chycza Wielga+","lelowski/krakowskie","","","wieś","s"
"","Pempocino","koniński/kaliskie","Pępocin","Pępocin","wieś","s"
"","Skromnica","łęczycki/łęczyckie","","","wieś","d"
"","Krzepocino Wielkie","łęczycki/łęczyckie","Krzepocin","","wieś","d"
"","Krzepocino Małe","łęczycki/łęczyckie","Krzepocinek","","wieś","d"
"","Parądzice","łęczycki/łęczyckie","","","wieś","d"
"","Sucha Górna","łęczycki/łęczyckie","","","wieś","s"
"","Wierzbowa","łęczycki/łęczyckie","Wierzbowa-Derszej","","wieś","s"
"","Wierzbowa Woźnicka","łęczycki/łęczyckie","","","wieś","s"
"","Sucha Podleśna*","łęczycki/łęczyckie","Sucha Dolna","","wieś","s"
"","Bielawki*","łęczycki/łęczyckie","","","wieś","s"
"","Leźnica Wielka","łęczycki/łęczyckie","","","wieś","s"
"","Wilczna","koniński/kaliskie","Wilczna","Wilczna","wieś","s"
"","Rożyce Żmijowe","łęczycki/łęczyckie","Różyce Żmijowe","","wieś","s"
"","Rożyce Trojanowe","łęczycki/łęczyckie","Trojany","","wieś","s"
"","Rożyce Sulimowe","łęczycki/łęczyckie","Sulimy","","wieś","s"
"","Rożyce Fryjowe","łęczycki/łęczyckie","Różyce Grochowe - część","","wieś","s"
