id,name,type,relig_type,relig,source,dist,lp_w,lp_o,cdnts
1,Żorniska,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 137 (OczNMP); Kołbuk 1998, s. 185 (dek. Obroszyn, s); Skoczylas, Oficjalat Lwów, s. 137.",rus,6,3565,"[23.837797353617248, 49.90649500755001]"
9,Stare Sioło,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 376.",rus,1,2978,"[24.189523131873443, 49.70131073224627]"
10,Kołodruby,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 138; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 148.",rus,6,22406,"[23.80034847095652, 49.50330073188138]"
11,Głuchowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 184 (s); Skoczylas, Oficjalat Lwów, s. 133.",rus,6,6135,"[24.244595018403686, 49.76587921029375]"
12,Czarnuszowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 183.",rus,6,6118,"[24.335647202814755, 49.80892486262513]"
13,Barszczowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 183; Skoczylas, Oficjalat Lwów, s. 132.",rus,6,6171,"[24.263686605254577, 49.86392764075407]"
14,Prusy,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 376.",rus,1,2925,"[24.17116583696287, 49.872536771400235]"
15,Miłoszowice,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 192 (OczNMP); Skoczylas, Niedatowanyj rejestr, s. 545; Duh, Pawlyszyn, Spis parafii 1782 r.; Skoczylas, Oficjalat Lwów, s. 149.",rus,6,4856,"[23.931052413849272, 49.67835305082292]"
16,Szczerzec,miasto,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 192 (s); Skoczylas, Oficjalat Lwów, s. 151.",rus,6,4216,"[23.8554203565875, 49.64104681952182]"
17,Mostki,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Kołbuk 1998, s. 192.",rus,6,5199,"[23.850280313904648, 49.70991986289238]"
18,Kahujów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Skoczylas, Niedatowanyj rejestr, s. 545; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 148.",rus,6,22405,"[23.892869239248228, 49.57408691559539]"
19,Powerchów,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Struktura, s. 138; Skoczylas, Niedatowanyj rejestr, s. 546; Duh, Pawlyszyn, Spis parafii 1782 r. (dek. Horożanna); Skoczylas, Oficjalat Lwów, s. 150.",rus,6,22404,"[23.771711089780922, 49.51382300287099]"
74,Grabowo,wieś,świątynia główna,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 339.",pom,1,15158,"[18.148591405924947, 54.164086071847066]"
89,Góra,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 340.",pom,1,15269,"[18.121114455037286, 54.62718063376667]"
75,Wielkopole,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 380; Kołbuk 1998, s. 248.",rus,6,4324,"[23.732302918066807, 49.87152162208952]"
76,Lelechówka,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 215; Kołbuk 1998, s. 247.",rus,6,3774,"[23.69058246261102, 49.942622939034436]"
77,Wola Dobrostańska,wieś,świątynia główna,Kościół katolicki ob. greckiego,"Budzyński, Ludność, II, s. 386; Kołbuk 1998, s. 248.",rus,6,4345,"[23.64714746769272, 49.895346147426324]"
99,Kiełpino,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 339.",pom,1,15280,"[18.233447924354437, 54.28743344812483]"
100,Czapielsk,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 337.",pom,1,15253,"[18.41488798647657, 54.260100822235074]"
101,Chylonja,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 340 (Chylonia).",pom,1,15250,"[18.480177976199002, 54.529825093158365]"
102,Zagórze,wieś,świątynia pomocnicza,Kościół katolicki ob. łacińskiego,"Litak 1996, s. 340.",pom,1,15341,"[18.39820808633067, 54.55217536798642]"
