id,name_16c,year,livestock_horses,livestock_sheep
Wargocin_stz_snd,Wargocin,1576,,""
Wargocin_stz_snd,Wargocin,1576,,""
Kepica_stz_snd,Kępica,1576,,""
Podlodow_snd_snd,Podlodów,1576,,""
Samogoszcza_stz_snd,Samogoszcza,1576,,""
Samogoszcza_stz_snd,Samogoszcza,1576,,""
Samogoszcza_stz_snd,Samogoszcza,1576,,""
Samogoszcza_stz_snd,Samogoszcza,1576,,""
Podwierzbie_stz_snd,Podwierzbie,1576,,""
Podwierzbie_stz_snd,Podwierzbie,1576,,""
Podwierzbie_stz_snd,Podwierzbie,1576,,""
Podwierzbie_stz_snd,Podwierzbie,1576,,""
Podleze_stz_snd,Podłęże,1576,,""
Wierzbiny_stz_snd,Wierzbiny,1576,,""
Domaszow_stz_snd,Domaszów,1576,,""
Domaszow_stz_snd,Domaszów,1576,,""
Domaszow_stz_snd,Domaszów,1576,,""
Lewikow_stz_snd,Lewików,1576,,""
Lewikow_stz_snd,Lewików,1576,,""
Lipniki_stz_snd,Lipniki,1576,,""
Laskarzow_stz_snd,Łaskarzów,1576,,""
Pilczyn_stz_snd,Pilczyn,1576,,""
Wola_Rowska_stz_snd,Wola Rowska,1576,,""
Wola_Rowska_stz_snd,Wola Rowska,1576,,""
Wola_Rowska_stz_snd,Wola Rowska,1576,,""
Rowy_stz_snd,Rowy,1576,,""
Rowy_stz_snd,Rowy,1576,,""
Rowy_stz_snd,Rowy,1576,,""
Wola_Kobyla_stz_snd,Wola Kobyla,1576,,""
Wola_Kobyla_stz_snd,Wola Kobyla,1576,,""
Wola_Kobyla_stz_snd,Wola Kobyla,1576,,""
Wola_Kobyla_stz_snd,Wola Kobyla,1576,,""
Wola_Mierzaczka_stz_snd,Wola Mierzączka,1576,,""
Wola_Mierzaczka_stz_snd,Wola Mierzączka,1576,,""
Raducin_stz_snd,Raducin,1576,,""
Raducin_stz_snd,Raducin,1576,,""
Gorzno_Nizsze_stz_snd,Górzno Niższe,1576,,""
Gorzno_Nizsze_stz_snd,Górzno Niższe,1576,,""
Gorzno_Nizsze_stz_snd,Górzno Niższe,1576,,""
Gorzno_Nizsze_stz_snd,Górzno Niższe,1576,,""
Gorzno_Wyzsze_stz_snd,Górzno Wyższe,1576,,""
Gorzno_Wyzsze_stz_snd,Górzno Wyższe,1576,,""
Gorzno_Wyzsze_stz_snd,Górzno Wyższe,1576,,""
Gorzno_Wyzsze_stz_snd,Górzno Wyższe,1576,,""
Checiny_stz_snd,Chęciny,1576,,""
Checiny_stz_snd,Chęciny,1576,,""
Checiny_stz_snd,Chęciny,1576,,""
Zasiadaly_stz_snd,Zasiadały,1576,,""
Grabow_wil_stz_snd,Grabów,1576,,""
Wilczyska_stz_snd,Wilczyska,1576,,""
Goniwilk_stz_snd,Goniwilk,1576,,""
Lomnica_stz_snd,Łomnica,1576,,""
Zelechow_stz_snd,Żelechów,1576,,""
Wola_zelechowska_stz_snd,Wola Żelechowska,1476,,""
Wola_Ostrozenska_stz_snd,Wola Ostrożeńska,1576,,""
Ostrozenie_stz_snd,Ostrożenie,1576,,""
Chotynia_stz_snd,Chotynia,1576,,""
Chotynia_stz_snd,Chotynia,1576,,""
Chotynia_stz_snd,Chotynia,1576,,""
Chotynia_stz_snd,Chotynia,1576,,""
Ganczyce_stz_snd,Gańczyce,1576,,""
Ganczyce_stz_snd,Gańczyce,1576,,""
Ganczyce_stz_snd,Gańczyce,1576,,""
Ganczyce_stz_snd,Gańczyce,1576,,""
Ganczyce_stz_snd,Gańczyce,1576,,""
Kownacica_stz_snd,Kownacica,1576,,""
Kownacica_stz_snd,Kownacica,1576,,""
Kownacica_stz_snd,Kownacica,1576,,""
Kownacica_stz_snd,Kownacica,1576,,""
Kownacica_stz_snd,Kownacica,1576,,""
Kownacica_stz_snd,Kownacica,1576,,""
Przylek_stz_snd,Przyłęk,1576,,""
Sokol_stz_snd,Sokół,1576,,""
Sokol_stz_snd,Sokół,1576,,""
Sokol_stz_snd,Sokół,1576,,""
Sokol_stz_snd,Sokół,1576,,""
Sokol_stz_snd,Sokół,1576,,""
Sokol_stz_snd,Sokół,1576,,""
Keblow_stz_snd,Kębłów,1576,,""
Guzowka_stz_snd,Guzówka,,,""
Turzec_stz_snd,Turzec,1576,,""
Kamionka_stz_snd,Kamionka,1576,,""
Wisniowka_stz_snd,Wiśniówka,1576,,""
Powaly_stz_snd,Powały,1576,,""
Ciechomin_stz_snd,Ciechomin,1576,,""
Jarzmanicha_stz_snd,Jarzmanicha,1576,,""
Myslomin_stz_snd,Mysłomin,1576,,""
Wola_Laskarzowska_stz_snd,Wola Łaskarzowska,1576,,""
Gole_lazy_stz_snd,Gołe Łazy,1576,,""
Radorzyzec_stz_snd,Radorzyżec,1576,,""
Radorzyzec_stz_snd,Radorzyżec,1576,,""
Cisownik_stz_snd,Cisownik,1576,,""
Cisownik_stz_snd,Cisownik,1576,,""
Burzec_stz_snd,Burzec,1576,,""
Burzec_stz_snd,Burzec,1576,,""
Szczalba_stz_snd,Szczałba,1576,,""
Szczalba_stz_snd,Szczałba,1576,,""
Wola_Wypnicha_stz_snd,Wola Wypnicha,1576,,""
Wola_Wypnicha_stz_snd,Wola Wypnicha,1576,,""
Debowica_stz_snd,Dębowica,1576,,""
Wola_Ruszcza_stz_snd,Wola Ruszcza,1576,,""
Gulow_stz_snd,Gułów,1576,,""
Wola_Okrzejska_stz_snd,Wola Okrzejska,1576,,""
Okrzeja_stz_snd,Okrzeja,1576,,""
Jadamow_stz_snd,Jadamów,1576,,""
Wojcieszkow_stz_snd,Wojcieszków,1576,,""
Wojcieszkow_stz_snd,Wojcieszków,1576,,""
Wojcieszkowska_Wola_stz_snd,Wojcieszkowska Wola,1576,,""
Konarzatka_stz_snd,Konarzatka,1576,,""
Czarna_stz_snd,Czarna,1576,,""
Czarna_stz_snd,Czarna,1576,,""
Wola_Gulowska_stz_snd,Wola Gułowska,1576,,""
Turzystwo_stz_snd,Turzystwo,1576,,""
Lipiny_stz_snd,Lipiny,1576,,""
Grabow_Okrzejski_stz_snd,Grabów Okrzejski,1576,,""
Zwadnik_stz_snd,Zwadnik,1576,,""
Branka_stz_snd,Branka,1576,,""
Gozd_stz_snd,Gozd,1576,,""
Sokola_stz_snd,Sokola,1576,,""
Padarz_stz_snd,Padarz,,,""
Jagodne_stz_snd,Jagodne,1576,,""
Kloczow_stz_snd,Kłoczów,1576,,""
Kaweczyn_stz_snd,Kawęczyn,,,""
Czernice_stz_snd,Czernice,,,""
Stryj_stz_snd,Stryj,1576,,""
Zadyb_stz_snd,Zadyb,1576,,""
Zaryte_stz_snd,Zaryte,1576,,""
Wola_Zadybska_stz_snd,Wola Zadybska,1576,,""
Wola_Zadybska_stz_snd,Wola Zadybska,1576,,""
Wola_Zadybska_stz_snd,Wola Zadybska,1576,,""
Wola_Zadybska_stz_snd,Wola Zadybska,1576,,""
Wola_Zadybska_stz_snd,Wola Zadybska,1576,,""
Wola_Zadybska_stz_snd,Wola Zadybska,1576,,""
Wola_Zadybska_stz_snd,Wola Zadybska,1576,,""
Wola_Zadybska_stz_snd,Wola Zadybska,1576,,""
Pogorzelec_stz_snd,Pogorzelec,1576,,""
Polik_stz_snd,Polik,1576,,""
Sobolow_stz_snd,Sobolów,1576,,""
Wola_Godzisz_stz_snd,Wola Godzisz,1576,,""
Orane_stz_snd,Orane,1576,,""
Kalen_stz_snd,Kaleń,1576,,""
Damianow_stz_snd,Damianów,1576,,""
Wola_Korycka_stz_snd,Wola Korycka,1576,,""
Wola_Korycka_stz_snd,Wola Korycka,1576,,""
Wola_Korycka_stz_snd,Wola Korycka,1576,,""
Korytnica_stz_snd,Korytnica,1576,,""
Korytnica_stz_snd,Korytnica,1576,,""
Dudki_stz_snd,Dudki,1576,,""
Trojanow_stz_snd,Trojanów,1576,,""
Trojanow_stz_snd,Trojanów,1576,,""
Trojanow_stz_snd,Trojanów,1576,,""
Katy_stz_snd,Kąty,1576,,""
Korzenne_Jaty_stz_snd,Korzenne Jaty,1576,,""
Wylezin_stz_snd,Wylezin,1576,,""
Skroda_stz_snd,Skroda,1576,,""
Ownia_stz_snd,Ownia,1576,,""
Babice_stz_snd,Babice,1576,,""
Ruda_Babicka_stz_snd,Ruda Babicka,1576,,""
Ruda_Babicka_stz_snd,Ruda Babicka,1576,,""
Przesmyk_stz_snd,Przesmyk,,,""
Deba_stz_snd,Dęba,1576,,""
Przeklew_stz_snd,Przeklew,,,""
Rososz_stz_snd,Rososz,1576,,""
Zalesie_stz_snd,Zalesie,1576,,""
Zalesie_stz_snd,Zalesie,1576,,""
Grabow_stz_snd,Grabów,1576,,""
Zawitala_stz_snd,Zawitała,1576,,""
Niedzwiedz_stz_snd,Niedźwiedź,1576,,""
Niedzwiedz_stz_snd,Niedźwiedź,1576,,""
Hojdaczka_stz_snd,Hojdaczka,1576,,""
Hojdaczka_stz_snd,Hojdaczka,1576,,""
Hojdaczka_stz_snd,Hojdaczka,1576,,""
Ledo_Wietsze_stz_snd,Lędo Więtsze,1576,,""
Ledo_Wietsze_stz_snd,Lędo Więtsze,1576,,""
Ledo_Mniejsze_stz_snd,Lędo Mniejsze,1576,,""
Ledo_Mniejsze_stz_snd,Lędo Mniejsze,1576,,""
Ledo_Mniejsze_stz_snd,Lędo Mniejsze,1576,,""
Krzowa_Wola_stz_snd,Krzowa Wola,1576,,""
Charlejow_stz_snd,Charlejów,1576,,""
Bialobrzegi_stz_snd,Białobrzegi,1576,,""
Bialobrzegi_stz_snd,Białobrzegi,1576,,""
Bialobrzegi_stz_snd,Białobrzegi,1576,,""
Uleze_I_stz_snd,Ułęże I,1576,,""
Pogwizdow_stz_snd,Pogwizdów,1576,,""
Pogwizdow_stz_snd,Pogwizdów,1576,,""
Pogwizdow_stz_snd,Pogwizdów,1576,,""
Pogwizdow_stz_snd,Pogwizdów,1576,,""
Stoczek_stz_snd,Stoczek,1576,,""
Stoczek_stz_snd,Stoczek,1576,,""
Stoczek_stz_snd,Stoczek,1576,,""
Krepa_stz_snd,Krępa,1576,,""
Krepa_stz_snd,Krępa,1576,,""
Bozniowice_stz_snd,Boźniowice,1576,,""
Bozniowice_stz_snd,Boźniowice,1576,,""
Zakalow_stz_snd,Zakalów,1576,,""
Zakalow_stz_snd,Zakalów,1576,,""
Przetoczno_stz_snd,Przetoczno,1576,,""
Lysobyki_stz_snd,Łysobyki,1576,,""
Wola_Blizocka_stz_snd,Wola Blizocka,1576,,""
Blizocin_stz_snd,Blizocin,1576,,""
Sobieska_Wola_stz_snd,Sobieska Wola,1576,,""
Sobieszyn_stz_snd,Sobieszyn,1576,,""
Sobieszyn_stz_snd,Sobieszyn,1576,,""
Grabowce_I_stz_snd,Grabowce I,1576,,""
Grabowce_I_stz_snd,Grabowce I,1576,,""
Uleze_I_stz_snd,Ułęże I,1576,,""
Zabia_Wola_stz_snd,Żabia Wola,1576,,""
Bialki_I_stz_snd,Białki I,1576,,""
Bialki_I_stz_snd,Białki I,1576,,""
Drzazgow_stz_snd,Drzązgów,1576,,""
Trzcianka_stz_snd,Trzcianka,1576,,""
Trzcianka_stz_snd,Trzcianka,1576,,""
Bazanow_stz_snd,Bazanów,1576,,""
Oszczywilk_stz_snd,Oszczywilk,1576,,""
Chrostne_stz_snd,Chrostne,1576,,""
Wola_Sierska_stz_snd,Wola Sierska,1576,,""
Moszczenica_stz_snd,Moszczenica,1576,,""
Korzeniow_stz_snd,Korzeniów,1576,,""
Korzeniow_stz_snd,Korzeniów,1576,,""
Korzeniow_stz_snd,Korzeniów,1576,,""
Korzeniow_stz_snd,Korzeniów,1576,,""
Korzeniow_stz_snd,Korzeniów,1576,,""
Korzeniow_stz_snd,Korzeniów,1576,,""
Sarny_stz_snd,Sarny,1576,,""
Sarny_stz_snd,Sarny,1576,,""
Sarny_stz_snd,Sarny,1576,,""
Sarny_stz_snd,Sarny,1576,,""
Wola_Kleszczowa_stz_snd,Wola Kleszczowa,1576,,""
Zdzary_stz_snd,Żdżary,1576,,""
Mierzaczka_Stara_stz_snd,Mierzączka Stara,1576,,""
Sedowice_stz_snd,Sędowice,1576,,""
Bobrowniki_stz_snd,Bobrowniki,1576,,""
Deblin_stz_snd,Dęblin,1576,,""
Modrzyce_stz_snd,Modrzyce,1576,,""
Gluszec_stz_snd,Głuszec,1576,,""
Leg_stz_snd,Łęg,1576,,""
Wojciechow_stz_snd,Wojciechów,1576,,""
Zajezierze_stz_snd,Zajezierze,1576,,""
Ryki_stz_snd,Ryki,1576,,""
Swaty_stz_snd,Swaty,1576,,""
Brzeziny_stz_snd,Brzeziny,1576,,""
Kozice_stz_snd,Kozice,1576,,""
Zyczyn_stz_snd,Życzyn,1576,,""
Wola_zycka_stz_snd,Wola Życka,1576,,""
Strych_Dalszy_stz_snd,Strych Dalszy,1576,,""
Kobylnica_stz_snd,Kobylnica,1576,,""
Kochow_stz_snd,Kochów,1576,,""
Maciejowice_stz_snd,Maciejowice,1576,,""
Maciejowice_stz_snd,Maciejowice,1576,,""
Oblin_stz_snd,Oblin,1576,,""
Podstolice_stz_snd,Podstolice,1576,,""
Podstolice_stz_snd,Podstolice,1576,,""
Kletnia_stz_snd,Kletnia,1576,,""
Rokitna_stz_snd,Rokitna,1576,,""
Wroblow_stz_snd,Wróblów,1576,,""
Tyrzyn_stz_snd,Tyrzyn,1576,,""
Wola_Paprotna_stz_snd,Wola Paprotna,1576,,""
Pawlowice_stz_snd,Pawłowice,1576,,""
Wola_Dluga_stz_snd,Wola Długa,1576,,""
Brzescie_stz_snd,Brzeście,1576,,""
Stezyca_stz_snd,Stężyca,1576,,""
Stezyca_stz_snd,Stężyca,1576,,""
Stezyca_stz_snd,Stężyca,1576,,""
Samwodzia_stz_snd,Samwodzia,1576,,""
Dabrowka_stz_snd,Dąbrówka,1576,,""
Nowodwor_stz_snd,Nowodwór,1576,,""
Budziska_stz_snd,Budziska,1576,,""
Budziska_stz_snd,Budziska,1576,,""
Rudzice_stz_snd,Rudzice,1576,,""
Jarczow_stz_snd,Jarczów,1576,,""
Nieciecza_stz_snd,Nieciecza,1576,,""
Skoki_stz_snd,Skoki,1576,,""
Wola_Laczna_stz_snd,Wola Łączna,1576,,""
Wola_Laczna_stz_snd,Wola Łączna,1576,,""
Wola_Laczna_stz_snd,Wola Łączna,1576,,""
Wola_Laczna_stz_snd,Wola Łączna,1576,,""
Golab_stz_snd,Gołąb,1576,,""
Balutow_stz_snd,Bałutów,1576,,""
Wawrowice_wsl_snd,Wawrowice,1577,,""
Koniecmosty_wsl_snd,Koniecmosty,1577,,""
Kobylniki_gor_wsl_snd,Kobylniki,1577,,""
Chotel_Czerwony_wsl_snd,Chotel Czerwony,1577,,""
Chotel_Czerwony_wsl_snd,Chotel Czerwony,1577,,""
Latanice_wsl_snd,Łatanice,1577,,""
Bielczow_wsl_snd,Bielczów,1577,,""
Gluzy_wsl_snd,Gluzy,1577,,""
Gluzy_wsl_snd,Gluzy,1577,,""
Gluzy_wsl_snd,Gluzy,1577,,""
Oluca_wsl_snd,Ołuca,1577,,""
Zagosc_wsl_snd,Zagość,1577,,""
Wola_Zagoscka_wsl_snd,Wola Zagoscka,1577,,""
Winary_zag_wsl_snd,Winary,1577,,""
Skorocice_wsl_snd,Skorocice,1577,,""
Skotniki_Biale_wsl_snd,Skotniki Białe,1577,,""
Krzyzanowice_wsl_snd,Krzyżanowice,1577,,""
Chotel_Zielony_wsl_snd,Chotel Zielony,1577,,""
Chotel_Zielony_wsl_snd,Chotel Zielony,1577,,""
Chotel_Zielony_wsl_snd,Chotel Zielony,1577,,""
Branina_wsl_snd,Branina,1577,,""
Kostki_Male_wsl_snd,Kostki Małe,1577,,""
Sieslawice_wsl_snd,Siesławice,1577,,""
Kostki_Wielkie_wsl_snd,Kostki Wielkie,1577,,""
Kostki_Wielkie_wsl_snd,Kostki Wielkie,1577,,""
Kostki_Wielkie_wsl_snd,Kostki Wielkie,1577,,""
Kostki_Wielkie_wsl_snd,Kostki Wielkie,1577,,""
Owczary_wsl_snd,Owczary,1577,,""
Welcz_wsl_snd,Wełcz,1577,,""
Szczaworzysz_wsl_snd,Szczaworzysz,1577,,""
Szczaworzysz_wsl_snd,Szczaworzysz,1577,,""
Szczaworzysz_wsl_snd,Szczaworzysz,1577,,""
Skotniki_Male_wsl_snd,Skotniki Małe,1577,,""
Konary_szc_wsl_snd,Konary,1577,,""
Skotniki_Wielkie_wsl_snd,Skotniki Wielkie,1577,,""
Zerniki_szc_wsl_snd,Żerniki,1577,,""
Peczelice_wsl_snd,Pęczelice,1577,,""
Peczelice_wsl_snd,Pęczelice,1577,,""
Dobrowoda_wsl_snd,Dobrowoda,1577,,""
Olganow_wsl_snd,Olganów,1577,,""
Baranow_wsl_snd,Baranów,1577,,""
Radzanow_dob_wsl_snd,Radzanów,1577,,""
Kikow_wsl_snd,Kików,1577,,""
Gadawa_wsl_snd,Gadawa,1577,,""
Piasek_Wielki_wsl_snd,Piasek Wielki,1577,,""
Zagajow_pia_wsl_snd,Zagajów,1577,,""
Solec_wsl_snd,Solec,1577,,""
Zukow_wsl_snd,Żuków,1577,,""
Piasek_Maly_wsl_snd,Piasek Mały,1577,,""
Welnin_wsl_snd,Wełnin,1577,,""
Janow_wsl_snd,Janów,1577,,""
Zborow_wsl_snd,Zborów,1577,,""
Wlosinowice_wsl_snd,Włosinowice,1577,,""
Swinary_wsl_snd,Świnary,1577,,""
Swinary_wsl_snd,Świnary,1577,,""
Swinary_wsl_snd,Świnary,1577,,""
Parchocin_wsl_snd,Parchocin,1577,,""
Ostrowce_wsl_snd,Ostrowce,1577,,""
Pawlow_wsl_snd,Pawłów,1577,,""
Brzeskow_wsl_snd,Brzesków,1577,,""
Gorna_Wola_wsl_snd,Górna Wola,1577,,""
Hynkow_wsl_snd,Hynków,1577,,""
Zagorzany_wsl_snd,Zagórzany,1577,,""
Zegocin_wsl_snd,Żegocin,1577,,""
Blotna_Wola_wsl_snd,Błotna Wola,1577,,""
Strozyska_wsl_snd,Strożyska,1577,,""
Biedrzychowice_wsl_snd,Biedrzychowice,1577,,""
Gorki_wsl_snd,Górki,1577,,""
Sepichow_wsl_snd,Sępichów,1577,,""
Szczobakow_wsl_snd,Szczobaków,1577,,""
Szczytniki_str_wsl_snd,Szczytniki,1577,,""
Ucieszkow_wsl_snd,Ucieszków,1577,,""
Kocina_wsl_snd,Kocina,1577,,""
Korczyn_Stary_wsl_snd,Korczyn Stary,1577,,""
Hubenice_wsl_snd,Hubenice,1577,,""
Winary_wsl_snd,Winary,1577,,""
Grotniki_wsl_snd,Grotniki,1577,,""
Czarnkow_Wielki_wsl_snd,Czarnków Wielki,1577,,""
Zukowice_wsl_snd,Żukowice,1577,,""
Zukowice_wsl_snd,Żukowice,1577,,""
Czarnkow_Maly_wsl_snd,Czarnków Mały,1577,,""
Sedzislawice_wsl_snd,Sędzisławice,1577,,""
Ksany_wsl_snd,Ksany,1577,,""
Leka_wsl_snd,Łęka,1577,,""
Biskupice_wsl_snd,Biskupice,1577,,""
Paluszyce_wsl_snd,Pałuszyce,1577,,""
Paluszyce_wsl_snd,Pałuszyce,1577,,""
Bieniaszowice_wsl_snd,Bieniaszowice,1577,,""
Topola_wsl_snd,Topola,1577,,""
Bieniaszowice_wsl_snd,Bieniaszowice,1577,,""
Bieniaszowice_wsl_snd,Bieniaszowice,1577,,""
Uscie_wsl_snd,Uście,1577,,""
Uscie_wsl_snd,Uście,1577,,""
Chwalibogowice_wsl_snd,Chwalibogowice,1577,,""
Krasniow_wsl_snd,Kraśniów,1577,,""
Urzuty_wsl_snd,Urzuty,1577,,""
Rzemienowice_wsl_snd,Rzemienowice,1577,,""
Pruska_wsl_snd,Pruska,1577,,""
Mistrzowice_wsl_snd,Mistrzowice,1577,,""
Kobiela_wsl_snd,Kobiela,1577,,""
Wyszogrod_wsl_snd,Wyszogród,1577,,""
Kesow_wsl_snd,Kęsów,1577,,""
Chrostowice_wsl_snd,Chrostowice,1577,,""
Rogow_wsl_snd,Rogów,1577,,""
Bejsce_wsl_snd,Bejsce,1577,,""
