עמודה1,Pub. Date,כותר,מחבר,Title,Author,מקום דפוס,שנת דפוס,Pub. Place,עמודה2
1369,1548,פרחי כהונה,"הכהן, מסעוד בן אליהו",Pirhe kehunah,"Hakohen, Masud,",כזבלנכה,כזבלנכה,Casablanca,
14259,,הגדה אונגריה,חברת הסיוע למען יהודי אונגריה,Hagadah Ungarei,Chaveres Hasuya Limaan Yehudi Ungarei,,"תש""ב",,
15033,,מלבושי שבת,"פרקש, משה בן שלום",Malbushei Shabbos-Farkas,Moshe Farkas,חמד,"תרפ""ה",,
182,1795,האורב,"ייטלש, ברוך בן יונה",haOrev,"Yatlesh, Boruch",תקנה,"תרפ""ב",Thessaloniki,
3431,1905,אור למאיר,"שפירא, מאיר יהודה בן דוד",Ohr laMeir,Shlomo,פרמישלה,פרמישלה,Peshemeshil,
3339,1909,דברי מאיר,"מאיר בן אהרן אריה, מפרמישלן",Divrei Meir,"Leifer, Yitzhak",ברדיוב,"תרס""ט",Portland,
43,1751,באר משה,"ירושלימסקי, משה נחום בן בנימין",Beer Moshe,Moshe Nachum Yerushalamski,ורשה,ורשה,Warsaw,
6986,1884,ספר האגור,"לנדא, יעקב ברוך בן יהודה",Haigur - Hazon,"Landau, Yaakov",תרמד,"תרמ""ד",Peitrikow,
14601,,עשרה מאמרות - מאמר שבתות ה',"מנחם עזריה, מפנו, 1548-1620",Maamar Shavasos 5,HaRama miPano,חמד,"תרכ""ג",,
1739,,בכורי יהודה חלק א,יהודה ליב בן חיים דון יחיא,Bikurei Yehudah Vol 1,"Don Yechia, Yehudah Leib",לוצין,"תר""ץ",Lutzin,
1560,,לב חיים - חלק ג,"פלג’י, חיים בן יעקב, 1788-1869",Lev Hayim Vol 3,"Palache, Hayyim,",אזמיר,"תר""ן",Izmir,
929,1829,ספר יהושע,"באבד, יהושע העשיל בן יצחק",Yehoshua,"Babad, Yehoshua Heshel",זולקוה,"תקפ""ט",Jerusalem,
14274,,מעשי למלך-הגדה,רבי משה ברבי נתן הכהן,Masei L'Melech- Hagadah shel Pesach,Moshe bar Nosson haCohen,,"תקע""ו",,
3434,1750,מקדש מלך - בראשית,"בוזגלו, שלום בן משה",Mikdash Melech Vol 1,"Shapiro, Meir Yehudah",תקי,"תק""י",Zolkow,
17414,1754,הליכות עולם ומבא הגמרא,"ישועה בן יוסף, הלוי",,,תלמיסן,תקיד,,
5956,1906,מעיני ישועה,"הכהן, ישועה",Maayene Yeshuah,"Hakohen, Yeshuah",תוניס,תרסו,Tunis,
14755,1902,שער כבוד ה',"נקאוה, אפרים בן ישראל",Shaar Kovod Hashem,Efraim Alnikava,תוניס,תרסב,Tunis,
56081,1893,מאין יבא,רבי יעקב הכהן מגרבה,,,תוניס,5653,Tunis,
4566,1891,יריעות שלמה,"וזאן, שלמה בן יהודה, -תקע""ב",Yerios Shlomo,"Vadan, Shlomo",תוניס,תרנא,Tunis,
38453,1768,זרע יצחק,"לומברוזו, יצחק בן יעקב",,,תוניס,תקכח,Tunis,
25749,1914,יושר לבב,"הכהן, דוד בן אבאתו",,,תוניס,תרעד,Tunis,
24456,1913,אוצרות חיים,"ויטל, חיים בן יוסף, 1542-1620",,,תוניס,תרעג,Tunis,
30571,1913,מגן דוד,"וזאן, דוד בן יהודה",,,תוניס,תרעג,Tunis,
4438,1912,והוכח אברהם,"חלימי, אברהם בן בנימין",Ve-hokhiah Avraham,"Halimi, Abraham",תוניס,תרעב,Tunis,
1145,1910,רחמים פשוטים,"נאים, רפאל חיים משה אבן",Rachamim Peshutim,"Ben Naim, Refoel Chaim Moshe",תוניס,תרע,Tunis,
27965,1910,קדש הלולים,"נחמיאש, שאול בן דוד",,,תוניס,תרע,Tunis,
30694,1910,משכיל לדוד,"צבאח, דוד חיים, נפ’ 1858",,,תוניס,תרע,Tunis,
7124,1909,וישמע שאול,"נחמיאש, שאול בן דוד",vaYishma Shaul,"Nachamish, Shaul",תוניס,תרסט,Tunis,
30426,1909,חיים לישראל,"גג', חיים דוד בן יוסף",,,תוניס,תרסט,Tunis,
34698,1909,ויגד לשאול,"נחמיאש, שאול בן דוד",,,תוניס,תרסט,Tunis,
30671,1907,מעשה נסים,"הכהן, נסים בן מרדכי",,,תוניס,תרסז,Tunis,
7428,1906,מעיני ישועה,"הכהן, ישועה",Maayene Yeshuah,"Hakohen, Yeshuah",תוניס,תרסו,Tunis,
30481,1905,יצחק ירנן,"כהן, יצחק בן ישועה",,,תוניס,תרסה,Tunis,
30484,1905,ישיב משה - חלק ב,"שתרוג, משה",,,תוניס,תרסה,Tunis,
34062,1905,מנחת יצחק,"כהן, יצחק בן ברכה",,,תוניס,תרסה,Tunis,
7142,1904,זבחי אלהים,"אסולין, לוי בן יוסף",Zivchei Elokim,Vaeved haLevi ben Yosef Assulin,תוניס,תרסד,Tunis,
24206,1904,בני לוי,"אסולין, לוי בן יוסף",,,תוניס,תרסד,Tunis,
30815,1904,פרפראות לחכמה ויוסף חי,"זרקא, יוסף",,,תוניס,תרסד,Tunis,
6892,1903,אבני צדק ומאורות נתן,"בסיס, ישועה, 1773-1860",Avnei Tzedek veMeoros Nosson,Yeshuah Basis,תוניס,תרסג,Tunis,
34201,1903,אבני צדק ומאורות נתן,"בסיס, ישועה, 1773-1860",,,תוניס,תרסג,Tunis,
6891,1902,אבני צדק,"בסיס, ישועה, 1773-1860",Avnei Tzedek,Yeshua Bassis,תוניס,תרסב,Tunis,
27770,1902,"פסקי הראש (הרא""ש)-חלק שני","סעדון, פינחס בן אהרן",,,תוניס,תרסב,Tunis,
34046,1899,מאיר בת עין,"בן סמון, יעקב בן אפרים",,,תוניס,תרנט,Tunis,
8433,1898,הגדה של פסח משרוחא באלערבי אלברברי,,Hagadah shel Pesach M'Shrocha Balerbi,,תוניס,תרנח,Tunis,
491,1897,וישב משה חלק א-ג,"אסרוסי, משה בן ראובן",Va-yashev Mosheh Vols 1-3,"Asrusi, Mosheh ben Reuven,",תוניס,תרנז,Tunis,
5130,1896,קרית ארבע,"חורי, רחמים בן יצחק. שערי רחמים",Kiryat arba,"Huri, Rahamim,",תוניס,תרנו,Tunis,
30389,1896,זרעו של יצחק,"צדיקא, יצחק בן יהודה",,,תוניס,תרנו,Tunis,
30433,1896,חלב חטים,"טייב, יצחק חי, 1744-1835",,,תוניס,תרנו,Tunis,
25699,1895,יבורך גבר,"ברנץ, מברך בן מוסא",,,תוניס,תרנה,Tunis,
27081,1895,מעשה נסים,"הכהן, נסים בן מרדכי",,,תוניס,תרנה,Tunis,
35053,1895,שלום דוד - חלק א,"הכהן, דוד בן משה, 1825-1871",,,תוניס,תרנה,Tunis,
24156,1894,שמע אברהם,"דידי, אברהם בן עטיה",,,תוניס,תרנד,Tunis,
24157,1894,"בן מז""ה","זמור, משה בן פריג’א",,,תוניס,תרנד,Tunis,
7214,1892,ספר הזכרון,"טיב, יצחק בן בנימין, 1750-1830",ha-zikaron,"Tayyib, Isaac ben Benjamin,",תוניס,תרנב,Tunis,
27809,1891,פרי קדש,"לוי, צמח בן נתן",,,תוניס,תרנא,Tunis,
30464,1891,יוסף בסדר,"יוסף בן יצחק, הכהן",,,תוניס,תרנא,Tunis,
27836,1888,פתח השער,"חדאד, יצחק כמוס בן מעתוק עזיזי",,,תוניס,תרמח,Tunis,
24530,1881,אילת השחר,"טיב, שמואל בן אברהם",,,תוניס,תרמא,Tunis,
12906,1768,זרע יצחק,"לומברוזו, יצחק בן יעקב",,,תוניס,תקכח,Tunis,
15255,1768,זרע יצחק,"לומברוזו, יצחק בן יעקב",Zerah Yitzhak -Lomberozo,Yitzhak Lomberozo,תוניס,תקכח,Tunis,
8711,1552,הגדה של פסח בתלת לגואת פשט ובאלערבי ובאלפראנציץ,,Hagadah shel Pesach B'Tlas L'Goas P'shat U'Balerbi U'BalFrancis,,תוניס,חשד,Tunis,
8731,1552,הגדה של פסח מגיד עם תרגום צרפתי,"ברדא, דוד",Hagadah shel Pesach Maggid im Targum Tzerfasi,"Barda, Dovid",תוניס,חשד,Tunis,
47113,1843,תחינות ויקרא דשכבי,,,,שׁלוניקי,תרג,,
12872,1833,תרגום שני על מגילת אסתר,דפוס ישכר בער בן ארי’ ליב שנייאר,,,שקלוב,תקצג,Shklov,
23912,1832,פוקח עורים,"שניאורסון, דב בר בן שניאור זלמן, 1773-1827",,,שקלוב,תקצב,Shklov,
18117,1819,משנת רבי אליעזר בן יעקב,"אליעזר בן יעקב, מסלונים",,,שקלוב,תקעט,Shklov,
23892,1817,שער התשובה והתפלה - חלק ב,"שניאורסון, דב בר בן שניאור זלמן, 1773-1827",,,שקלוב,תקעז,Shklov,
