,number,content,content
index:,0,"הן התקנות אשר אזנו וחקרו [ותק:ו] בעלי אםופות אצילי בני ישראל, כאשר המה בכתובים מכתב פתוחי חותם יד איש איש על שמו ינון לעולם• ...","הן התקנות אשר אזנו וחקרו [ותק:ו] בעלי אםופות אצילי בני ישראל, כאשר המה בכתובים מכתב פתוחי חותם יד איש איש על שמו ינון לעולם• ויעמדו בתיקונימ [בתקונם] משך שני שנים רצופים מהיום ב׳ ט׳ אלול שפ''ג לפ״ק עד ט׳ אלול ש^ה לפ״^ ותוך זמן זה אם יםכימו שגי קהלות ראשי בתי דיניםא) לחזור ולקרוא וועד המדינה יצ''ו, מחו:יבת קהלה ג׳ לבא אחריהם ולעיין על התקנות להוסיף או לגרוע, כפי הוראת שעה אשר יהי׳ בימי׳ ההם יעשו ויתקנו. להמדינה יצץ ׳עלה ויזדמן ח״) בוועד זו, ועוד דכ) למכור [לשנ ונגמר כשיעלה ויזדמן ח'יו גלגולת ו שנתחדש בוועד זו, ועוד נוסף [יוםף] "
index:,1,"לעשות םדרגביות גלגולת יבחרו לישב עליו איש עשיר ובינוני, ועוד אחר בינוני פחות מזה. העשיר יתן בראש הגלגולת שלו משלם, וכן ...","לעשות םדרגביות גלגולת יבחרו לישב עליו איש עשיר ובינוני, ועוד אחר בינוני פחות מזה. העשיר יתן בראש הגלגולת שלו משלם, וכן הבינוני, ואשר לא תשיג ידו יעשו בין שלשתן מה שיתן החצי או השליש או פחות לפי ראות עיניהם. על סדר גבי׳ פאווראטנ'י ועל עשיית סכום-עשיר ובינוני ופחותי'א). ' ד. השמאים אשר בכל קהלה וקהלה יעריבו בעשיית םכום [םכומות] מידי שנה בשנה נוסף על ממון של כל איש ואיש אשר תשיג ידו הנאת רווח של כל מחזיקי אוראנד''י [אורענדי] או מכם הן חדש הן ישן או גשר או שאר מכסים או טשאפווי או שירות, כפי הנאת ריוח שיש לו באותו אוראנדי׳ או מכם או טשאפווי [טשאפאוו] או שירות יעריכו השמאים. "
index:,2,"מי שנשבע על סכום שלו ויהא נראה בעיני השמאים שנשבע לשקר, הרשות ביד השמאים לי[כנם לביתו ולחפש בכל] חדריו ותיבות וארגזים אחרי ...","מי שנשבע על סכום שלו ויהא נראה בעיני השמאים שנשבע לשקר, הרשות ביד השמאים לי[כנם לביתו ולחפש בכל] חדריו ותיבות וארגזים אחרי נכסיו ולבדוק בפנקם שלו לעמוד על בוריו אם [נשבע באמת אם לאו, ותוקף] זה בידם כל עוד שלא חתמו ריםטר [ריסטער] הסכום. גם ביד השמאים להשביע לכל מי שי[רצו או לפשר לכלי תת שבועה], והשמאים עצמם ישבעו תחלה שיעשו באמונה ולא לנקום נקמת דבר להעביר דת השורה לא מחמת שנאה ולא מחמת אהבה. "
index:,3,קהלות של כל ם ב י ב ו ת אין להם ח ז ק ת י ש ו ב נגד שלשה קהלות [הקהלות] ראש בתי דינים. ואין לשום קהלה אשר בסביבות למחות על ...,"קהלות של כל ם ב י ב ו ת אין להם ח ז ק ת י ש ו ב נגד שלשה קהלות [הקהלות] ראש בתי דינים. ואין לשום קהלה אשר בסביבות למחות על יושבי קהלה ראש ב״ד שלו שהוא יושב תחת שבט ידיהם מלדור עמהט בלי רשות ראשי ומנהיגי ב''ד שלו. ואף אם יניח [יניחו] ראשי ומנהיגי [מנהיגי] ב״ד שלו שיקבלוהו לנטות שם אהלו ולדור עמהם, אזי יתן להם מ'מ דמי הקדמה [הקדימה] ע״פ ראות עיני מנהיגי ב״ד שלו. ואיזה קהלה אשר כבר בידם איזה פסק על חזקת ישוב יעלו אותו לעיני מנהיגי ב''ד [רב'ד] שלו והמה יראו ויעיינו בפסק ולדין עליו ע'פ דעתם הנכונה. וזה דוקא נגד יושבי קהלות ראש ב''ד שלו ולא לזולתם. ' ד עסקי משא ומתן אין לשום קהלות מהסביבוח למחות על יושבי קהלות [לקהלות] ראש ב'ד שלו שהוא יושב תחת שבט ידיהם מלישא וליתן שם; כאשר נשאו ונתנו מעבר יעמוד כן [כן יקום] מכאן ולהבא. רק איזה קהלה אשר תבוא [מכאן ולהבא] בקובלנא שהם מוסיפים משא ומתן נגך שבני אותה הקהלה אין להם תקומה, יבואו לפני מנהיגי ב״ד שלו והם יעשו סדר ומצב על כל אופן משא ומתן [אותן מרמ] ולתת גבול וזמן לפי ראות עיניהם, בכדי שיהי׳ כדאי לתת מחי׳ ושארית לבני קהלה ולאותם הבאים מיושבי ראש ב'ד [רב״^ שלו; וזה [וזהו] גיכ דוקא נגד ג' ראשי בתי דינ׳ [רב''ד] ולא זולתם [לזולתם]. "
index:,4,אודות שהקהלות שלשה ראשי בתי דינים [רב״^ צעקו על אנשים נכרי׳ ממקומות אחרים הבאי׳ לםחור את העיר ומקפחים מחי׳ [מחיות] בני העיר ...,"אודות שהקהלות שלשה ראשי בתי דינים [רב״^ צעקו על אנשים נכרי׳ ממקומות אחרים הבאי׳ לםחור את העיר ומקפחים מחי׳ [מחיות] בני העיר לאמור יציבא בארעא וגיורא וכו׳, עלה ונגמר למחות על ידם [בידם] מלישא וליתן עם גוים כל עיקר, וכאשר יסדו ותקנו זה הראשונים ימים מקדם האיסור במקומו עומד. ועתה באנו להוסיף: אורח שיבא [כי יבא] למכור ליהודי אף לקנוח מיהודי סחורות בפעם א׳ הרשות לו לקנות ולמכור כחפץ נפשו, רק שלא יעמוד שם ימים מספר למכור ליהודי על יד על יד או לקנות מיהודי על יד על יד, כי אם מםפר הימים שיעשו ויתקנו להם כל כרך וכרך בפני עצמו לטוב להם לפי הםחורה ולפי הזמן הרשות לו לעמוד ולשהות כפי שיתקגו ולא יותר. כמשפט הזה יתקנו להם כל כרך וכרך כטוב בעיניהם בסחור׳ [בםחורות] שמקבלים בתורת אויף גיזעצט מאנשים נכרי׳, או בםחור׳ ששולחי׳ אב לבנו וכן לאב או אח לאח וכיוצא כזה יתר קרובי׳ יתקנו להם ג״כ כל כרך וכרך לפי השעה הצריכה להם. ואיזה [ואודות] יחיד אשר יעלה על ראשי רוחו [ראשו ורוחו] לערער על אותו מעמד ותיקן [ותיקון] הרשות לערער ולקבל כתב העתק מאותו תיקון ולהעלותו לשני ראשי בתי דיני׳ האחרים [לכ' רב''ד האלו], המה יראו לאשר ולקיים אותו התיקון אם לנתק ולבטל. "
index:,5,"[הוצאות עלילות ממזר] ול''מ [ולחם מגואל]א) ח''ו יעלה על כלל שותפות המדינה עם בעל העלילה שמעללין [שמעלילין] עליו, ובעל עלילה [...","[הוצאות עלילות ממזר] ול''מ [ולחם מגואל]א) ח''ו יעלה על כלל שותפות המדינה עם בעל העלילה שמעללין [שמעלילין] עליו, ובעל עלילה [העלילה יתן חלק הראוי לו ע״^ ראות עיני ראשי המדינות יצץ, והעודף על חלקו יתנו כלל המדינה יצ'-ו, (ודווקא ב׳ העלילות האלה ו) לא לשום עלילה אחרת. מקום בלבול ממזר או לחם מגואל ח'ו מחוייבי׳ להוציא כל [הוצאות שיעלה בני אותה הקהלה או] המקום מכיםם עד שידם מגעת עד עת אםיפות [אסיפת] ר״מ יצ'ו; ואז יעלה [לעיניהם חשבון צדק בפרטות ע'כ דבר ו] דבר כך וכך עלתה ההוצאה, רק יפרטו על מה שהוציאו וע״פ עדות וראי׳ נאמנה או ע''פ שבועה על חשבון. ואם יעלה ח''ו א׳ מב׳ עלילות הנ״ל ע''י םיבת הכאת ע״' יהודי וכדומה לזה, אין לו ג״כ משפט שותפות המדינה כנ''ל, רק אם יהי׳ אותו יהודי עשיר ואמיד יוציא כל הוצאו׳ ההשתדלות מכיסו, ואם איש עני-הוא ישתדלו בעדו הקהל שהוא יושב בתוכם ויוציאו עליו כל הוצאו׳ ואח''כ יציעו דבריהם לפני ראשי מדינות יצ''ו, המה יראו ויכירו אם ראוי ליתן להם םיוע מתוך המדינה יצ^ אם לא. "
index:,6,השלשה קהלות ראשי בתי דינים בכל עת םימינקם שלפני הוועד מחוייבים ראשי כל קחלה וקהלה לעמוד על המשמור [משמר] לתור ולחקור ולדרוש ...,"השלשה קהלות ראשי בתי דינים בכל עת םימינקם שלפני הוועד מחוייבים ראשי כל קחלה וקהלה לעמוד על המשמור [משמר] לתור ולחקור ולדרוש לבל יעלו ח''ו דבר חדש להיות לנו לקוץ מכאיב, וההוצאות שיעלו תשלם כל קהלה עם הסביבות שלהם. וכן זולת ג׳ קהלות בכל מקום שיש שם גרא״ד שיתוועדו שם הפאווי''ט לעשות סימינק מחוייבים ג״כ ראשי אותה קהלה לעמוד על המשמר בכל אופן הנזכר, והוצא׳ שיעלו יתנו ג״^ הקהלה ראש ב'ד שלו עם הסביבות. ואיזה קהלה אשר לא יבררו שיעמודו על המשמר [לעמוד אל משמר] והעמידו שתדלנין על הסימינק ענש יענשו מאה זהו׳ אדומים קנס לצדקה. "
index:,7,"אם יהי׳ רציחה והשעה צריכה להשתדל נקמה, אם הנרצח איש אמוד [אמיד] יתנו יורשיו החצי׳ להוצאה [להוצאת] הנקמה, והקהל ש(ה)נרצח דר ...","אם יהי׳ רציחה והשעה צריכה להשתדל נקמה, אם הנרצח איש אמוד [אמיד] יתנו יורשיו החצי׳ להוצאה [להוצאת] הנקמה, והקהל ש(ה)נרצח דר אצלם עם הםביבות שלה רביעית, ובני המדינה רביעית הנותר; ואם יהי׳ הרציחה מישוב [בישוב] אזי הקהלה שהישוב שייך לה עם הםביבות יתנו הרביעית הנ''ל. ואם הנרצח אינו אמיד וגם ידי היורשי׳ אינם משיגים ליתן החצי׳ משלהם בלי עזבון אביהם, אזי תחן הקהלה עם סביבותיה׳ החצי׳ ובגי המדינה החצי׳ שני׳; ואין ליורשים ולא לבעל דבר עצמו להוציא על הנקמה בלי רשות הקהלה יותר מעשרים זהו', והעודף על עשרים זהו׳ ישאול עליו ראשי הקהלה. והאלמנת [ואלמנת] הנרצח מכתובתה [מכחובה] דאורייתא לא תחן לנקמת הרציחה, ימתוספו׳ כתובתה תתן גם האלמנה ע״פ ראות עיני [ראשי] המדינה ידו. בוועד [שנת] ת״א לפ״ק עלה ונגמר במוםכם שהתיקון הנ״ל בדבר הרציחה הוא בתוקפו כנ''ל. "
index:,8,"דין יחיד עם רבים, אחר שיתן טעם ואמתלא ודברים ברורי׳ לפני שני קהלות אחרות ויראו שיש לחוש לדבריו בראותם ממש לדבריו, יוציאו שני ...","דין יחיד עם רבים, אחר שיתן טעם ואמתלא ודברים ברורי׳ לפני שני קהלות אחרות ויראו שיש לחוש לדבריו בראותם ממש לדבריו, יוציאו שני קהלות פתקא דהזמנה להזמין את הךבים אל מקום המיוחד, ועל אופן שיתן היחיד תחלה משכן על שלשים שאק לי'(טא), ואם יצא היחיד חייב בדין ישאו חטאו וענשו כאשר יושת עליו מפי שני קהלות הן עונש ממון והן עונש שאר דברי׳; ואם שהקהל יתחייבו בדין ישלמו לו הוצאות ועוד להעניש אותם לפי ראות עיני ר''מ יצ''ו. וחומר זה הן על ג׳ הקהלות הן על סביבות נגד ראשי בתי דינין שלהם. וחומר תיקון זה ליחיד שיבא לערער על דין ממון או על כח ועיוות שנעשה לו מן הרבים. אמנס תקנה אשר עלה בקהלה מפי ז׳ טובי העיר בהםכמות האדד אין לשום יחיד לערער כל עיקר להעלות דינו לשו.ם ניד אחר וכל הון לא יועילו. ובלבד שאותה תקנח לא יםתור תקנה המוקדם. "
index:,9,דיןיחידעםחבירו באותה קהלה יעשו משפט באותו הקהלה [בפני] ראשים או דייני׳ שלהם; ואם נתן [יתן] אמתלא לדבריו שלא לדון בעירו מחמת ...,"דיןיחידעםחבירו באותה קהלה יעשו משפט באותו הקהלה [בפני] ראשים או דייני׳ שלהם; ואם נתן [יתן] אמתלא לדבריו שלא לדון בעירו מחמת צד נגיעה אשר לראשי׳ ודייני׳, ויראו שני הקהלו׳ אחרות [שיש ממש] שדבריו עולי׳ יפה, אז ידונו בזבל'א הן מאותו [באותו] הקהלה הן מקהל׳ [בקהילה] אחרת והקהל׳ שלהם יתנו להם שליש. "
