Title,Manifest,Archive,Fond,Reference Number,Language,Creation Date,Place of Origin,Geographical Names,Surnames,Notes,Tags
Manifestacja deputata chorągwi pancernej przeciwko starszym lubelskim względem niemożności realizacji asygnacji skarbowej,"Jan Piętkiewicz towarzysz i deputat chorągwi pancernej Jana Tarły wojewody sandomierskiego manifestuje przeciwko Moszkowi, Jakubowi Zelikowiczowi rabinowi z Bychawy, Lejzorowi Abramowiczowi starszym lubelskim oraz Żydom z Krakowskiego Przedmieścia w Lublinie Jakubowi Oszarpanemu, Herszkowi Szlomowiczowi, Hejzykowi Bełżyckiemu i Moszkowi Slomie Kielmanowiczowi, w sprawie niewypłacenia asygnacji skarbowej na sumę 218 złp",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL CLRMO 270, s. 124",Latin,20.10.1738,Lublin,"Bychawa, Lublin","Hejzyk Bełżycki, Herszek Szlomowicz, Jakub Oszarpany, Jakub Zelikowicz, Lejzor Abramowicz, Moszek, Moszko Sloma Kielmanowicz, Piętkiewicz Jan, Tarło Jan",https://www.szukajwarchiwach.gov.pl/skan/-/skan/3266cda1ef39b4d91e09c73945e6ac99032a70b766b9127b0fda5e8cedb97b52,"chorągiew pancerna, hiberna, manifestacja"
Protestation by the companion of the of the armoured cavalry unit against the elders of Lublin concerning the unpaid orders of payment of the Jews from Kock,"Józef Starobiński, a companion and plenipotentiary of the armoured cavalry unit of the Starost of Mostów, protests against the land elders of Lublin: Józef from Kozienice, the rabbi of Opole, Wigdor Irsz from Kraśnik, Zelik, the rabbi from Janowiec, and Wigdor from Zwoleń. These land elders, sued to the Radom Tribunal concerning the unpaid money for the cavalry unit, made a settlement and issued two orders of payment of 340 złp for the Jews from Kock, but when he tried to cash them, the local Jews there refused to pay the due money.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 274, s. 216rv",Latin,07.07.1739,Lublin,"Janowiec, Kock, Kozienice, Krasnik, Lublin, Opole Lubelskie, Radom, Zwoleń","Józef z Kozienic, Starobiński Józef, Wigdor Irsz, Wigdor ze Zwolenia, Zelik z Janowca",https://www.szukajwarchiwach.gov.pl/skan/-/skan/2170e1174c3dcf937abc110842f392684b9fcb5866342377f89d403648220626,"asygnacja, kondemnata, manifestacja, trybunał skarbowy radomski, ziemstwo lubelskie (województwo)"
Protestation of the elders from Bełżyce against the rabbi of Opole,"For fear of the unjustified necessity to pay the military deputy the tax which has already been paid, Lejba Szmulowicz and Izrael Jonia protest against [Jasef] Józef the rabbi of Opole and also the land elder of Lublin, concerning the excessive poll tax imposed in the second tariff sent to the Treasury, inflated by the sum of 90 złp. In the first tariff presented to the Crown Treasury, Bełżyce was not specified by the land elders because the tax of 1,300 złp was paid by the town in a different way, directly on the basis of the presented orders of payment.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL CLRMO 340, s. 165v-166r, APL CLRMO 342, s. 142rv",Polish,24.01.1757,Lublin,"Bełżyce, Lublin, Opole Lubelskie","Izrael Jonia, Józef z Opola, Lejba Szmulowicz",,"asygnacja, dyspartyment (taryfa), manifestacja, ziemstwo lubelskie (województwo)"
Treasury ordinance for the deputies of the poll tax for the Jews of Greater Poland,"As a result of the “Jewish poll tax” established by the 1703 constitution of the Lublin diet, Grand Crown Treasurer Jan Przebendowski publishes the ordinance for deputies with assignations for Greater Poland Jews. He orders them not to demand the paying of the tax for specific communities from the main kahals (Kalisz, Krotoszyn, and Leszno) but to go with assignations directly to those communities instead. The deputies should show the assignations to the land elders beforehand. Land scribes are obliged to show the deputies the way to each community so they can execute the issued assignations. He forbids the Poznań rabbi to engage in the procedure of creating the allocation by land elders. Jews from minor kahals (partykularze) should cover the costs of provisions of each deputy with his horses (8 zlotys altogether). In addition each deputy should be paid 30 zlotys as a compensation of other expenses of their trip. Deputies as soldiers were supposed to be under hetman jurisdiction. Przebendowski forbids the landlords to protect those Jews who are avoiding paying the poll tax.",The State Archive in Poznan (APP),Kalisz castle court files (Księgi grodzkie kaliskie),"APP, Kaliskie Gr. 313, s. 32rv",Polish,26.01.1704,Kraków,"Cracow (Kraków), Kalisz, Krotoszyn, Leszno, Poznan (Poznań)","Józef Szmaja, Przebendowski Jan Jerzy","Tyt.: Deklaracyja skarbowa i ordynacyja względem ichmościów panów asygnatariuszów powiatów i Żydów wielkopolskich. Do oblaty w księgach
grodzkich kaliskich podał 29 I 1704 Józef Szmaja syndyk kaliski.","pogłówne, uniwersał, ziemstwo wielkopolskie"
Approval by the Crown elders of the documents of Zachariasz Peltowicz,"Court entry by the Crown Jewish elders at the Jewish assembly in Konstantynów, confirming the validity of documents belonging to Zachariasz Peltowicz. In the first, dated 15 IX 1745, Erszko Majerowicz committed himself to leave the stall after Zachariasz pays him 15 “red” zlotys. In the other one, Opole rabbi Józef, a Lublin land elder, confirmed that the first document was genuine.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 314, s. 41v-43v, APL, CLRMO 316, s. 90v",Polish,09.08.1750,Konstantynów,"Cracow (Kraków), Greater Poland, Konstantynów, Kremenets, Liuboml, Lublin, Nowy Korczyn, Opole Lubelskie, Poznan (Poznań), Tarnogóra, Zamosc","Abraham Chaimowicz, Abram Józefowicz, Józef Abram Gierszonowicz, Józef Segalanda, Józef Senderowicz, Lewek Kahana, Moszek Berek Lewkowicz, Moszek Pinklas Chaimowicz, Szymon Doktorowicz, Wolf Segalanda, Zachariasz Peltowicz",,"potwierdzenie (aprobata), sejm żydowski (kongres), ugoda, zadłużenie (długi), ziemstwo lubelskie (województwo)"
Consent for Chaim Abrahamowicz in the office of Lublin land rabbi,"Antoni Lubomirski, the Lublin voivode, appoints Chaim Abrahamowicz as the rabbi of Lublin, giving him jurisdiction over Jews from Lublin and the entire Lublin voivodeship and freeing him from paying taxes and debts required of the Lublin kahal. The voivode reserves himself the right to consider appeals of rabbinical decrees.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 325, s. 593r-594v",Polish,22.09.1752,Opole Lubelskie,"Lublin, Opole Lubelskie","Chaim Abrahamowicz, Lubomirski Antoni, Szymon Doktorowicz, Zamoyski Jan Jakub","Tyt.: Instrumenti super munus rabinatus per illustrissimum principem Lubomirski palatinatum Lublinensem infideli Chaim Abrahamowicz collati
oblata. Do oblaty w księgach grodzkich lubelskich 27 VIII 1753 podał Szymon Doktorowicz syndyk generalny Żydów koronnych.",przywilej
The appointment of Abram Chaimowicz as the speaker of the Council of Four Lands,"Karol Sedlnicki, Treasurer of the Crown, appoints the Jew Abram Chaimowicz, a senior merchant of Lublin, as the speaker of the Crown Jews, seeing as the Jew Abram Józwowicz of Leszno has served his term. The latter is to officially step down from the post during the upcoming assembly.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 325, s. 590rv",Polish,22.05.1753,Konstantynów,"Jarosław, Konstantynów, Leszno, Lublin","Abraham Chaimowicz, Abraham Józefowicz, Sedlnicki Karol Odrowąż, Szymon Doktorowicz",Oblata w księgach grodzkich lubelskich w dn. 27 VIII 1753 przez Szymona Doktorowicza syndyka generalnego Żydów koronnych.,"przywilej, sejm żydowski (kongres)"
Appointment for the office of speaker of the Jewish assembly by the commissar of the Crown Treasury,"Kazimierz Granowski, starost of Radom, commissar of the Treasury, delegate to the Jewish assembly in Jarosław appoints, in accordance with the Treasury appointment [of May 22 this year], Abram Chaimowicz of Lublin as the general speaker of the Crown Jews. He requests all Jews, qahals, synagogues, land elders, county elders, trustees, appraiser and dispensers to execute all decisions made by the newly appointed speaker, particularly where taxes are concerned.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 325, p. 591r-592r",Polish,11.08.1753,Jarosław,"Jarosław, Lublin","Abraham Chaimowicz, Granowski Kazimierz, Sedlnicki Karol Odrowąż, Szymon Doktorowicz",Oblatował w księgach grodzkich w dn. 27 VIII 1753 r. Żyd Szymon Doktorowicz syndyk synagogi lubelskiej i wszystkich Żydów koronnych. https://www.szukajwarchiwach.gov.pl/jednostka/-/jednostka/2669739?_Jednostka_delta=200&_Jednostka_resetCur=false&_Jednostka_cur=4&_Jednostka_id_jednostki=2669739,"przywilej, sejm żydowski (kongres)"
Letter by the Crown Treasurer to the elders of the voivodship of Lublin concerning the inflated poll tax for the Jews from Firlejowszczyzna,"Jan Ansgary Czapski, the Grand Treasurer of the Crown, admonishes the elders of the voivodship of Lublin because in their tariff they inflated the poll tax disproportionately when compared to the number of inhabitants: on the impoverished 24 Jews, farmers from the town (suburb) of Firlejowszczyzna near Lublin (the so-called Słomiany Rynek [Straw Market]) they imposed the tax of 400 złp, and in the last few years even 700 złp; and he orders a proportionate reduction of this tax.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLRMO 280, s. 178v-179v, APL, CLRMO 281, s. 1281, 1282",Polish,22.03.1741,Warszawa,"Lublin, Warsaw (Warszawa)",Czapski Jan Ansgary,http://szukajwarchiwach.pl/35/8/0/3/280/skan/full/saVP7wNbcXk_Oa4hbEdigw http://szukajwarchiwach.pl/35/8/0/3/280/skan/full/saVP7wNbcXk_Oa4hbEdigw,"korespondencja, podskarbi, pogłówne, ziemstwo lubelskie (województwo)"
Manifestacja deputata chorągwi przeciw gminie lubelskiej w sprawie niewypłacenia asygnacji podskarbiego koronnego,"Józef Strzałka cześnik nowogródzki, deputat chorągwi pancernej miecznika koronnego Antoniego Benedykta Lubomirskiego manifestuje przeciw gminie lubelskiej w sprawie niedopuszczenia do egzekucji należności na podstawie asygnacji podskarbiego koronnego Karola Odrowąża Sedlnickiego z dn. 18 X 1758 r. na kwotę 662 złp i 25 gr.",The State Archive in Lublin,Lublin castle court files (Księgi grodzkie lubelskie),"APL, CLMO 351, s. 167r-1673v",Latin,03.12.1759,Lublin,Lublin,"Lubomirski Antoni Benedykt, Sedlnicki Karol Odrowąż, Strzałka Józef",,"manifestacja, pogłówne"
