table,index,year,value,villages,near,is_sum
100,maz_cchnwc,1717,1166,0,0,0
100,maz_cchnwc,1718,699,0,0,0
100,maz_cchnwc,1719,600,0,0,0
100,maz_cchnwc,1720,600,0,0,0
100,maz_cchnwc,1721,600,0,0,0
100,maz_cchnwc,1722,600,0,0,0
100,maz_cchnwc,1723,600,0,0,0
100,maz_cchnwc,1724,600,0,0,0
100,maz_cchnwc,1725,600,0,0,0
100,maz_cchnwc,1726,600,0,0,0
100,maz_cchnwc,1727,600,0,0,0
100,maz_cchnwc,1728,294,0,0,0
100,maz_cchnwc,1729,321,0,0,0
100,maz_cchnwc,1731,600,0,0,0
100,maz_cchnwc,1732,226,0,0,0
100,maz_cchnwc,1733,242,0,0,0
100,maz_cchnwc,1734,242,0,0,0
100,maz_cchnwc,1735,247,0,0,0
100,maz_cchnwc,1736,300,0,0,0
100,maz_cchnwc,1737,241,0,0,0
100,maz_cchnwc,1739,186,0,0,0
100,maz_cchnwc,1741,241,0,0,0
100,maz_cchnwc,1745,600,0,0,0
100,maz_cchnwc,1749,155,0,0,0
100,snd_dbc,1733,500,0,0,0
100,snd_dbc,1734,500,0,0,0
100,snd_dbc,1735,500,0,0,0
100,snd_dbc,1736,500,0,0,0
100,snd_dbc,1737,500,0,0,0
100,snd_dbc,1738,500,0,0,0
100,snd_dbc,1739,500,0,0,0
100,snd_dbc,1746,500,0,0,0
100,snd_dbc,1747,500,0,0,0
100,snd_dbc,1748,500,0,0,0
100,snd_dbc,1749,500,0,0,0
100,snd_dbc,1751,500,0,0,0
100,snd_dbc,1752,500,0,0,0
100,snd_dbc,1753,500,0,0,0
100,snd_dbc,1755,500,0,0,0
100,snd_dbc,1758,500,0,0,0
100,snd_dbc,1760,500,0,0,0
100,snd_dbc,1761,500,0,0,0
100,snd_dbc,1762,500,0,0,0
100,snd_dbc,1764,500,0,0,0
100,maz_jblnk,1732,100,0,0,0
100,maz_jblnk,1733,100,0,0,0
100,maz_jblnk,1734,100,0,0,0
100,maz_jblnk,1735,100,0,0,0
100,maz_jblnk,1736,100,0,0,0
100,maz_jblnk,1737,100,0,0,0
100,maz_grdzsk,1739,80,0,0,0
100,lbl_jzfw,1724,400,0,0,0
100,lbl_jzfw,1725,248,0,0,0
100,lbl_jzfw,1729,400,0,0,0
100,lbl_jzfw,1731,400,0,0,0
100,lbl_jzfw,1732,400,0,0,0
100,lbl_jzfw,1733,400,0,0,0
100,lbl_jzfw,1734,400,0,0,0
100,lbl_jzfw,1735,400,0,0,0
100,lbl_jzfw,1736,400,0,0,0
100,lbl_jzfw,1737,400,0,0,0
100,lbl_jzfw,1738,400,0,0,0
100,lbl_jzfw,1739,400,0,0,0
100,lbl_jzfw,1742,400,0,0,0
100,lbl_jzfw,1748,400,0,0,0
100,lbl_jzfw,1749,400,0,0,0
100,lbl_jzfw,1757,400,0,0,0
100,krk_kzmrz,1717,3174,0,0,0
