index,name,atlas_name,table,rid,viv,powiat,certainty
1_1,ciechanowiec,Ciechanowiec,1,2299,podl,drohicki,1
1_2,debica,Dębica,1,2447,san,pilzneński,1
1_4,glusk,Głusk,1,2228,lub,lubelski,1
1_3,grodzisk,Grodzisk,1,23367,san,błoński,1
1_5,jablonka,Jabłonka,1,2302,rus,zambrowski,1
1_6,jozefow,Józefów,1,2231,lub,urzędowski,1
1_7,kazimierz,Kazimierz,1,2232,lub,lubelski,1
1_8,koscielna_nur,Jabłonka Kościelna,1,2302,rus,zambrowski,1
1_9,lublin,Lublin,1,22464,lub,lubelski,1
1_10,miedzyrzecz_korecki,Międzyrzec Korecki,1,22635,woł,krzemieniecki,2
1_11,miedzyrzecz_podlaski,Międzyrzecz Podlaski,1,23168,rus,,3
1_12,poznan,Poznań,1,2397,poz,poznański,1
1_13,przemysl,Przemyśl,1,2019,rus,przemyski,1
1_14,siemiatycze,Siemiatycze,1,2318,podl,drohicki,1
1_15,wysokie_mazowieckie,Wysokie Mazowieckie,1,23169,podl,drohicki,1
10_1,balin,Balin,10,9467,pod,kamieniecki,2
10_2,bar,Bar,10,2337,pod,latyczewski,1
10_3,borszczow,Borszczów,10,2330,pod,czerwonogrodzki,1
10_4,chmielnik,Chmielnik,10,9599,pod,latyczewski,1
10_5,czarnokozince,Czarnokozińce,10,9621,pod,kamieniecki,1
10_6,czarnoostrow,Czarnoostrów,10,9717,pod,latyczewski,1
10_7,czercze,Czercze,10,2331,pod,czerwonogrodzki,2
10_8,czerwonogrod,Czerwonogród,10,2332,pod,czerwonogrodzki,1
10_9,deraznia,Derażnia,10,9795,pod,latyczewski,1
10_10,dunajowiec,Dunajowce,10,2333,pod,kamieniecki,1
10_11,dωwinogrod,Dźwinogród,10,9880,pod,kamieniecki,1
10_12,franpol,Franpol,10,2334,pod,kamieniecki,1
10_13,fulsztyn,Felsztyn,10,2335,pod,kamieniecki,1
10_14,grodek,Gródek,10,2343,pod,kamieniecki,1
10_15,grodek_on_dnister,Gródek,10,2343,pod,kamieniecki,1
10_16,husiatyn,Husiatyn,10,9468,pod,kamieniecki,1
10_17,jagielnica,Jagielnica,10,2338,pod,czerwonogrodzki,2
10_18,janow,Janów,10,23215,brac,bracławski,1
10_19,jarmolnica,Jarmolińce,10,2339,pod,latyczewski,2
10_20,jaruha,Jaruga,10,9876,pod,latyczewski,2
10_21,jaryszow,Jaryszów,10,10101,pod,latyczewski,2
10_22,jazlowiec,Jazłowiec,10,2340,pod,czerwonogrodzki,2
10_23,jezierzany,Jezierzany,10,2341,pod,kamieniecki,1
10_25,kalusz,Kalus,10,2342,pod,kamieniecki,2
10_24,kasperowce,Kasperowce,10,10195,pod,kamieniecki,1
10_26,kitajgrod,Kitajgród,10,2344,pod,kamieniecki,1
10_27,kolendziany,Kolędziany,10,10196,pod,kamieniecki,2
10_28,kopajgrod,Kopajgród,10,22947,pod,latyczewski,1
10_29,krzywcza,Krzywcza,10,2346,pod,kamieniecki,2
10_30,kudryniec,Kudryńce,10,2347,pod,kamieniecki,1
10_31,kupin,Kupin,10,9472,pod,kamieniecki,2
10_32,kuzmin,Kuźmin,10,2349,pod,latyczewski,2
10_33,lanckorona,Lanckoroń,10,2350,pod,kamieniecki,2
10_34,latyczew,Latyczów,10,22948,pod,latyczewski,1
10_35,lityn,Lityn,10,23267,brac,bracławski,1
10_75,luczyniec,Łuczyniec,10,22950,pod,latyczewski,1
10_36,makow,Maków,10,2351,pod,kamieniecki,1
10_37,michalpol,Michałpol,10,22951,pod,latyczewski,1
