table,index,year,value,geometry,potential,villages_value,near_value,name,voivodeship,land,community,community_code,table_abbr
0100,maz_cchnwc,1717,1166,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1718,699,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1719,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1720,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1721,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1722,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1723,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1724,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1725,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1726,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1727,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1728,294,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1729,321,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1731,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1732,226,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1733,242,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1734,242,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1735,247,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1736,300,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1737,241,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1739,186,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1741,241,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1745,600,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_cchnwc,1749,155,2504600.17499488|6922963.32664859,0,0,0,ciechanowiec,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,snd_dbc,1733,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1734,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1735,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1736,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1737,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1738,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1739,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1746,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1747,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1748,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1749,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1751,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1752,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1753,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1755,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1758,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1760,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1761,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1762,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,snd_dbc,1764,500,2385310.84958479|6454292.24376913,500,0,0,debica,snd,Autonomous,debica,dbc,ext
0100,maz_jblnk,1732,100,2489112.37599319|6974827.5879437,100,0,0,jablonka,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_jblnk,1733,100,2489112.37599319|6974827.5879437,100,0,0,jablonka,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_jblnk,1734,100,2489112.37599319|6974827.5879437,100,0,0,jablonka,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_jblnk,1735,100,2489112.37599319|6974827.5879437,100,0,0,jablonka,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_jblnk,1736,100,2489112.37599319|6974827.5879437,100,0,0,jablonka,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_jblnk,1737,100,2489112.37599319|6974827.5879437,100,0,0,jablonka,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,maz_grdzsk,1739,80,1823544.96089068|6840637.56083326,80,0,0,grodzisk,maz,Autonomous,ciechanowiec,cchnwc,ext
0100,lbl_jzfw,1724,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1725,248,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1729,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1731,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1732,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1733,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1734,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1735,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1736,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1737,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
0100,lbl_jzfw,1738,400,2565773.54316302|6530620.18388892,400,0,0,jozefow,lbl,Autonomous,jezefow,jzfw,ext
